SYMBOL,GM07029-A1,GM07029-A2,GM07029-A3,GM10835A1,GM10835A2,GM10835A3,GM12813-A1,GM12813-A1dup,GM12813-A2,GM12813-A2dup,GM12813-A3dup,GM07019,GM12812,GM12814,GM12815,Average,Stdev
SFXN2,5.563512402,5.015215817,6.116366344,7.187108005,6.4519348,7.517156569,11.53107958,10.45002634,11.88502336,11.24500559,11.51329972,14.23711056,9.645118713,9.810129644,9.738896874,9.193798955,2.734080836
SELPLG,7.917635005,8.672495732,10.16153492,5.037125384,5.538505824,5.558145594,12.75793133,12.54005007,13.24024523,12.0055708,11.4011007,12.54620838,9.609301891,10.47605019,17.9579667,10.36132452,3.476099059
HIST1H1B,17.26865308,15.24181741,16.44571522,6.515514231,5.610262907,5.580410331,16.2989262,13.97743962,17.11152436,14.81671309,12.63188949,12.7469958,13.76480893,11.43528397,15.51314382,12.99727323,4.039263775
MLF2,12.2980071,14.1356317,12.21135495,9.312504758,10.05629363,9.949504097,15.9241819,15.92001302,15.66250005,15.82333029,15.4652365,13.78362051,10.10733823,12.25982152,19.84321453,13.51683685,2.982568078
ITGAX,8.482660452,7.982026648,8.043460651,8.070765477,7.713617538,7.801612668,11.93500249,10.8544982,10.97862831,11.90762256,10.86198387,10.70785985,5.993346251,10.27508077,13.08673861,9.646326956,2.03681877
FBXO31,2.741634639,2.885112205,2.811452084,2.174306409,2.291800564,2.311573505,3.547654626,3.557370899,3.177297077,3.62010839,3.56883393,2.821281358,2.388233637,3.005482864,4.277999596,3.012009452,0.607114148
EIF6,4.18265768,4.179063564,4.060728483,7.191455354,9.264786965,8.281988456,4.158604018,4.093220724,3.838479849,4.087540323,3.630139718,2.853009782,1.887097516,1.919683911,4.336411002,4.530991156,2.11295089
UBE2D2,12.16293723,11.98913199,12.31790474,7.748137748,8.68613798,7.959599476,11.45171603,11.33989596,11.47323264,10.66598056,10.89047777,9.897685049,11.59090765,13.94966405,11.88455952,10.93386456,1.708988715
IGF2BP3,4.515112356,4.622119048,4.129629985,5.861232085,5.890111171,6.220066129,2.990058369,2.396576018,2.989394068,2.69409032,3.009985124,2.771358613,4.03732098,2.876087791,1.924108411,3.795150031,1.372858966
ANK1,2.792885117,3.095653467,3.047279793,5.446311756,6.070566035,5.422850533,3.062511893,3.584303962,3.039493447,3.267617301,3.28239845,2.797874609,3.208784817,3.252849466,4.672389939,3.736251372,1.090538046
CHST11,6.019009749,6.568620653,6.529207069,4.943254038,4.471324974,4.37631714,8.357771704,7.978546341,8.831916634,8.770650723,7.653092134,6.585704897,6.732309183,6.469696966,8.883283169,6.878047025,1.522336681
PSMA7,7.186597057,6.94102359,8.17573934,11.01985514,10.02275916,10.4293156,4.344214697,5.544346512,4.79323593,4.641471748,4.685784953,5.760103938,3.38069406,3.394329826,4.811805826,6.342085158,2.526577871
FLNA,10.9659234,10.80528207,9.333461365,5.762613134,6.494435137,6.198127722,11.88917531,10.73452521,11.8190386,11.09002585,10.92663012,8.159400735,6.489508724,8.191374254,12.83434462,9.44625775,2.369526355
TANK,5.390361898,5.014520791,6.332540109,2.773914713,2.440119389,2.419812761,3.30576863,3.254954349,3.075471812,3.222631158,3.115561673,4.892204273,6.109370682,3.611851691,3.397221481,3.890420361,1.300941998
HPS6,4.780996041,4.761868363,4.998862051,3.45812164,3.46724315,3.450315026,6.610222324,6.364295584,5.838647624,5.767257602,5.467017659,5.58578773,5.978431654,5.762514042,6.953765555,5.28302307,1.124237424
FRMD4A,3.620883905,3.588075579,3.730459234,5.706988761,5.625779502,6.403858287,3.912707343,3.695709032,3.712490095,4.130739351,3.734617479,4.220348706,5.73991376,4.26941418,3.982841435,4.404988443,0.951707493
IMPA2,7.09884527,6.61982899,6.789887705,9.519947744,10.08846562,8.899033598,5.828700246,6.362171837,5.674785763,6.060423839,5.949274605,6.070331459,5.650967185,5.665685116,5.801325888,6.805311657,1.477163214
SREBF2,8.549635828,10.83515226,9.003550155,7.11953504,7.771886473,7.163156437,13.90448896,14.00921775,13.87924224,13.82536182,14.35784252,10.10248642,9.57421573,11.48749427,12.41137464,10.93297604,2.676048014
ATOX1,6.581849051,7.068876959,8.028194245,15.81819167,15.65338486,14.78937897,6.397181517,8.036406452,7.247328247,6.591307876,6.43572052,5.309365203,6.672744143,6.439447938,4.122290745,8.346111227,3.788303962
SET,3.44711738,3.25179094,2.839141376,7.819073666,7.12856129,7.222438927,2.511202147,1.762435272,1.656941299,1.623181928,2.038466836,2.002577555,1.517435838,2.233043795,2.49287467,3.303085528,2.194822997
IGKC,1.893467853,1.852459172,2.195670081,4.915981131,4.221549452,4.186111633,3.910344482,4.018134787,3.689364033,3.599866995,3.395908005,5.107280577,8.710843965,4.385636546,3.340160184,3.961518593,1.643986164
PEBP1,9.965913283,14.14177051,12.99850269,18.0740227,19.76442836,23.13614316,4.347192243,5.025591223,5.980002761,4.211324225,4.027118675,4.328080065,3.653267127,4.840344385,3.843562966,9.222484292,6.703887654
DKFZP564O0823,11.98974619,11.65664787,11.48690197,7.750738991,5.984305679,6.977890348,13.26225894,13.18798973,13.42421627,12.78381686,12.51825164,11.60591188,12.02662822,13.91535588,15.43237234,11.60020219,2.658837273
HIST1H3D,10.69004711,9.461635406,11.61367533,5.15002687,4.799253258,4.803271592,9.069151625,10.98175367,9.249184642,10.54553026,10.65875883,12.15930506,11.38272972,9.467103911,10.65107134,9.378833242,2.472220527
ITPK1,7.033795648,7.667171292,6.4045299,6.526698464,6.619825033,7.108641352,10.96592768,11.5324035,10.90084408,10.60304568,10.38061199,9.609255728,7.878226682,8.694211562,8.464476288,8.692644325,1.826362263
RPRD2,4.414965201,3.845205555,4.034299493,2.58369664,2.343644111,2.382003045,3.939834035,3.741407619,3.62339825,4.107455388,3.937133451,5.294758669,7.798318835,4.974322202,4.218436715,4.082591947,1.33070386
RFC1,3.538750877,2.862773909,3.249285704,3.727442755,3.186802257,3.288168706,1.960093487,1.928392329,1.799831982,1.804872943,1.904161017,1.777876143,1.765489101,1.992903432,1.584994254,2.42478926,0.774078134
C4B,5.003393628,4.233004195,4.574530866,9.592322903,8.341766449,8.582125896,4.875214692,5.557698484,5.260386473,5.429487202,5.066286507,4.138082381,4.593378126,4.932224863,5.13884271,5.687916358,1.696102891
FAM38A,5.006552866,5.303749298,5.165850338,3.848143762,4.445828191,3.92656733,6.212644454,6.135344464,5.964435468,6.243037701,6.058090558,4.044941693,4.027284129,3.788189793,6.721803438,5.126164232,1.045840057
UBE2Z,8.417440208,10.30805065,9.040174383,6.53849889,6.623332188,6.587562627,11.14392688,10.77127459,10.638414,10.66991643,11.01590914,10.98566783,10.05116738,10.92626661,11.52384516,9.68276313,1.79255942
CAMTA2,4.656379832,5.634863224,5.165803561,3.476238817,3.550201087,3.4992526,6.49885314,6.337245028,5.778045712,5.876267701,6.048839857,6.21230088,5.297309057,5.178218803,7.207992443,5.36118745,1.141455464
RAB5C,8.500964767,10.10424895,10.24535123,4.699061114,5.328131956,5.843804214,11.20088303,11.5972379,10.67255796,12.18559848,11.50073111,13.75546193,10.47767441,12.71108011,16.66090411,10.36557942,3.218669183
GPC4,1.097205821,1.602494049,1.643816943,5.621259942,5.178949652,6.299817656,1.51523409,0.967541164,1.062238499,1.136903036,1.254123905,1.913827369,3.190666275,1.379331107,2.454575093,2.421198973,1.805647412
HIST1H2AH,20.07211737,16.88259599,22.9925211,7.937493568,7.335923274,6.480845895,21.06347143,18.73577039,17.72422364,20.66577001,16.98576966,25.84839971,22.6993358,15.84756502,21.16665064,17.4958969,5.920920885
PARVG,11.30162721,11.91157756,12.71152533,14.64481428,15.3385591,15.19695414,19.19447643,19.52699942,18.31952306,17.2711048,17.97068514,14.23327373,11.2315711,13.44454433,15.63738395,15.1956413,2.788534832
GOLIM4,4.539674424,3.887002333,4.852149727,3.668897885,3.461070674,3.226752446,2.462650699,2.165985823,2.134571959,2.065582063,2.154112479,2.801496164,3.302920711,2.35259215,1.883925948,2.997292366,0.941769666
TMEM14B,9.170932779,9.555293347,10.14144067,14.69454487,15.14868385,14.7391585,3.868388516,5.991499876,5.588030335,5.189537319,5.148368734,5.261023751,4.041920898,4.657526319,3.425466544,7.774787754,4.201794709
PARP12,8.406432167,7.35121462,7.771142795,6.145638222,5.981209487,5.639187278,10.0067887,10.67308259,10.24986531,9.123244698,9.793608643,7.972176545,8.469446623,8.545931605,8.308256094,8.295815025,1.552437945
VDAC3,3.888551276,3.973888176,5.217343834,8.172062497,9.383258462,7.910038931,2.044951714,2.22790875,2.137327869,1.650516379,1.38296132,2.28394258,2.603427175,0.633355256,0.999467311,3.633933435,2.7927551
NUDT2,5.044340434,5.14899972,6.846192886,11.0537093,11.92045055,13.20434376,4.73837387,5.008187825,4.458784276,4.615945924,5.147079876,4.325082698,4.772710447,6.539508359,7.618053867,6.696117587,2.956756024
DTX1,5.164794859,5.331902103,5.024469625,3.310330093,3.350160918,3.05138713,5.205624734,6.073136341,5.871796661,6.626896632,6.117304835,4.624534827,5.831426437,4.621770319,7.324096208,5.168642115,1.233785649
ZCRB1,10.56680748,16.42535885,15.32610809,18.73003971,16.85169459,15.70517957,5.903340079,6.010576788,5.544194445,5.094981805,5.118997523,8.449108487,6.302111198,5.725377149,5.561873368,9.821049942,5.207732575
BAHD1,1.715870154,2.22059908,2.212960721,1.315689877,1.329083228,1.252729454,2.621563351,3.110740991,2.87568267,2.984303039,3.124563897,3.328370915,2.532014694,2.508060862,4.981354003,2.540905796,0.9664919
CHMP2A,4.951297277,4.905748616,8.043941833,13.1377152,15.1478975,14.80669754,2.076422006,3.281535717,2.457758269,2.108529012,2.109305826,2.33657273,1.376347043,1.503518765,2.84145965,5.405649799,4.956753192
PMM1,4.991804225,5.162101022,5.672863643,9.465470894,9.740048726,10.25386614,6.845521809,7.216178464,7.051340393,6.103874937,6.433339562,6.216999703,5.947136452,5.294600658,6.079901533,6.831669877,1.681729612
IL21R,3.364394748,3.393930374,3.472057698,2.36864278,2.902393358,2.539127623,4.592638956,4.248465441,4.487681132,4.656271531,4.22792612,4.609441683,4.112284288,4.2651538,6.65889114,3.993286712,1.05921276
MSL3L1,2.320311829,2.360419735,2.095380486,3.716699286,3.496028289,3.530932394,2.587431885,2.721381753,2.626733717,2.681315421,2.888832201,3.700983521,3.851860225,2.53257934,2.685370916,2.919750733,0.57755464
PEG10,14.16502084,11.74958826,12.80937838,9.816270121,8.972427058,9.474520923,15.79241046,15.88969719,15.59895732,16.51500742,17.5494891,15.98187275,17.00953959,19.20871497,14.81139494,14.35628595,3.127114458
DDX24,2.852330265,3.042524744,3.09988596,4.569122219,4.748237445,4.375912606,2.929258663,3.031200838,2.900688398,2.936229659,2.56037664,3.469057332,2.39410035,3.125592636,4.50987759,3.369626356,0.778811386
RHBDF2,5.307183558,5.292034524,5.874570842,3.835130822,4.072744103,4.210949709,6.124318431,6.049855606,6.499427559,5.820980102,6.313745916,5.34568385,5.896799881,4.820269806,7.94940434,5.56087327,1.060145084
SNX22,7.388763453,8.839214192,7.159000182,5.286683285,5.332115833,5.00681778,9.506449256,9.035080889,10.45270629,10.24579947,9.724139639,8.708379219,7.404236405,7.43583979,6.845514393,7.891382672,1.791402296
PPP2CA,5.47371084,4.658504486,4.321155157,5.04079111,5.206345661,5.071237045,3.169358406,3.022979044,2.821459119,2.804507406,3.042351902,4.162176148,3.38235116,3.499523544,3.768626457,3.963005166,0.943614479
PPP2R5D,10.59056405,8.970856139,10.5085731,6.633541441,7.095786911,6.681535396,11.56420829,10.99063344,10.75628402,10.5293459,11.32206906,10.68446378,8.925980219,11.27025792,14.31428154,10.05589208,2.074954834
HIST1H3C,14.00006233,11.43607,11.90455085,5.633526787,5.427661571,5.360688246,11.03395904,11.86194001,11.86426148,14.73702884,14.18070703,10.81806424,11.33081148,12.74996454,13.40862383,11.04986135,3.119099954
HIST1H1D,15.60348481,10.78185605,12.43120671,5.804347392,5.462584769,5.371917852,12.48994061,12.39825297,11.38539158,11.9322006,13.05998496,16.0760211,13.02027641,11.7543254,16.15116804,11.58153062,3.52476513
PDCD4,3.767453497,5.258962889,4.268843478,4.97976494,4.911732432,5.585837347,2.412776366,1.742644517,1.996274885,1.960332186,1.935624793,1.833653,1.810602164,1.468317805,2.009752029,3.062838155,1.52952125
ARHGAP19,0.932635918,1.120690539,1.555627624,6.612881988,5.405780102,6.409921511,2.476886792,2.057387436,2.488977921,2.529982338,1.830365425,1.732101815,1.467441091,2.52467473,0.934462941,2.671987878,1.89373668
NDUFA3,7.627179366,10.25374467,10.39884917,21.71970847,23.84698,22.78021097,7.993152944,10.09367294,8.069448567,9.055582392,7.691202681,5.850205305,6.458026911,6.272853201,6.377010759,10.96585522,6.2965669
ARL6IP5,6.847048679,5.802287452,6.440335604,7.658541843,7.660231888,8.202065594,3.919737542,3.645965521,3.216434134,2.96060271,2.768192121,4.754207611,4.402807404,2.937482847,4.239174484,5.030341029,1.910224203
IFFO,5.555281615,6.001072392,5.747695684,4.07929322,4.762394088,4.292512896,6.415496673,6.473015232,6.395660222,6.753620403,6.772377956,6.243939694,6.282095556,5.643933485,6.849202672,5.884506119,0.88245186
APP,8.05735441,7.601252088,7.733204887,9.99286227,7.598754553,8.70227433,14.97621095,14.47748565,15.92372356,18.28559999,16.35439271,20.52217565,16.62331016,19.99520286,13.17286241,13.33444443,4.696690575
HIST1H2AE,23.53337847,22.4243617,19.22630115,10.52109158,11.39535524,10.05240645,24.64554433,20.60455028,19.66227132,24.23482673,22.32241608,25.89495392,23.09343916,20.93548219,18.48396011,19.80202258,5.169267425
SLC37A2,6.019323993,5.921752868,6.772118302,5.448147706,6.07610864,5.455044606,9.170272126,8.509727014,9.134474943,8.351880668,9.239407899,8.087931981,5.847998717,7.147935551,9.494194512,7.378421302,1.5310688
SEMA7A,4.259371574,4.58059162,4.358968766,2.246350694,2.762583264,2.471637768,4.167294749,3.80430232,4.304537008,4.416185859,4.020247125,4.531289236,4.352901716,4.356231089,7.146347279,4.118589338,1.134853758
MMS19,7.576677241,8.263036216,8.483408465,8.080478089,7.809399003,7.624991857,12.51809101,12.04424945,12.10841479,10.53774806,12.06051176,8.688321142,7.948565671,10.59141731,10.8665937,9.680126917,1.895642394
SLC2A3,2.005472038,1.972166127,1.772082325,3.150540285,3.329089828,3.196863155,2.109404327,1.926424302,1.993471774,2.246428193,2.248092151,2.282115303,2.103225893,2.718231228,2.502435651,2.370402839,0.501121992
CTSZ,9.233048163,9.545822849,8.768451486,4.304181799,4.999072235,4.320588259,8.158069027,7.534416658,8.36698937,9.835429555,9.079449697,10.46004615,7.676685705,9.225209934,14.54636159,8.403588165,2.58681754
ZNF335,3.597985955,3.514197138,3.433267516,2.370206627,2.788395382,2.821016061,4.769249515,4.296267364,4.283361175,4.348514895,4.217583507,4.407316054,4.05316018,3.810743739,6.075510321,3.919118362,0.909309176
INPP5D,5.95777071,5.205289102,5.826439349,4.054184738,3.866565558,3.644833145,6.116887633,6.480015377,5.840233358,5.749175114,6.273490926,7.451508081,7.116012068,8.408006046,10.26847658,6.150592519,1.731760216
TSR1,2.002218532,2.251933979,2.033396595,2.708546941,2.88212108,2.747811379,1.747747482,1.448835246,1.560560481,1.734842422,1.547513015,2.26961258,1.629044919,2.085449099,2.307367145,2.06380006,0.462182806
EML3,5.78953255,6.375736236,6.410096397,7.762899287,7.743819005,7.284655901,8.534902104,9.182757507,8.91671688,8.476855197,8.529257631,8.039114579,6.985856975,6.58462805,7.706861345,7.62157931,1.024341458
TIMP1,10.68168397,12.78056894,15.29935326,25.37270148,33.01231945,28.38695232,8.954199471,10.41655181,10.07641956,9.956011834,7.913429363,13.33215767,8.715841498,10.03731732,10.66351539,14.37326822,7.892975355
IGJ,33.73928369,28.0826146,26.91528777,12.95026386,12.64520395,12.18607014,15.98248588,17.6791053,17.46798886,20.15373265,20.02312096,16.40998513,14.13200004,17.78975524,19.57813968,19.04900252,6.173376828
ARRDC2,4.840849272,4.102563934,4.38879368,2.754978308,3.122036157,3.396460648,5.392367109,5.400209694,5.716541497,5.336029883,5.700489884,3.219822873,4.073492916,3.752134636,7.000446118,4.546481107,1.203413719
PAICS,22.03758405,20.1587977,18.6644966,11.72624579,10.45362227,11.29412452,17.55350975,16.49166226,17.72689955,16.86587539,19.65410923,19.10012977,18.23544474,19.94733921,17.61365517,17.16823307,3.423464491
HCST,12.93043973,12.89471972,12.19898037,30.28267071,42.54529822,35.57674329,6.340644938,10.28351546,10.22373798,9.278799945,7.173187305,8.096741535,6.201743185,8.372751318,8.903952212,14.75359506,11.50011209
AMPD2,6.269482745,5.785983195,6.345706401,4.272990799,4.830399781,4.294303368,7.23967881,7.6075944,7.282069011,6.554097039,7.007581806,5.478103989,6.283474709,6.486497647,8.222256867,6.264014704,1.167024753
HECTD3,8.006929862,7.879501037,8.752671559,5.199399025,4.728276298,4.308427189,9.728838237,9.975159445,9.556963172,8.200061146,8.412893301,7.487396989,6.478828944,6.314864103,10.7758649,7.720405014,1.968145285
C21orf45,4.704053796,5.402253586,5.130161213,6.991815835,6.592715974,7.485987943,2.404912778,3.176129423,3.461999841,3.18245257,2.964934461,4.014596467,3.536609727,3.085545371,2.459208882,4.306225191,1.665519568
AKT3,14.2055134,12.48467251,13.36628781,5.763474182,4.775593289,5.671056812,12.0600544,10.34461193,14.62572373,10.77659421,12.37442614,13.77543411,19.6472136,18.49253627,10.0372484,11.89336272,4.283272415
ZNF496,6.28134572,6.174023633,6.567386976,5.77731819,5.646280668,5.075340393,8.541943755,9.125920179,8.603490875,8.006242896,7.914860212,6.148006932,6.48127391,8.447932385,7.02195347,7.054221346,1.275688618
RARS,5.83147567,5.56053555,6.583206925,8.212775729,6.727175037,7.785255505,4.084487696,3.885011395,3.787644298,3.212903161,3.590112056,5.665454297,3.79516358,4.043248652,3.466975335,5.082094992,1.655432136
SPOP,4.720251795,4.948620743,5.260836566,5.999022983,6.490400346,6.59388632,4.340907576,3.952157677,3.703931292,4.150466425,3.812494068,4.730830777,4.115879499,3.346190321,4.258275907,4.694943486,0.999866651
ORMDL3,6.999230324,7.161567148,7.962946695,4.643455134,5.121169287,4.765581397,8.734342941,7.635546506,7.780712613,7.803122808,8.902933485,8.783003483,6.970693949,10.08554029,11.11195045,7.630786434,1.831414905
TRIM28,6.839921246,7.229866641,7.103207647,5.806077357,6.412550426,5.925391778,8.804468692,8.191768044,8.861679386,8.095201908,8.253280344,8.520963562,7.167095539,8.317473991,15.90674639,8.095712863,2.380354325
ETFB,8.174178493,8.464990286,9.104646248,13.77877285,17.47951173,14.74649537,7.261313439,8.588872385,6.834027896,7.756755309,7.400958277,7.367530468,5.392691746,4.89717477,6.461583302,8.913966838,3.581396253
NLRC5,4.90479935,5.535907291,5.649822082,5.259773474,5.313359599,4.9120065,9.419723625,8.45281406,9.081717809,7.547010195,8.417995463,6.542838117,6.279271279,6.838384343,8.842524243,6.866529829,1.627459324
MAP4K1,9.664018791,10.66225822,10.40774453,10.04579142,10.57270227,9.875050543,14.22437655,16.15704236,15.01593479,13.9800766,13.83813454,10.8215197,11.52858039,12.68494899,12.26628149,12.11629741,2.082676037
AKT2,10.68584605,11.70086697,9.985064884,7.487305097,8.322333321,8.031784579,13.5419268,12.85577443,13.66813747,15.70895285,13.81294385,11.8100985,10.03850874,11.33975325,13.28752275,11.4851213,2.397158188
CCDC69,13.56155841,12.84168481,14.64861457,8.89642713,7.60969275,7.371032068,17.23262609,15.95511943,16.54202441,13.68084075,14.99637364,13.05050989,12.09722504,13.81191011,14.70024458,13.13305891,3.028238535
TAF5L,3.041305785,3.17578051,3.816444028,2.107916355,1.783333528,1.935444924,3.438289537,3.772938326,3.324385362,3.442897896,3.434245761,4.624918572,4.484696811,4.170776756,4.448133259,3.400100494,0.898384505
NOP5/NOP58,5.054889733,3.722122389,3.953422268,5.771610948,4.728106559,5.727423096,2.493576435,2.229584164,1.908018724,2.241686213,1.896485406,3.326191786,2.78862496,2.093125318,2.362793558,3.353177437,1.391396916
MTIF2,5.288629276,4.740524452,6.025040426,6.770894239,5.359131455,6.173381228,3.375110171,3.245739769,2.8264643,3.003768056,2.978140435,3.724766467,3.48511326,2.955867251,3.329670946,4.218816115,1.365228274
PRPF40A,7.164561647,5.886959787,5.616118595,8.561511066,6.731091539,7.463960146,2.695195835,3.669128645,2.804797295,2.632431937,3.169802276,3.673438047,3.849411905,2.411926074,2.068692737,4.559935169,2.136928305
PARP9,5.733275925,3.470392211,4.196656394,10.11626277,9.341748155,10.27403954,2.983853631,3.73788294,3.372375859,3.486768064,3.445561018,3.869412333,3.905382743,4.12417315,4.848141389,5.127061741,2.569083294
PARL,6.18790253,5.743426768,6.548462514,9.616705735,10.7129615,9.161064468,5.720586931,5.662147632,4.618883549,5.027275753,4.86251298,5.982238784,5.984011591,4.555103943,5.389864968,6.384876643,1.894827944
ATP6V0E1,9.007624425,8.546511876,8.381323673,9.73146556,9.384309967,9.302396839,6.337834508,7.023914259,5.811684538,5.920821159,5.852077996,6.280494627,5.752467158,5.485445199,7.700027496,7.367893285,1.556975518
HIST1H4I,3.211897748,3.481091333,3.348039731,1.172867123,1.319729605,1.243353618,3.201457144,3.666584644,3.145014321,5.187377026,3.878715335,3.164489329,3.355898205,2.13783411,3.215517202,2.981991098,1.090424298
