ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000164011.18	6999	0.48	0.45	0.13	0.33	0.38	0.09	0.44	0.61	0.11	0.41	0.33	0.15	0.39	0.4	0.2	0.44	0.13	0.21	0.24	0.14	0.13	0.43	0.14	0.11
ENSG00000265799.1	31499	0.05	1.0	0.18	0.06	0.84	0.18	0.06	0.75	0.16	0.06	0.95	0.13	0.05	0.94	0.21	0.05	0.39	0.17	0.08	0.4	0.3	0.06	0.58	0.25
ENSG00000223986.1	4499	0.0	0.14	0.04	0.01	0.03	0.02	0.04	0.12	0.08	0.02	0.03	0.05	0.03	0.11	0.07	0.02	0.19	0.45	0.01	0.21	0.28	0.04	0.19	0.18
ENSG00000270972.1	6499	0.01	0.32	0.08	0.05	0.19	0.04	0.06	0.33	0.07	0.0	0.72	0.05	0.03	0.68	0.12	0.02	0.1	0.04	0.0	0.12	0.06	0.02	0.05	0.04
ENSG00000197081.16	41999	0.12	1.18	0.14	0.23	1.74	0.13	0.16	0.72	0.16	0.2	1.59	1.19	0.23	1.46	0.2	0.13	0.7	0.21	0.16	1.84	0.25	0.16	0.97	0.22
ENSG00000136770.11	6999	0.22	0.07	0.05	0.1	0.04	0.04	0.09	0.05	0.02	0.25	0.09	0.05	0.34	0.07	0.05	0.17	0.15	0.12	0.24	0.09	0.05	0.55	0.19	0.2
ENSG00000179840.5	6499	0.04	1.41	0.12	0.03	1.13	0.04	0.07	1.2	0.12	0.02	1.37	0.14	0.05	0.95	0.11	0.09	0.71	0.15	0.07	0.49	0.38	0.04	0.58	0.35
ENSG00000223993.2	4999	0.0	0.35	0.19	0.02	0.17	0.2	0.01	0.21	0.13	0.01	0.05	0.08	0.0	0.22	0.16	0.01	0.46	1.39	0.0	0.54	0.93	0.02	0.44	0.78
ENSG00000252755.1	5499	0.03	0.7	0.28	0.09	0.86	0.24	0.11	0.88	0.24	0.05	0.54	0.32	0.06	1.01	0.26	0.05	0.55	0.18	0.1	0.43	0.15	0.03	0.32	0.3
ENSG00000150459.13	20999	0.01	0.43	0.14	0.02	0.31	0.04	0.01	0.48	0.05	0.01	0.88	0.08	0.03	0.99	0.13	0.03	0.89	0.15	0.04	0.77	0.12	0.03	1.0	0.18
ENSG00000103550.14	16401	0.32	0.22	0.07	0.33	0.27	0.05	0.37	0.3	0.07	0.36	0.32	0.07	0.34	0.3	0.07	0.24	0.41	0.1	0.27	0.41	0.21	0.39	0.56	0.18
ENSG00000010310.9	7499	0.27	0.61	0.17	0.47	0.54	0.05	0.36	0.48	0.07	0.37	1.0	0.28	0.42	0.9	0.37	0.39	0.45	0.12	0.42	0.26	0.18	0.5	0.66	0.13
ENSG00000173614.14	4999	0.7	0.67	0.17	0.27	0.75	0.13	0.28	0.52	0.15	0.36	0.61	0.22	0.22	0.58	0.13	0.33	0.22	0.04	0.33	0.32	0.09	0.37	0.29	0.11
ENSG00000113312.12	14999	0.18	0.7	0.22	0.14	0.43	0.13	0.06	0.47	0.14	0.18	0.75	0.28	0.22	0.96	0.16	0.19	0.53	0.18	0.2	0.52	0.18	0.24	0.6	0.28
ENSG00000198835.4	5499	0.01	0.43	0.02	0.0	0.29	0.01	0.01	0.35	0.02	0.05	0.57	0.06	0.03	0.51	0.01	0.0	0.03	0.02	0.0	0.02	0.02	0.07	0.08	0.04
ENSG00000163961.4	7999	0.26	0.3	0.06	0.22	0.23	0.02	0.28	0.12	0.04	0.58	0.38	0.08	0.6	0.41	0.09	0.17	0.23	0.1	0.24	0.2	0.12	0.37	0.34	0.12
ENSG00000293076.1	6499	1.2	0.19	0.1	1.36	0.21	0.1	1.11	0.21	0.1	1.32	0.16	0.01	1.45	0.31	0.03	1.05	0.17	0.08	1.2	0.27	0.11	1.69	0.44	0.2
ENSG00000161888.12	11499	0.0	0.81	0.09	0.01	0.81	0.13	0.03	0.64	0.12	0.02	0.25	0.07	0.01	0.49	0.11	0.04	0.36	0.34	0.01	0.41	0.46	0.02	0.51	0.28
ENSG00000267834.1	11999	0.28	0.36	0.09	0.23	0.47	0.09	0.15	0.52	0.15	0.17	0.23	0.04	0.12	0.18	0.04	0.12	0.1	0.03	0.1	0.11	0.05	0.19	0.13	0.08
ENSG00000277022.1	5999	0.02	0.76	0.22	0.0	0.34	0.05	0.02	0.29	0.04	0.01	0.48	0.09	0.01	0.51	0.12	0.0	0.28	0.06	0.0	0.21	0.04	0.02	0.23	0.13
ENSG00000135747.11	9499	0.04	0.46	0.24	0.12	0.58	0.21	0.11	0.78	0.21	0.02	0.58	0.16	0.02	0.58	0.15	0.09	0.23	0.08	0.03	0.21	0.12	0.04	0.17	0.14
ENSG00000243089.2	5499	3.03	0.5	0.28	1.86	0.35	0.21	1.55	0.51	0.19	0.01	0.02	0.09	0.02	0.1	0.13	0.19	0.22	0.36	0.45	0.25	0.35	0.46	0.27	0.38
ENSG00000178057.15	6999	1.49	2.11	0.66	0.67	1.85	0.43	0.61	2.24	0.74	0.69	1.81	0.63	0.51	1.81	0.59	0.65	1.09	0.24	1.11	1.06	0.37	1.0	1.36	0.65
ENSG00000197958.13	5499	0.25	0.82	24.0	0.29	1.0	0.13	0.31	0.64	0.12	0.24	0.63	14.85	0.22	0.61	16.58	0.21	0.3	0.1	0.08	0.33	0.1	0.16	0.25	0.07
ENSG00000289257.2	34499	0.01	1.27	0.12	0.01	0.83	0.09	0.03	0.72	0.11	0.01	1.15	0.1	0.01	1.22	0.14	0.02	0.47	0.1	0.02	0.51	0.19	0.02	0.77	0.28
ENSG00000199325.1	5999	0.36	0.39	0.15	0.32	0.73	0.07	0.22	0.53	0.17	0.18	0.35	0.08	0.27	0.38	0.15	0.19	0.9	0.59	0.11	1.15	0.75	0.19	0.68	0.54
ENSG00000116830.12	7999	0.87	0.44	0.3	0.37	0.55	0.18	0.28	0.58	0.13	0.69	0.65	0.13	0.77	0.64	0.23	0.31	1.06	0.63	0.25	1.22	0.98	0.38	0.81	0.99
ENSG00000163565.20	3999	0.19	0.17	0.09	0.15	0.16	0.05	0.23	0.22	0.06	0.43	0.13	0.19	0.23	0.16	0.3	0.2	0.1	0.12	0.09	0.14	0.12	0.14	0.1	0.08
ENSG00000107036.12	23499	0.9	0.87	0.23	0.63	0.54	0.15	0.43	0.41	0.16	0.57	0.42	0.08	0.86	0.54	0.06	0.45	0.17	0.17	0.43	0.12	0.19	0.65	0.35	0.3
ENSG00000146918.20	31499	0.2	0.39	0.09	0.14	0.39	0.1	0.14	0.28	0.09	0.2	0.62	0.09	0.17	0.55	0.11	0.19	0.48	0.14	0.17	0.44	0.12	0.27	0.83	0.25
ENSG00000261799.1	6499	0.05	0.39	0.01	0.02	0.23	0.06	0.08	0.15	0.05	0.05	0.48	0.07	0.07	0.55	0.02	0.09	0.43	0.22	0.07	0.16	0.11	0.12	0.54	0.27
ENSG00000152778.10	8499	0.11	0.21	0.12	0.07	0.24	0.04	0.05	0.17	0.04	0.18	0.53	0.19	0.13	0.46	0.19	0.13	0.14	0.05	0.1	0.08	0.05	0.08	0.21	0.08
ENSG00000134108.14	4999	0.34	1.41	0.42	0.28	1.43	0.3	0.13	1.63	0.31	0.33	1.72	0.53	0.3	2.18	0.96	0.27	0.65	0.23	0.33	0.48	0.14	0.23	0.66	0.36
ENSG00000289053.2	8999	0.58	0.1	0.02	0.56	0.06	0.02	0.76	0.07	0.05	0.64	0.15	0.01	0.62	0.17	0.02	0.66	0.1	0.05	0.4	0.15	0.08	0.53	0.21	0.08
ENSG00000215206.5	3999	0.01	0.38	0.44	0.02	0.31	0.27	0.05	0.4	0.18	0.0	0.05	0.18	0.01	0.07	0.18	0.0	0.17	0.51	0.0	0.22	0.16	0.0	0.22	0.27
ENSG00000173349.6	4999	0.13	0.46	0.14	0.12	0.4	0.08	0.05	0.39	0.07	0.05	0.29	0.1	0.15	0.38	0.13	0.03	0.26	0.03	0.12	0.31	0.09	0.05	0.43	0.12
ENSG00000113810.16	14999	0.11	1.24	0.24	0.06	0.95	0.12	0.04	0.93	0.14	0.09	1.26	0.23	0.12	1.72	0.24	0.08	1.57	0.39	0.06	0.88	0.33	0.13	1.38	0.47
ENSG00000229162.1	4499	0.13	1.17	0.37	0.3	1.39	0.31	0.26	1.32	0.67	0.29	0.56	0.26	0.38	0.85	0.25	0.46	0.21	0.15	0.37	0.34	0.32	0.39	0.27	0.1
ENSG00000202089.1	21499	0.0	0.65	0.09	0.01	0.49	0.04	0.01	0.4	0.04	0.0	0.86	0.09	0.02	0.85	0.02	0.01	0.78	0.06	0.01	0.62	0.15	0.0	0.81	0.11
ENSG00000167721.11	13499	0.3	0.62	0.15	0.37	0.51	0.09	0.4	0.59	0.14	0.28	0.61	0.09	0.34	0.74	0.19	0.32	0.56	0.14	0.29	0.47	0.2	0.33	0.72	0.29
ENSG00000165280.18	65587	0.29	1.43	0.19	0.19	0.94	0.16	0.15	0.89	0.17	0.2	0.97	0.08	0.21	1.0	0.07	0.13	0.35	0.08	0.12	0.3	0.1	0.27	0.6	0.15
ENSG00000101558.14	4499	0.04	0.18	0.07	0.02	0.26	0.03	0.04	0.19	0.02	0.02	0.3	0.03	0.04	0.27	0.01	0.0	0.12	0.03	0.05	0.15	0.07	0.0	0.23	0.05
ENSG00000109519.14	10499	0.04	0.63	0.25	0.06	0.47	0.07	0.06	0.43	0.08	0.06	0.76	0.13	0.06	0.69	0.12	0.05	1.15	0.22	0.04	0.94	0.31	0.04	1.25	0.33
ENSG00000290474.1	4499	0.31	0.21	0.16	0.36	0.43	0.1	0.48	0.28	0.02	0.28	0.31	0.09	0.53	0.32	0.11	0.29	0.51	0.74	0.52	0.56	0.55	0.46	0.46	0.45
ENSG00000263080.1	6999	0.05	2.16	0.66	0.05	2.02	0.33	0.18	1.56	0.4	0.11	2.45	0.4	0.04	2.54	0.51	0.12	1.6	0.34	0.04	1.41	0.22	0.05	1.56	0.38
ENSG00000230096.1	3999	0.0	0.02	0.02	0.01	0.06	0.06	0.0	0.05	0.05	0.0	0.01	0.03	0.0	0.01	0.06	0.0	0.17	0.37	0.0	0.05	0.25	0.0	0.04	0.31
ENSG00000227714.1	4499	0.0	0.28	0.11	0.0	0.16	0.17	0.02	0.16	0.04	0.0	0.08	0.1	0.0	0.25	0.15	0.02	0.22	0.4	0.0	0.19	0.23	0.01	0.27	0.29
ENSG00000116161.18	9999	0.16	0.56	0.15	0.15	0.5	0.17	0.1	0.46	0.15	0.12	0.57	0.14	0.13	0.6	0.08	0.13	0.54	0.29	0.14	0.29	0.19	0.14	0.49	0.23
ENSG00000123636.19	4499	0.39	1.02	0.49	0.11	0.98	0.24	0.14	0.92	0.12	0.14	0.96	0.13	0.21	0.98	0.34	0.33	0.42	0.25	0.25	0.28	0.25	0.29	0.43	0.17
ENSG00000158792.16	8499	0.02	0.31	0.09	0.07	0.24	0.05	0.05	0.09	0.01	0.04	0.34	0.05	0.05	0.22	0.05	0.02	0.25	0.02	0.02	0.2	0.04	0.07	0.34	0.07
ENSG00000133067.18	3999	0.0	0.08	0.06	0.04	0.17	0.08	0.03	0.25	0.08	0.01	0.05	0.19	0.0	0.07	0.12	0.01	0.19	0.43	0.09	0.23	0.43	0.0	0.11	0.2
ENSG00000100767.17	18499	0.36	0.77	0.21	0.17	0.56	0.04	0.15	0.32	0.04	0.13	0.43	0.1	0.15	0.59	0.08	0.09	0.31	0.1	0.13	0.3	0.08	0.17	0.56	0.1
ENSG00000108599.15	7999	0.33	0.69	0.15	0.24	0.4	0.11	0.18	0.54	0.16	0.58	1.26	0.14	0.5	1.21	0.21	0.37	1.08	0.4	0.43	0.74	0.43	0.68	0.96	0.65
ENSG00000287384.1	19499	0.0	0.65	0.07	0.01	0.36	0.06	0.0	0.32	0.08	0.01	0.4	0.05	0.01	0.51	0.04	0.01	0.15	0.07	0.01	0.17	0.06	0.01	0.24	0.11
ENSG00000188315.8	6499	0.09	0.3	0.28	0.07	0.3	0.1	0.07	0.29	0.03	0.07	0.45	0.43	0.07	0.41	0.57	0.07	0.24	0.04	0.04	0.2	0.09	0.05	0.57	0.06
ENSG00000207452.1	3999	0.0	0.42	0.03	0.03	0.29	0.01	0.01	0.31	0.05	0.05	0.26	0.02	0.06	0.36	0.0	0.09	0.39	0.18	0.02	0.14	0.13	0.11	0.35	0.14
ENSG00000156831.8	7999	0.17	0.59	0.18	0.13	0.31	0.06	0.04	0.27	0.1	0.09	0.33	0.09	0.23	0.31	0.09	0.07	0.15	0.06	0.11	0.14	0.16	0.21	0.28	0.17
ENSG00000288771.2	9499	1.2	3.15	1.73	1.61	3.05	1.07	2.12	3.58	2.24	0.04	0.28	0.16	0.02	0.31	0.21	0.25	0.21	0.15	0.3	0.31	0.07	0.32	0.34	0.08
ENSG00000108848.16	11999	0.05	0.3	0.07	0.04	0.19	0.07	0.03	0.32	0.08	0.04	0.51	0.05	0.03	0.41	0.08	0.03	0.5	0.17	0.06	0.4	0.25	0.06	0.59	0.2
ENSG00000231966.1	4999	0.01	0.07	0.07	0.02	0.09	0.08	0.0	0.09	0.01	0.01	0.17	0.07	0.0	0.27	0.04	0.03	0.23	0.09	0.03	0.21	0.04	0.02	0.44	0.13
ENSG00000177150.13	15999	0.02	0.25	0.07	0.04	0.37	0.06	0.03	0.41	0.06	0.03	0.59	0.07	0.07	0.58	0.05	0.04	0.54	0.17	0.07	0.37	0.13	0.03	0.52	0.16
ENSG00000276729.1	5999	0.01	0.18	0.03	0.02	0.22	0.0	0.02	0.13	0.03	0.01	0.22	0.02	0.01	0.08	0.03	0.01	0.44	0.14	0.04	0.46	0.08	0.01	0.42	0.1
ENSG00000119408.17	8499	36.76	1.44	0.6	27.15	0.86	0.36	35.11	1.39	1.56	14.96	0.97	0.44	12.62	0.91	0.37	13.76	0.93	0.28	14.59	2.05	0.71	17.49	3.32	1.59
ENSG00000103653.17	4499	0.31	0.2	0.2	0.15	0.12	0.06	0.19	0.19	0.04	0.7	0.12	0.21	0.34	0.31	0.28	0.14	0.12	0.05	0.15	0.15	0.08	0.47	0.18	0.1
ENSG00000165119.22	3999	0.39	0.09	0.14	0.41	0.04	0.01	0.31	0.16	0.02	0.29	0.05	0.36	0.37	0.19	0.63	0.17	0.15	0.03	0.3	0.08	0.04	0.21	0.14	0.03
ENSG00000089022.15	12499	0.7	0.33	0.1	0.36	0.22	0.07	0.3	0.32	0.06	0.27	0.39	0.06	0.41	0.5	0.07	0.32	0.59	0.12	0.4	0.44	0.06	0.53	0.86	0.24
ENSG00000287077.1	4499	0.32	0.76	0.12	0.26	0.6	0.18	0.4	0.71	0.19	0.29	0.7	0.29	0.43	0.89	0.39	0.11	0.73	0.21	0.27	0.55	0.37	0.16	0.64	0.33
ENSG00000105993.15	22999	0.01	2.8	0.7	0.02	1.83	0.2	0.02	1.43	0.22	0.03	4.31	0.87	0.03	3.75	0.89	0.02	1.11	0.11	0.04	0.75	0.17	0.05	0.84	0.14
ENSG00000266969.1	4999	0.02	0.28	0.12	0.02	0.24	0.13	0.01	0.51	0.14	0.0	0.17	0.09	0.03	0.2	0.05	0.01	0.11	0.15	0.01	0.12	0.08	0.03	0.08	0.18
ENSG00000139133.7	7499	1.48	0.97	0.07	1.52	0.76	0.08	1.58	0.75	0.13	1.57	0.82	0.13	1.87	0.76	0.14	1.75	0.49	0.19	1.45	0.49	0.23	1.44	0.75	0.31
ENSG00000274317.2	4999	0.0	0.03	0.08	0.0	0.03	0.02	0.0	0.02	0.04	0.0	0.04	0.11	0.0	0.03	0.07	0.0	0.12	0.31	0.0	0.03	0.37	0.01	0.06	0.35
ENSG00000166169.17	3999	0.31	0.14	0.14	0.16	0.19	0.03	0.33	0.14	0.03	0.32	0.22	0.05	0.31	0.23	0.04	0.14	0.08	0.06	0.2	0.11	0.02	0.18	0.13	0.11
ENSG00000196227.11	4499	0.11	0.35	0.2	0.11	0.25	0.06	0.08	0.21	0.05	0.19	0.14	0.14	0.12	0.31	0.07	0.11	0.19	0.09	0.09	0.09	0.11	0.11	0.12	0.08
ENSG00000039123.16	16499	0.73	0.51	0.17	0.43	0.32	0.08	0.28	0.26	0.1	0.5	0.41	0.1	0.62	0.6	0.14	0.44	0.62	0.49	0.46	0.57	0.26	0.7	0.84	0.61
ENSG00000177406.5	6999	0.07	0.19	0.02	0.03	0.18	0.06	0.09	0.23	0.03	0.0	0.39	0.07	0.03	0.39	0.05	0.0	0.3	0.13	0.02	0.37	0.07	0.02	0.39	0.06
ENSG00000121931.16	22999	0.29	1.26	0.38	0.22	1.02	0.31	0.24	0.97	0.31	0.28	1.52	0.23	0.39	1.68	0.29	0.3	1.08	0.46	0.22	0.82	0.42	0.36	1.33	0.64
ENSG00000232358.1	9499	0.0	0.85	0.28	0.02	0.88	0.14	0.01	0.51	0.33	0.0	0.6	0.19	0.0	0.57	0.12	0.03	0.54	0.21	0.01	0.42	0.22	0.0	0.53	0.29
ENSG00000250474.2	7499	0.03	0.46	0.52	0.07	0.61	0.27	0.08	0.52	0.22	0.12	0.52	0.28	0.04	0.63	0.26	0.14	0.69	0.24	0.06	0.46	0.3	0.12	0.72	0.55
ENSG00000265739.1	4499	0.02	0.14	0.35	0.0	0.05	0.28	0.01	0.08	0.29	0.0	0.09	0.39	0.0	0.11	0.32	0.01	0.1	0.56	0.0	0.17	0.33	0.0	0.14	0.28
ENSG00000173890.17	3999	0.02	0.02	0.03	0.02	0.06	0.02	0.01	0.01	0.03	0.16	0.0	0.04	0.31	0.11	0.05	0.5	0.0	0.02	0.34	0.0	0.0	0.59	0.07	0.06
ENSG00000275448.1	5499	0.0	0.05	0.03	0.01	0.11	0.09	0.01	0.02	0.01	0.01	0.03	0.07	0.01	0.04	0.07	0.01	0.13	0.46	0.01	0.21	0.5	0.02	0.09	0.47
ENSG00000148218.16	4999	0.01	0.17	0.32	0.03	0.38	0.19	0.04	0.22	0.12	0.02	0.16	0.13	0.04	0.16	0.24	0.01	0.08	0.13	0.0	0.2	0.17	0.03	0.1	0.12
ENSG00000230228.2	71499	0.17	1.92	0.12	0.1	0.97	0.09	0.12	0.83	0.09	0.45	1.91	0.15	0.56	2.45	0.14	0.24	1.09	0.21	0.12	0.9	0.24	0.2	1.7	0.44
ENSG00000104783.15	11499	0.09	2.25	0.57	0.11	1.14	0.14	0.07	1.23	0.17	0.07	0.9	0.24	0.02	0.73	0.19	0.07	0.65	0.09	0.06	0.53	0.16	0.15	0.84	0.17
ENSG00000105373.19	8999	0.15	0.7	0.37	0.16	0.62	0.2	0.14	0.59	0.12	0.19	0.72	0.26	0.27	1.01	0.44	0.18	0.72	0.21	0.17	0.63	0.28	0.2	0.83	0.42
ENSG00000226662.2	14499	0.0	0.63	0.12	0.01	0.47	0.05	0.01	0.74	0.09	0.01	0.81	0.08	0.01	0.9	0.07	0.02	0.22	0.09	0.02	0.21	0.12	0.04	0.32	0.11
ENSG00000233694.6	8499	0.01	1.04	0.28	0.01	0.58	0.07	0.03	0.95	0.18	0.01	1.02	0.2	0.02	1.07	0.2	0.0	0.11	0.02	0.0	0.08	0.04	0.0	0.08	0.06
ENSG00000131236.18	5499	0.09	0.25	0.38	0.12	0.32	0.11	0.18	0.51	0.2	0.13	0.31	0.64	0.24	0.45	1.18	0.09	0.4	0.21	0.09	0.29	0.14	0.11	0.33	0.24
ENSG00000136824.19	4499	2.45	0.34	0.12	2.12	0.26	0.08	1.63	0.27	0.11	1.17	0.27	0.12	1.21	0.26	0.07	1.22	0.2	0.17	1.35	0.32	0.16	1.46	0.49	0.26
ENSG00000105372.8	9999	13.36	3.4	1.39	13.6	3.05	0.56	15.76	2.3	1.12	19.74	4.1	1.35	14.67	3.64	1.4	28.62	3.83	0.65	34.12	6.23	1.27	34.4	7.18	2.72
ENSG00000234771.3	7999	0.11	0.79	0.22	0.09	0.71	0.07	0.04	0.47	0.08	0.03	0.25	0.05	0.01	0.34	0.12	0.03	0.1	0.03	0.04	0.12	0.02	0.02	0.14	0.03
ENSG00000125657.5	14499	0.26	0.47	0.09	0.15	0.28	0.05	0.15	0.31	0.05	0.37	0.62	0.11	0.34	0.86	0.11	0.22	0.27	0.05	0.21	0.16	0.07	0.17	0.32	0.11
ENSG00000231671.1	4499	1.25	0.04	0.04	0.87	0.02	0.02	1.0	0.12	0.03	0.56	0.05	0.06	0.5	0.1	0.01	0.35	0.07	0.04	0.19	0.06	0.04	0.12	0.14	0.06
ENSG00000224870.9	6999	0.77	1.66	0.41	0.66	1.7	0.41	0.88	2.2	0.76	0.68	2.49	0.57	0.54	1.97	0.44	0.71	0.98	0.19	0.47	1.0	0.31	0.75	1.14	0.38
ENSG00000132554.21	5999	0.04	0.48	0.63	0.07	0.41	0.59	0.07	0.42	0.64	0.01	0.23	0.53	0.02	0.21	0.42	0.01	0.43	1.17	0.02	0.26	1.08	0.03	0.43	0.78
ENSG00000198171.13	8999	0.91	1.15	0.23	0.62	0.85	0.19	0.76	0.93	0.23	0.86	1.46	0.25	0.91	1.4	0.15	0.61	0.77	0.2	0.67	0.81	0.28	0.91	1.01	0.4
ENSG00000132465.12	7499	0.01	0.01	0.06	0.07	0.0	0.01	0.12	0.05	0.03	0.32	0.01	0.24	0.4	0.04	0.23	1.6	0.07	0.06	3.1	0.23	0.14	2.44	0.21	0.18
ENSG00000277003.1	10499	0.03	0.25	0.07	0.01	0.22	0.09	0.0	0.08	0.05	0.03	0.26	0.04	0.03	0.45	0.1	0.02	0.28	0.27	0.01	0.25	0.23	0.07	0.28	0.21
ENSG00000197451.12	28499	0.18	9.45	0.81	0.14	6.71	0.39	0.06	6.62	0.52	0.22	8.43	0.49	0.2	8.06	0.47	0.17	5.25	0.53	0.18	4.61	0.83	0.24	6.65	1.3
ENSG00000106853.20	3999	0.02	0.73	0.13	0.0	0.54	0.29	0.04	0.64	0.24	0.0	0.24	0.15	0.0	0.31	0.03	0.0	0.16	0.27	0.01	0.15	0.19	0.0	0.16	0.14
ENSG00000143319.17	18499	0.83	2.97	0.28	0.49	1.62	0.13	0.41	1.24	0.13	0.97	1.88	0.17	1.02	1.87	0.2	0.56	1.17	0.28	0.54	0.98	0.31	0.69	1.28	0.51
ENSG00000163013.12	7499	0.08	0.82	0.38	0.13	0.66	0.06	0.07	0.57	0.05	0.16	0.78	0.36	0.11	1.02	0.38	0.09	0.49	0.18	0.1	0.55	0.08	0.1	0.47	0.23
ENSG00000180089.6	15499	0.18	5.32	0.82	0.07	2.0	0.3	0.09	1.28	0.17	0.14	5.61	0.49	0.17	4.57	0.53	0.12	3.78	0.39	0.11	2.81	0.68	0.26	5.43	1.01
ENSG00000117501.15	5499	0.0	0.13	0.07	0.0	0.06	0.08	0.0	0.1	0.08	0.0	0.03	0.05	0.0	0.03	0.08	0.0	0.34	0.97	0.0	0.19	0.54	0.0	0.13	0.56
ENSG00000115641.19	7999	0.26	0.62	0.14	0.12	0.35	0.11	0.02	0.38	0.16	0.03	0.25	0.07	0.03	0.13	0.05	0.06	0.15	0.09	0.32	0.19	0.07	0.32	0.25	0.12
ENSG00000167981.7	3999	0.05	0.44	0.05	0.0	0.37	0.0	0.0	0.36	0.04	0.02	0.46	0.0	0.08	0.4	0.01	0.06	0.24	0.11	0.01	0.14	0.01	0.05	0.29	0.15
ENSG00000141562.19	9499	0.04	1.89	0.57	0.02	1.4	0.56	0.02	1.41	0.46	0.03	1.19	0.44	0.03	1.1	0.47	0.02	1.81	0.87	0.07	1.74	1.53	0.03	1.63	1.35
ENSG00000228192.10	5999	0.85	0.3	0.08	0.84	0.23	0.13	0.68	0.17	0.07	0.34	0.25	0.06	0.43	0.25	0.07	0.44	0.23	0.06	0.39	0.19	0.05	0.55	0.28	0.25
ENSG00000186765.12	35999	0.15	3.29	0.55	0.09	1.63	0.3	0.1	1.02	0.26	0.09	2.54	0.31	0.07	2.16	0.31	0.07	3.11	0.33	0.06	2.61	0.72	0.11	5.52	1.46
ENSG00000179262.10	22499	0.03	1.7	0.64	0.07	1.58	0.38	0.08	1.23	0.32	0.04	2.18	0.4	0.05	2.27	0.6	0.11	1.93	0.38	0.05	1.57	0.48	0.08	2.28	0.6
ENSG00000287380.1	3999	0.0	0.06	0.08	0.03	0.01	0.02	0.0	0.08	0.02	0.0	0.03	0.05	0.0	0.06	0.0	0.01	0.26	0.4	0.0	0.1	0.38	0.0	0.04	0.39
ENSG00000288932.2	10499	0.08	0.47	0.11	0.2	0.47	0.18	0.16	0.58	0.14	0.05	0.39	0.11	0.11	0.38	0.1	0.09	0.32	0.28	0.07	0.24	0.21	0.09	0.27	0.12
ENSG00000168906.13	14499	0.03	5.3	1.07	0.02	5.91	0.28	0.06	7.37	0.37	0.08	4.19	0.43	0.09	4.46	0.51	0.04	3.14	0.22	0.04	2.65	0.33	0.06	3.12	0.55
ENSG00000135974.10	6999	0.14	0.37	0.06	0.08	0.26	0.04	0.09	0.37	0.01	0.07	0.37	0.02	0.13	0.43	0.11	0.15	0.16	0.05	0.15	0.1	0.07	0.12	0.15	0.12
ENSG00000120509.12	4499	0.36	0.52	0.01	0.26	0.45	0.07	0.26	0.36	0.13	0.21	0.24	0.01	0.43	0.32	0.04	0.25	0.16	0.04	0.17	0.15	0.14	0.29	0.21	0.03
ENSG00000161920.11	5499	0.03	0.51	0.38	0.08	0.73	0.18	0.06	0.71	0.27	0.05	0.51	0.35	0.05	0.82	0.39	0.02	0.42	0.1	0.04	0.41	0.09	0.01	0.43	0.12
ENSG00000101152.12	20999	0.08	1.37	0.27	0.04	0.89	0.07	0.05	0.51	0.05	0.09	2.12	0.2	0.08	1.5	0.25	0.04	0.46	0.03	0.06	0.35	0.07	0.13	0.84	0.13
ENSG00000101311.17	4499	0.02	0.03	0.1	0.08	0.14	0.18	0.03	0.16	0.1	0.03	0.1	0.06	0.03	0.08	0.11	0.02	0.12	0.3	0.13	0.1	0.34	0.02	0.31	0.3
ENSG00000205981.9	4999	0.49	0.4	0.05	0.25	0.31	0.04	0.39	0.19	0.02	0.3	0.29	0.12	0.45	0.5	0.03	0.27	0.23	0.12	0.25	0.22	0.07	0.36	0.33	0.14
ENSG00000232079.7	4499	0.0	0.14	0.28	0.0	0.06	0.21	0.0	0.08	0.11	0.0	0.09	0.27	0.0	0.24	0.39	0.01	0.54	1.86	0.0	0.34	1.33	0.01	0.39	0.9
ENSG00000070061.16	11999	0.02	0.62	0.33	0.02	0.58	0.28	0.02	0.49	0.29	0.02	0.41	0.07	0.01	0.43	0.1	0.01	0.7	0.3	0.01	0.49	0.23	0.01	0.67	0.41
ENSG00000029725.17	12499	0.05	0.33	0.07	0.05	0.19	0.04	0.03	0.15	0.04	0.04	0.33	0.05	0.1	0.38	0.1	0.03	0.34	0.12	0.03	0.31	0.19	0.09	0.5	0.25
