ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000136273.13	7999	1.15	2.34	0.42	1.35	1.73	0.3	1.47	1.66	0.38	0.95	1.87	0.27	1.11	1.98	0.17	1.43	1.36	0.37	1.12	1.09	0.37	1.53	1.23	0.71
ENSG00000133818.14	22075	0.32	1.76	0.41	0.25	1.09	0.44	0.2	1.09	0.41	0.62	2.22	0.58	0.71	2.43	0.4	0.31	1.4	0.33	0.37	0.97	0.38	0.54	1.96	0.61
ENSG00000140259.7	4999	0.15	0.77	0.39	0.25	0.82	0.3	0.3	1.01	0.28	0.21	1.27	0.44	0.22	1.62	0.61	0.32	1.02	0.37	0.27	1.07	0.48	0.17	1.25	0.43
ENSG00000260282.1	3999	0.06	0.58	0.43	0.12	0.59	0.37	0.08	0.98	0.64	0.07	0.78	0.44	0.08	1.07	0.4	0.02	0.51	0.54	0.02	0.75	0.43	0.03	0.52	0.28
ENSG00000200448.1	6999	0.0	0.49	0.08	0.06	0.42	0.1	0.0	0.32	0.21	0.01	0.4	0.07	0.01	0.47	0.05	0.03	0.47	0.29	0.01	0.43	0.3	0.03	0.64	0.31
ENSG00000234426.3	5999	0.0	0.04	0.04	0.12	0.05	0.11	0.04	0.11	0.06	0.02	0.01	0.05	0.07	0.08	0.1	0.33	0.09	0.32	0.48	0.15	0.25	0.49	0.25	0.23
ENSG00000149084.13	11499	1.74	0.84	0.35	1.69	0.69	0.14	1.71	0.74	0.15	1.92	0.85	0.41	1.67	0.8	0.34	1.67	0.72	0.27	1.36	0.75	0.19	1.47	0.83	0.47
ENSG00000151743.11	5499	0.03	0.24	0.15	0.05	0.21	0.08	0.01	0.4	0.14	0.04	0.28	0.17	0.08	0.44	0.1	0.04	0.27	0.13	0.03	0.31	0.16	0.07	0.35	0.36
ENSG00000269220.1	3999	0.21	0.0	0.0	0.16	0.0	0.05	0.17	0.06	0.04	0.24	0.01	0.0	0.45	0.08	0.07	0.04	0.0	0.0	0.02	0.01	0.0	0.11	0.0	0.02
ENSG00000293268.1	3999	0.2	1.32	1.3	0.04	1.34	0.65	0.14	0.76	0.29	0.17	1.59	1.6	0.15	1.83	1.32	0.07	0.92	0.75	0.19	0.69	0.83	0.23	1.12	1.14
ENSG00000143033.18	5499	0.25	0.18	0.12	0.23	0.25	0.07	0.17	0.34	0.07	0.11	0.26	0.12	0.24	0.69	0.23	0.17	0.25	0.07	0.19	0.18	0.07	0.29	0.26	0.15
ENSG00000235077.1	4999	0.01	0.6	0.06	0.04	0.39	0.05	0.02	0.45	0.09	0.03	0.69	0.07	0.0	0.67	0.1	0.04	0.57	0.14	0.03	0.42	0.22	0.03	0.35	0.23
ENSG00000248980.1	4499	0.02	0.12	0.14	0.02	0.22	0.3	0.0	0.18	0.29	0.04	0.21	0.3	0.01	0.32	0.35	0.05	0.27	0.28	0.02	0.16	0.3	0.11	0.42	0.55
ENSG00000291151.1	5499	0.14	0.51	0.28	0.16	0.44	0.17	0.15	0.66	0.12	0.11	0.63	0.24	0.12	0.56	0.16	0.14	0.44	0.18	0.18	0.52	0.15	0.16	0.74	0.18
ENSG00000125445.11	8499	0.65	1.04	0.47	0.43	1.26	0.34	0.32	1.12	0.54	0.43	1.41	0.46	0.37	1.13	0.39	0.46	2.06	0.25	0.47	1.82	0.46	0.46	2.03	0.65
ENSG00000010030.14	3999	0.21	0.56	0.25	0.23	0.46	0.1	0.18	0.5	0.12	0.81	0.96	0.26	0.7	1.35	0.32	0.53	0.39	0.05	1.05	0.41	0.13	0.69	0.49	0.13
ENSG00000168495.13	6999	0.68	2.08	0.59	0.51	1.93	0.5	0.56	2.05	0.48	0.48	1.82	0.47	0.76	1.85	0.56	0.68	1.37	0.4	0.49	1.06	0.45	0.77	1.35	0.63
ENSG00000290074.1	5499	0.03	0.67	0.26	0.02	0.59	0.14	0.01	0.52	0.09	0.02	0.35	0.11	0.07	0.6	0.1	0.06	0.18	0.1	0.08	0.23	0.12	0.06	0.2	0.13
ENSG00000244625.7	6999	0.63	0.08	0.04	0.22	0.15	0.05	0.22	0.23	0.04	0.41	0.22	0.05	0.46	0.26	0.03	0.27	0.09	0.04	0.2	0.07	0.04	0.41	0.14	0.09
ENSG00000153044.10	4999	0.57	0.58	0.23	0.77	0.73	0.05	0.33	0.42	0.16	0.46	0.33	0.13	0.45	0.64	0.2	0.7	0.37	0.13	0.39	0.26	0.11	0.49	0.44	0.22
ENSG00000196562.16	3999	0.42	0.22	0.07	0.25	0.07	0.06	0.1	0.09	0.05	0.17	0.08	0.01	0.17	0.06	0.09	0.17	0.08	0.05	0.1	0.1	0.08	0.11	0.16	0.11
ENSG00000274903.1	17499	0.01	1.69	0.31	0.02	1.35	0.22	0.02	1.98	0.35	0.02	3.1	0.48	0.03	3.45	0.37	0.03	1.4	0.41	0.05	1.62	0.38	0.06	1.86	0.54
ENSG00000120539.15	4999	0.03	0.69	0.2	0.01	0.54	0.14	0.05	0.69	0.14	0.05	0.68	0.19	0.04	0.84	0.35	0.07	1.01	0.34	0.04	0.51	0.17	0.04	0.61	0.43
ENSG00000116133.13	4999	0.1	0.1	0.17	0.15	0.08	0.02	0.17	0.04	0.01	0.33	0.09	0.27	0.26	0.2	0.23	0.22	0.06	0.02	0.07	0.06	0.0	0.13	0.14	0.08
ENSG00000261766.1	8999	0.85	1.63	0.32	0.67	1.42	0.31	0.63	1.4	0.36	0.42	1.03	0.17	0.37	0.99	0.19	0.4	1.14	0.6	0.36	1.05	0.68	0.76	1.19	0.85
ENSG00000174600.14	5499	0.01	0.14	0.11	0.01	0.11	0.08	0.04	0.13	0.13	0.0	0.38	0.13	0.0	0.44	0.16	0.0	0.02	0.04	0.0	0.07	0.02	0.04	0.09	0.05
ENSG00000288788.1	13499	0.61	0.08	0.04	0.27	0.1	0.01	0.28	0.1	0.02	0.85	0.1	0.04	1.05	0.11	0.04	0.72	0.14	0.1	0.75	0.12	0.13	0.87	0.18	0.13
ENSG00000127311.10	4499	1.42	1.47	0.24	1.74	1.26	0.27	1.81	1.22	0.22	2.7	1.59	0.14	3.08	1.77	0.31	1.91	0.67	0.38	1.69	0.97	0.27	2.28	1.12	0.53
