ID	Length	WT_18.Aligned.sortedByCoord.out
ENSG00000288904.2	6499	0.5
ENSG00000178057.15	5499	0.85
ENSG00000270804.2	5499	1.23
ENSG00000048544.6	13999	0.59
ENSG00000134108.14	4499	0.36
ENSG00000079950.14	5999	0.3
ENSG00000101367.9	8499	0.71
ENSG00000170142.12	4999	0.69
ENSG00000132912.13	5999	0.86
ENSG00000125657.5	4499	1.13
ENSG00000120280.6	7499	1.61
ENSG00000243414.6	4999	0.67
ENSG00000116752.6	3999	0.39
ENSG00000072135.13	3999	0.34
ENSG00000154310.17	4999	5.0
ENSG00000198833.7	9999	1.25
ENSG00000117481.11	4999	0.47
ENSG00000253047.1	5999	0.92
ENSG00000125726.11	4999	11.26
ENSG00000174718.12	8499	0.66
ENSG00000039123.16	11499	0.58
ENSG00000261221.5	3999	0.55
ENSG00000235366.3	8999	2.34
ENSG00000130255.13	6499	0.3
ENSG00000115561.16	3999	0.95
ENSG00000285972.1	27499	1.98
ENSG00000164167.12	4999	0.61
ENSG00000120334.16	4499	1.73
ENSG00000290292.10	7499	0.59
ENSG00000124243.19	7999	1.59
ENSG00000261101.2	5999	0.86
ENSG00000110880.11	5999	0.39
ENSG00000230969.2	17499	1.04
ENSG00000113328.20	4999	0.68
ENSG00000245937.10	4499	0.44
ENSG00000172728.16	9999	0.87
ENSG00000224666.4	4999	0.35
ENSG00000261766.1	4499	0.61
ENSG00000248866.1	5499	0.94
ENSG00000197111.16	7499	0.87
ENSG00000289112.2	3999	0.56
ENSG00000156587.16	10499	1.54
ENSG00000132485.14	7999	0.77
ENSG00000118363.13	8999	1.96
ENSG00000119509.13	5499	1.75
ENSG00000246790.2	12999	0.79
ENSG00000198612.11	5999	1.17
ENSG00000119401.11	5499	1.05
ENSG00000138138.14	5499	0.97
ENSG00000146192.15	14999	1.78
ENSG00000182400.15	7999	0.79
ENSG00000263528.8	8999	0.96
ENSG00000161980.6	10999	0.81
ENSG00000198624.13	8999	1.69
ENSG00000170222.12	3999	0.55
ENSG00000290993.1	5499	0.42
ENSG00000196670.14	3999	1.53
ENSG00000185787.15	4499	0.5
ENSG00000050426.16	3999	0.34
ENSG00000197646.8	4999	1.34
ENSG00000026103.25	3999	0.48
ENSG00000164405.11	5999	1.05
ENSG00000186298.12	4999	0.6
ENSG00000087157.19	3999	0.33
ENSG00000147010.19	3999	0.35
ENSG00000151532.15	9499	1.99
ENSG00000133111.4	9499	0.59
ENSG00000288899.1	10499	3.14
ENSG00000108798.9	8499	1.0
ENSG00000126953.8	3999	1.95
ENSG00000139133.7	7499	1.57
ENSG00000136048.14	3999	0.37
ENSG00000261366.1	9499	0.81
ENSG00000129128.13	3999	0.46
ENSG00000175567.11	4499	0.93
ENSG00000136436.15	7999	0.59
ENSG00000100418.8	8999	0.85
ENSG00000182541.18	5499	0.52
ENSG00000145103.15	4499	0.38
ENSG00000157593.20	5499	1.99
ENSG00000164751.15	9499	0.6
ENSG00000198171.13	7499	1.03
ENSG00000185338.7	4999	0.39
ENSG00000159958.7	5999	1.31
ENSG00000154079.6	5999	0.54
ENSG00000107036.12	13999	0.73
ENSG00000136937.13	6999	0.73
ENSG00000273542.2	5499	0.51
ENSG00000172650.15	3999	1.78
ENSG00000155229.21	6499	0.44
ENSG00000111897.7	6499	0.42
ENSG00000154124.6	16999	3.85
ENSG00000137054.16	8999	2.75
ENSG00000082641.16	7499	0.75
ENSG00000119396.12	4999	0.39
ENSG00000138363.15	7499	0.46
ENSG00000106526.12	4999	0.43
ENSG00000189362.12	6999	0.44
ENSG00000288788.1	10499	0.93
ENSG00000291283.1	6499	1.66
ENSG00000115942.9	6499	0.43
ENSG00000141027.23	5499	0.65
ENSG00000136738.15	7499	0.62
ENSG00000166526.19	3999	0.4
ENSG00000163257.11	6999	1.28
ENSG00000127311.10	3999	3.02
ENSG00000171307.19	7999	0.55
ENSG00000105983.23	5499	0.63
ENSG00000158769.19	9499	0.52
ENSG00000145850.9	15999	1.5
ENSG00000104812.15	3999	0.93
ENSG00000170144.22	5999	0.77
ENSG00000186265.10	6499	0.97
ENSG00000267257.1	26499	0.82
ENSG00000116761.12	5999	0.81
ENSG00000257221.4	21499	1.01
ENSG00000143319.17	15999	1.11
ENSG00000242444.4	5499	1.75
ENSG00000099968.18	4499	0.49
ENSG00000123643.14	3999	0.39
ENSG00000113522.14	5499	0.83
ENSG00000079263.19	4499	1.29
ENSG00000117091.10	7999	0.46
ENSG00000128604.21	3999	0.45
ENSG00000136238.20	6999	0.37
ENSG00000056558.11	5999	3.11
ENSG00000120725.13	7499	0.8
ENSG00000208018.1	8999	0.87
ENSG00000123329.20	4499	0.22
ENSG00000170185.11	5999	0.84
ENSG00000256262.3	4499	0.66
ENSG00000197157.11	7499	0.39
ENSG00000152455.16	8999	1.3
ENSG00000227070.2	7499	0.57
ENSG00000116830.12	7999	0.69
