ID	Length	WT_08.Aligned.sortedByCoord.out
ENSG00000010244.19	23999	0.66
ENSG00000188725.8	5999	1.29
ENSG00000188848.17	5499	0.44
ENSG00000160193.12	6499	0.52
ENSG00000028116.18	3999	4.83
ENSG00000161791.14	13999	0.75
ENSG00000290078.1	9999	1.28
ENSG00000154262.13	8499	3.15
ENSG00000237886.2	4499	0.36
ENSG00000249471.8	3999	0.61
ENSG00000088882.8	4999	0.44
ENSG00000171307.19	5499	0.44
ENSG00000224220.1	11999	2.13
ENSG00000230155.8	8499	0.91
ENSG00000116761.12	5499	1.2
ENSG00000197043.15	6999	1.85
ENSG00000111196.10	4999	1.17
ENSG00000271361.1	4499	2.24
ENSG00000197646.8	11499	1.95
ENSG00000274315.1	4499	0.29
ENSG00000262454.4	4499	0.29
ENSG00000261366.1	8499	0.84
ENSG00000115839.19	3999	0.51
ENSG00000101109.13	6999	0.68
ENSG00000145287.11	3999	4.94
ENSG00000139190.17	9499	0.72
ENSG00000227502.4	3999	0.49
ENSG00000288942.1	4499	0.34
ENSG00000146192.15	8499	0.46
ENSG00000162959.14	6999	0.53
ENSG00000234883.7	20499	3.73
ENSG00000225519.1	5499	1.76
ENSG00000234614.1	5999	1.09
ENSG00000053371.13	10999	0.9
ENSG00000249049.1	15999	1.15
ENSG00000165304.8	4499	0.92
ENSG00000218283.2	5999	0.37
ENSG00000157483.9	12499	1.19
ENSG00000263528.8	7499	0.78
ENSG00000290164.1	5999	0.57
ENSG00000173163.11	3999	0.39
ENSG00000105983.23	5499	0.56
ENSG00000104131.13	5999	1.6
ENSG00000203993.7	4999	0.99
ENSG00000256771.5	4499	0.57
ENSG00000204110.7	8499	5.39
ENSG00000125910.6	4999	0.73
ENSG00000155115.7	3999	0.64
ENSG00000286912.1	4999	0.45
ENSG00000239494.2	4499	0.95
ENSG00000125726.11	4499	10.31
ENSG00000160392.14	5999	0.68
ENSG00000113318.11	3999	0.27
ENSG00000131378.14	8499	0.72
ENSG00000241258.7	6499	1.97
ENSG00000275074.2	5999	0.64
ENSG00000119408.17	5999	38.37
ENSG00000259891.1	3999	0.43
ENSG00000293076.1	6499	1.36
ENSG00000156110.15	4999	0.36
ENSG00000178921.14	9499	0.62
ENSG00000186265.10	46499	3.22
ENSG00000285972.1	11999	2.0
ENSG00000290931.1	9999	1.95
ENSG00000085117.12	4499	0.73
ENSG00000158457.6	7499	0.85
ENSG00000196584.4	4999	1.22
ENSG00000130675.15	4499	0.34
ENSG00000143319.17	4999	0.95
ENSG00000286546.1	7999	2.31
ENSG00000142409.6	3999	0.32
ENSG00000137038.8	8499	0.7
ENSG00000143119.14	10499	1.21
ENSG00000237638.3	26999	1.7
ENSG00000267312.1	8999	0.57
ENSG00000187912.12	5999	0.43
ENSG00000115942.9	6499	0.55
ENSG00000120334.16	3999	1.65
ENSG00000136937.13	11999	1.08
ENSG00000198498.10	10999	0.94
ENSG00000253632.1	3999	1.03
ENSG00000288904.2	5499	0.63
ENSG00000160229.13	5999	1.47
ENSG00000196422.11	5999	0.33
ENSG00000151532.15	9499	1.41
ENSG00000266017.1	5999	2.22
ENSG00000185947.15	6499	1.1
ENSG00000181544.16	8499	0.64
ENSG00000150977.11	7999	2.61
ENSG00000115561.16	4999	1.22
ENSG00000290100.1	3999	0.61
ENSG00000132912.13	5499	0.45
ENSG00000085999.13	8499	0.45
ENSG00000243089.2	5499	1.86
ENSG00000072840.13	15999	3.55
ENSG00000165280.18	5499	0.4
ENSG00000039123.16	11499	0.52
ENSG00000179331.3	4499	0.98
ENSG00000164180.14	3999	0.51
ENSG00000180712.5	40662	4.05
ENSG00000145103.15	9999	0.41
ENSG00000272599.2	5499	0.45
ENSG00000146858.8	4499	4.47
ENSG00000225726.1	4999	0.35
ENSG00000111707.12	4999	0.33
ENSG00000113328.20	6999	0.8
ENSG00000075131.10	3999	1.74
ENSG00000201659.1	3999	0.35
ENSG00000135049.16	5499	0.72
ENSG00000175305.18	4999	0.36
ENSG00000152689.18	6999	1.04
ENSG00000164167.12	7999	0.77
ENSG00000290086.1	8499	0.52
ENSG00000109674.4	3999	0.33
ENSG00000177409.12	5499	0.51
ENSG00000226779.1	20999	5.74
ENSG00000104147.9	5499	0.47
ENSG00000132603.15	3999	0.62
ENSG00000165118.15	3999	0.73
ENSG00000266852.2	10999	1.14
ENSG00000089280.19	3999	0.77
ENSG00000164405.11	6499	0.85
ENSG00000168259.17	5999	0.4
ENSG00000277369.2	5499	0.49
ENSG00000120280.6	6999	1.46
ENSG00000136436.15	4499	0.38
