ID	Length	WT_19.Aligned.sortedByCoord.out
ENSG00000119231.11	7499	312.5
ENSG00000234741.10	13499	152.0
ENSG00000262227.2	3999	131.5
ENSG00000289155.2	5999	254.5
ENSG00000100416.15	3999	767.0
ENSG00000286531.1	11499	166.0
ENSG00000259547.1	5999	95.0
ENSG00000196787.4	6999	109.5
ENSG00000143924.19	13999	132.0
ENSG00000267257.1	4499	71.0
ENSG00000271742.1	23999	373.0
ENSG00000161671.17	6499	102.5
ENSG00000152705.8	6999	46.0
ENSG00000121774.18	15499	591.0
ENSG00000253047.1	15999	514.5
ENSG00000197013.11	13999	237.5
ENSG00000224066.1	8999	90.5
ENSG00000229809.9	9999	220.0
ENSG00000161654.10	9999	231.5
ENSG00000175115.13	4499	38.0
ENSG00000167971.16	3999	34.0
ENSG00000150756.14	7999	67.5
ENSG00000188315.8	6499	56.5
ENSG00000132205.11	4499	31.5
ENSG00000105821.15	8499	126.5
ENSG00000118900.15	9999	183.0
ENSG00000201469.1	7999	101.0
ENSG00000229203.1	11499	226.0
ENSG00000237638.3	16999	492.0
ENSG00000154124.6	16999	600.0
ENSG00000248571.1	4999	52.5
ENSG00000143409.18	3999	415.0
ENSG00000129055.13	6499	70.5
ENSG00000258441.1	6499	915.0
ENSG00000008516.18	3999	25.0
ENSG00000183684.8	9499	166.5
ENSG00000134313.17	4999	42.5
ENSG00000284602.1	12999	297.5
ENSG00000068724.18	6499	170.5
ENSG00000199377.1	3999	40.0
ENSG00000140463.14	3999	37.0
ENSG00000089094.20	11999	212.0
ENSG00000272391.6	4999	254.5
ENSG00000261471.1	8999	486.0
ENSG00000086065.14	7999	125.5
ENSG00000120949.15	22499	851.5
ENSG00000153443.13	7999	174.5
ENSG00000156675.16	9499	105.0
ENSG00000196588.21	10999	173.0
ENSG00000089280.19	46999	2424.5
ENSG00000137200.13	13999	322.5
ENSG00000239039.1	3999	296.0
ENSG00000104231.11	6999	112.5
ENSG00000233822.6	10999	259.0
ENSG00000144357.18	13499	259.5
ENSG00000255299.5	3999	45.0
ENSG00000132010.16	3999	47.5
ENSG00000242299.1	12999	1164.0
ENSG00000120725.13	8999	185.0
ENSG00000100883.13	9499	188.0
ENSG00000221978.13	21499	1047.0
ENSG00000162129.15	8499	99.0
ENSG00000115282.21	7499	520.5
ENSG00000232519.2	4499	41.5
ENSG00000079246.16	10499	210.0
ENSG00000283342.1	6999	88.0
ENSG00000152256.14	5999	43.0
ENSG00000232598.2	12999	84.5
ENSG00000197885.11	29999	1810.0
ENSG00000138674.17	15999	298.0
ENSG00000180902.18	3999	52.5
ENSG00000122566.22	14999	1967.0
ENSG00000011478.13	11499	190.0
ENSG00000164109.14	4499	43.0
ENSG00000135185.12	4499	43.0
ENSG00000147475.17	3999	23.0
ENSG00000053372.5	7999	708.0
ENSG00000252098.1	3999	22.0
ENSG00000069329.19	6499	97.0
ENSG00000060069.18	3999	99.5
ENSG00000205659.12	8499	149.0
ENSG00000261351.2	9999	163.0
ENSG00000054967.13	13999	248.5
ENSG00000273444.1	10499	149.5
ENSG00000105875.15	15499	427.0
ENSG00000132670.21	6499	100.5
ENSG00000265799.1	31499	572.5
ENSG00000159588.15	5499	48.5
ENSG00000058404.21	11499	232.5
ENSG00000288670.1	7999	88.5
ENSG00000183808.12	16776	915.5
ENSG00000182934.12	4999	119.0
ENSG00000287733.1	9499	2082.5
ENSG00000173145.11	15999	341.0
ENSG00000260646.1	3999	56.5
ENSG00000100151.16	4999	45.0
ENSG00000165650.12	8499	202.5
ENSG00000101470.10	12999	135.0
ENSG00000100316.16	10999	322.5
ENSG00000273253.2	7499	149.5
ENSG00000118961.15	5499	91.0
ENSG00000139725.8	4999	90.5
ENSG00000287510.1	28999	1079.5
ENSG00000106266.11	5999	293.5
ENSG00000187555.17	4499	38.5
ENSG00000046651.16	6499	174.0
ENSG00000276116.2	4999	60.5
ENSG00000145386.11	6499	69.5
ENSG00000060558.4	8499	185.0
ENSG00000241258.7	10499	327.5
ENSG00000172977.13	5499	127.0
ENSG00000124243.19	4499	38.5
ENSG00000275052.5	19999	405.0
ENSG00000079999.14	10499	328.0
ENSG00000140859.16	16999	578.5
ENSG00000111652.10	7999	129.0
ENSG00000130522.6	6499	113.5
ENSG00000112531.17	13999	396.5
ENSG00000273015.3	19999	474.5
ENSG00000119318.13	16499	274.0
ENSG00000100100.13	4999	161.0
ENSG00000268471.6	17499	232.5
ENSG00000173889.16	3999	57.5
ENSG00000255717.9	6499	121.5
ENSG00000198492.16	3999	30.0
ENSG00000289374.1	5999	59.0
ENSG00000197713.15	7999	132.5
ENSG00000272345.1	28499	958.0
ENSG00000180329.14	6999	421.0
ENSG00000293360.1	17316	453.0
ENSG00000259652.1	25499	1511.5
ENSG00000288615.1	9499	216.5
ENSG00000011454.18	11499	187.0
ENSG00000267106.9	15499	1190.0
ENSG00000072501.19	12499	195.5
ENSG00000287990.1	10999	190.0
ENSG00000272843.1	8499	110.5
ENSG00000040487.13	5999	38.0
ENSG00000235077.1	4999	66.0
ENSG00000175556.17	4999	149.0
ENSG00000071539.14	14999	258.5
ENSG00000054523.20	3999	43.5
ENSG00000289361.1	5499	95.5
ENSG00000086061.16	13499	701.5
ENSG00000137076.22	4499	60.0
ENSG00000256811.1	5499	56.0
ENSG00000286912.1	6499	98.5
ENSG00000289082.1	4999	100.5
ENSG00000168158.4	3999	26.5
ENSG00000277895.1	4999	277.0
ENSG00000266933.2	17999	7826.0
ENSG00000272842.1	15499	578.5
ENSG00000265678.1	21136	2293.0
ENSG00000123353.10	7499	125.0
ENSG00000158195.11	9499	803.0
ENSG00000196652.12	12999	348.5
ENSG00000121931.16	22999	669.0
ENSG00000228474.6	19043	391.5
ENSG00000185963.14	5999	49.5
ENSG00000185475.11	9999	162.0
ENSG00000122026.11	15499	344.0
ENSG00000217702.3	6499	61.5
ENSG00000183048.12	13499	244.0
ENSG00000168036.18	9999	161.5
ENSG00000289526.2	6499	63.0
ENSG00000154258.17	5999	52.0
ENSG00000186009.5	9999	201.0
ENSG00000132600.18	12499	206.0
ENSG00000254814.1	4499	37.0
ENSG00000143322.22	8999	151.5
ENSG00000265091.5	4499	28.0
ENSG00000167112.10	7999	307.0
ENSG00000150593.18	10499	147.0
ENSG00000244219.7	5999	89.0
ENSG00000185896.11	7499	266.5
ENSG00000141646.16	4499	42.0
ENSG00000130255.13	33499	1059.5
ENSG00000181513.15	3999	55.5
ENSG00000105281.12	6499	67.5
ENSG00000164070.12	28999	799.5
ENSG00000231327.3	10499	125.0
ENSG00000161929.15	8499	451.0
ENSG00000267066.1	6499	54.5
ENSG00000112339.15	6999	81.5
ENSG00000224621.1	6499	160.5
ENSG00000270804.2	6999	228.5
ENSG00000105486.15	11499	602.0
ENSG00000100242.16	4499	43.0
ENSG00000236423.8	3999	19.5
ENSG00000227811.3	4999	37.0
ENSG00000275638.1	13999	270.5
ENSG00000108344.15	4499	35.5
ENSG00000250486.5	22499	396.0
ENSG00000179262.10	22499	938.5
ENSG00000145375.9	4499	47.5
ENSG00000177963.15	15999	968.0
ENSG00000130734.10	10499	180.0
ENSG00000263080.1	6999	328.5
ENSG00000227070.2	8499	226.0
ENSG00000116649.10	4499	176.0
ENSG00000187736.14	7999	179.5
ENSG00000117262.19	7499	117.5
ENSG00000286459.1	5999	99.5
ENSG00000131263.13	14999	277.0
ENSG00000099800.8	6499	98.0
ENSG00000105771.14	4499	36.5
ENSG00000158077.5	3999	30.5
ENSG00000218739.10	13499	432.0
ENSG00000120137.7	4999	71.0
ENSG00000151247.13	4499	39.0
ENSG00000176809.11	13499	276.0
ENSG00000101109.13	19499	774.5
ENSG00000273748.1	3999	60.5
ENSG00000267091.1	3999	31.0
ENSG00000196670.14	4499	61.0
ENSG00000253200.1	3999	71.5
ENSG00000105556.12	4999	201.0
ENSG00000232803.1	9499	197.5
ENSG00000113522.14	9499	334.5
ENSG00000177200.18	6499	106.0
ENSG00000107021.16	7999	138.0
ENSG00000171824.14	6499	181.5
ENSG00000156384.15	4999	104.5
ENSG00000232611.1	15499	295.5
ENSG00000167384.11	8999	105.5
ENSG00000105373.19	7499	121.0
ENSG00000087302.9	19499	558.0
ENSG00000056586.16	4499	74.5
ENSG00000076944.18	4499	86.5
ENSG00000000457.14	3999	47.0
ENSG00000123144.11	6499	74.0
ENSG00000131791.8	3999	43.5
ENSG00000173588.16	9499	80.0
ENSG00000228126.1	7999	404.0
ENSG00000224358.1	12999	192.5
ENSG00000215795.2	18499	295.0
ENSG00000173812.11	6499	78.0
ENSG00000136436.15	14499	2381.0
ENSG00000141562.19	8499	211.5
ENSG00000180992.7	3999	23.0
ENSG00000213799.13	7999	270.5
ENSG00000127311.10	3999	135.5
ENSG00000151657.12	4999	71.5
ENSG00000125257.16	4999	51.5
ENSG00000176978.15	5499	69.5
ENSG00000276399.1	9499	285.0
ENSG00000106330.12	5499	57.0
ENSG00000130816.17	12999	346.5
ENSG00000268912.1	3999	141.5
ENSG00000172175.16	4999	122.0
ENSG00000291033.1	4499	57.5
ENSG00000128590.5	5999	134.5
ENSG00000230532.1	8499	404.0
ENSG00000163660.12	15499	1007.0
ENSG00000142185.18	6999	235.0
ENSG00000133731.10	18499	576.0
ENSG00000142676.14	28499	823.0
ENSG00000155229.21	17499	526.5
ENSG00000186815.13	11499	254.0
ENSG00000188825.16	14499	668.5
ENSG00000088727.14	7999	84.5
ENSG00000172530.22	3999	53.0
ENSG00000151470.13	10999	99.0
ENSG00000160917.15	5499	33.0
ENSG00000224346.1	4499	28.0
ENSG00000166391.15	15499	343.0
ENSG00000269194.1	4499	47.0
ENSG00000188868.14	19499	432.5
ENSG00000256152.2	4999	41.5
ENSG00000124251.11	11499	334.0
ENSG00000179134.16	5499	79.0
ENSG00000243056.2	7499	235.5
ENSG00000201659.1	15499	466.0
ENSG00000141522.12	6499	128.5
ENSG00000136867.11	11999	240.0
ENSG00000267579.1	6499	94.0
ENSG00000151135.10	5999	46.5
ENSG00000141580.16	11499	887.0
ENSG00000186638.17	6499	85.0
ENSG00000135763.10	9499	130.0
ENSG00000104442.10	9499	280.0
ENSG00000272606.2	15499	401.0
ENSG00000222009.9	4499	56.5
ENSG00000197111.16	19499	732.0
ENSG00000182985.19	6499	68.5
ENSG00000287077.1	4499	60.0
ENSG00000271532.1	4499	38.5
ENSG00000164674.17	3999	36.5
ENSG00000165699.15	4499	57.0
ENSG00000077458.13	7999	77.0
ENSG00000138303.19	3999	64.5
ENSG00000135336.16	17499	363.5
ENSG00000123146.20	6499	110.5
ENSG00000028116.18	3999	148.0
ENSG00000240211.1	10499	76.0
