ID	Length	dBGLF5_08.Aligned.sortedByCoord.out
ENSG00000130429.16	6499	0.61
ENSG00000271991.3	4499	0.65
ENSG00000124251.11	5999	0.59
ENSG00000254418.1	5499	0.92
ENSG00000176641.11	3999	0.85
ENSG00000119509.13	4999	0.64
ENSG00000224595.1	3999	0.63
ENSG00000136731.13	3999	0.59
ENSG00000116691.11	4499	0.33
ENSG00000053372.5	5999	1.84
ENSG00000201900.1	5999	0.51
ENSG00000197451.12	16499	1.41
ENSG00000258244.1	3999	0.41
ENSG00000136861.19	8499	0.76
ENSG00000151532.15	5999	0.35
ENSG00000196152.10	4499	1.55
ENSG00000068079.8	6499	0.43
ENSG00000135164.19	4999	0.5
ENSG00000149657.20	7499	2.22
ENSG00000292256.1	3999	0.59
ENSG00000230033.1	5499	1.16
ENSG00000257702.5	3999	0.72
ENSG00000279699.1	3999	0.62
ENSG00000176742.3	4499	0.52
ENSG00000293402.1	3999	0.49
ENSG00000255272.1	4999	0.66
ENSG00000169495.5	7999	1.35
ENSG00000232079.7	3999	1.5
ENSG00000197498.13	4999	0.49
ENSG00000264914.1	4999	0.64
ENSG00000266933.2	7999	3.16
ENSG00000235070.3	3999	0.62
ENSG00000288818.1	13499	1.13
ENSG00000271137.1	10999	0.55
ENSG00000229975.1	5499	0.88
ENSG00000287697.1	11499	0.42
ENSG00000197111.16	7999	1.12
ENSG00000230322.1	5499	1.07
ENSG00000186765.12	21499	1.05
ENSG00000227663.1	6499	0.7
ENSG00000171503.13	9499	1.26
ENSG00000248724.6	5499	0.45
ENSG00000144357.18	9999	0.52
ENSG00000234883.7	3999	0.57
ENSG00000273456.2	5499	1.52
ENSG00000218226.1	7999	1.14
ENSG00000257218.6	3999	0.34
ENSG00000133328.4	4999	0.27
ENSG00000184937.16	3999	0.43
ENSG00000173535.15	4499	0.63
ENSG00000152556.17	8499	0.74
ENSG00000115839.19	7499	1.04
ENSG00000092203.15	5999	0.47
ENSG00000249287.1	5999	0.57
ENSG00000104147.9	24499	1.85
ENSG00000104131.13	9999	0.95
ENSG00000108599.15	4999	0.5
ENSG00000206965.1	3999	0.54
ENSG00000287733.1	9999	2.37
ENSG00000125726.11	4499	0.93
ENSG00000287173.1	4499	0.36
ENSG00000230453.11	5999	0.4
ENSG00000272391.6	3999	0.62
ENSG00000241490.1	3999	0.91
ENSG00000100416.15	3999	1.49
ENSG00000240666.2	3999	0.46
ENSG00000130733.11	6499	2.14
ENSG00000200779.1	4999	0.32
ENSG00000164151.12	4499	0.64
ENSG00000234884.2	5499	0.41
ENSG00000287138.1	4499	0.68
ENSG00000164253.14	9999	0.8
ENSG00000290474.1	3999	0.61
ENSG00000008952.17	9499	1.03
ENSG00000133026.14	4999	0.79
ENSG00000113522.14	6499	0.9
ENSG00000290812.1	5999	0.42
ENSG00000168090.10	7999	0.42
ENSG00000023902.14	3999	0.56
ENSG00000259225.9	3999	0.47
ENSG00000132475.10	5499	0.54
ENSG00000278637.2	8499	0.71
ENSG00000135336.16	4499	0.58
ENSG00000226448.1	4999	0.8
ENSG00000186088.16	5999	0.53
ENSG00000044115.21	4999	0.84
ENSG00000223993.2	3999	1.0
ENSG00000147601.15	3999	0.44
ENSG00000232158.1	5499	0.66
ENSG00000258379.1	3999	1.53
ENSG00000105246.6	6499	1.37
ENSG00000185298.13	4999	0.36
ENSG00000004766.17	14999	0.9
ENSG00000288899.1	8999	0.66
ENSG00000125534.10	5999	0.91
ENSG00000278743.2	4999	0.71
ENSG00000270036.1	4499	0.31
ENSG00000149742.10	6499	0.53
ENSG00000249128.1	8499	0.55
ENSG00000187742.15	7499	2.2
ENSG00000235366.3	6999	0.86
ENSG00000156587.16	9999	0.8
ENSG00000138081.22	4499	0.84
ENSG00000136153.20	7499	0.54
ENSG00000116649.10	4499	1.36
ENSG00000119408.17	5999	0.98
ENSG00000250878.6	6999	0.47
ENSG00000116560.12	7499	1.27
ENSG00000237074.2	4999	0.79
ENSG00000285553.1	6499	0.52
