ID	Length	dBGLF5_11.Aligned.sortedByCoord.out
ENSG00000107021.16	7499	92.0
ENSG00000285972.1	17499	294.0
ENSG00000068079.8	6999	167.5
ENSG00000143337.19	4499	45.5
ENSG00000107262.26	7999	115.0
ENSG00000160679.14	10999	525.0
ENSG00000255487.1	7999	262.5
ENSG00000168264.11	15499	220.0
ENSG00000105640.13	7499	562.5
ENSG00000101126.18	8999	101.0
ENSG00000215795.2	7499	90.0
ENSG00000226158.1	3999	71.5
ENSG00000080839.12	14999	427.5
ENSG00000178935.5	19499	545.5
ENSG00000186815.13	11499	313.5
ENSG00000260924.3	4999	69.0
ENSG00000279608.1	6499	118.0
ENSG00000132912.13	6999	220.5
ENSG00000128191.17	3999	37.5
ENSG00000163950.13	3999	32.0
ENSG00000286837.1	5999	78.0
ENSG00000173992.9	10499	394.0
ENSG00000287286.1	4499	87.0
ENSG00000255666.7	4999	63.0
ENSG00000116830.12	4999	140.5
ENSG00000095319.14	14499	364.0
ENSG00000132612.16	10999	215.0
ENSG00000273176.1	3999	46.5
ENSG00000284934.3	4999	236.0
ENSG00000287868.1	4999	61.0
ENSG00000136874.11	3999	40.5
ENSG00000108107.15	3999	28.0
ENSG00000120458.13	13999	587.5
ENSG00000082293.13	8499	328.5
ENSG00000287265.1	9999	359.5
ENSG00000136816.16	4499	118.5
ENSG00000203307.2	3999	30.5
ENSG00000198171.13	6499	204.5
ENSG00000130733.11	31999	4512.5
ENSG00000137203.15	5499	56.0
ENSG00000273595.1	3999	37.0
ENSG00000115839.19	16499	573.0
ENSG00000274422.1	3999	65.5
ENSG00000204172.12	4499	41.0
ENSG00000207452.1	3999	35.0
ENSG00000108518.8	5499	89.5
ENSG00000166140.17	3999	136.5
ENSG00000132199.20	6499	77.0
ENSG00000134569.10	7999	212.0
ENSG00000143344.16	13499	329.0
ENSG00000008294.22	15499	209.0
ENSG00000167384.11	7499	94.0
ENSG00000125835.20	14499	219.0
ENSG00000287510.1	28499	1434.0
ENSG00000160781.17	7999	180.5
ENSG00000186265.10	4999	72.0
ENSG00000125657.5	4499	60.5
ENSG00000235173.7	5999	111.0
ENSG00000133112.17	13499	400.0
ENSG00000290085.1	9999	233.5
ENSG00000136463.9	3999	76.0
ENSG00000100650.16	43999	4340.0
ENSG00000104131.13	12499	801.0
ENSG00000002919.15	5499	162.0
ENSG00000188725.8	8499	180.0
ENSG00000258379.1	3999	42.5
ENSG00000104892.17	7499	101.5
ENSG00000197081.16	12499	366.5
ENSG00000235366.3	6999	201.0
ENSG00000103168.17	3999	74.0
ENSG00000291136.1	18499	267.5
ENSG00000230532.1	5499	233.5
ENSG00000205659.12	9499	236.5
ENSG00000276571.1	8499	143.5
ENSG00000101109.13	20499	900.0
ENSG00000205740.2	7999	230.5
ENSG00000170144.22	41999	1315.5
ENSG00000278637.2	8999	301.5
ENSG00000168036.18	6999	77.5
ENSG00000111863.13	7499	108.5
ENSG00000117481.11	19999	675.0
ENSG00000197170.10	3999	118.5
ENSG00000203472.3	8499	227.5
ENSG00000293495.1	3999	87.5
ENSG00000264937.1	4999	73.5
ENSG00000272672.1	22499	1696.5
ENSG00000105953.16	6499	66.5
ENSG00000111300.10	7999	171.0
ENSG00000100941.9	14499	311.0
ENSG00000262227.2	3999	176.0
ENSG00000129810.15	6499	73.0
ENSG00000105372.8	3999	588.5
ENSG00000286546.1	6499	321.5
ENSG00000089094.20	8999	187.5
ENSG00000225945.1	31999	737.0
ENSG00000118900.15	11999	275.5
ENSG00000277411.1	4999	75.0
ENSG00000105373.19	7499	178.0
ENSG00000154743.19	8999	129.0
ENSG00000277151.1	3999	31.0
ENSG00000274841.1	5499	51.0
ENSG00000278384.1	6499	291.5
ENSG00000165802.23	5499	95.5
ENSG00000178209.17	11499	301.5
ENSG00000259539.1	8499	177.0
ENSG00000185869.15	5999	69.5
ENSG00000260920.2	8499	193.0
ENSG00000284640.1	29499	1555.5
ENSG00000003756.17	5499	240.5
ENSG00000206965.1	23580	750.0
ENSG00000266962.3	6999	230.5
ENSG00000280117.1	11499	147.0
ENSG00000123352.18	30999	882.5
ENSG00000230228.2	30999	1651.0
ENSG00000233581.1	4499	60.5
ENSG00000230790.2	3999	119.5
ENSG00000164151.12	7999	270.0
ENSG00000224778.1	10499	188.5
ENSG00000291101.1	10999	183.5
ENSG00000113712.19	7499	105.0
ENSG00000119231.11	7499	361.5
ENSG00000028116.18	3999	135.0
ENSG00000283342.1	4499	30.5
ENSG00000259712.1	5499	71.5
ENSG00000272843.1	5499	151.0
ENSG00000267254.8	7499	127.0
ENSG00000165006.14	15499	219.5
ENSG00000039123.16	16499	346.0
