ID	Length	WT_09.Aligned.sortedByCoord.out
ENSG00000163660.12	15499	1.81
ENSG00000140859.16	16999	2.12
ENSG00000176978.15	5499	1.93
ENSG00000136874.11	6499	0.51
ENSG00000188313.13	21609	0.99
ENSG00000276071.1	7999	1.77
ENSG00000136861.19	8499	1.35
ENSG00000168010.11	12999	0.83
ENSG00000135002.12	4999	0.55
ENSG00000168566.13	12999	0.94
ENSG00000229659.1	3999	1.14
ENSG00000274695.1	12499	0.87
ENSG00000116771.6	6999	1.1
ENSG00000122965.11	9999	0.86
ENSG00000283828.1	3999	1.4
ENSG00000226662.2	5999	0.44
ENSG00000255299.5	3999	0.43
ENSG00000197238.5	7999	19.87
ENSG00000162852.14	16499	0.87
ENSG00000273542.2	10499	1.37
ENSG00000111684.11	4999	0.73
ENSG00000142655.13	4999	1.06
ENSG00000261320.1	10999	0.83
ENSG00000134108.14	4499	1.59
ENSG00000257702.5	4499	3.0
ENSG00000126953.8	4499	0.45
ENSG00000188229.6	11499	2.47
ENSG00000276399.1	5499	0.7
ENSG00000113810.16	8999	1.14
ENSG00000053371.13	10999	1.31
ENSG00000130429.16	16499	3.91
ENSG00000064995.19	8999	0.97
ENSG00000083312.19	3999	0.54
ENSG00000113595.15	9499	1.42
ENSG00000149179.14	12499	0.93
ENSG00000228620.1	5499	0.62
ENSG00000102606.20	13999	1.41
ENSG00000072840.13	11999	1.18
ENSG00000164219.10	6999	0.45
ENSG00000196081.10	6999	0.92
ENSG00000253603.1	15499	1.25
ENSG00000119638.14	27499	1.22
ENSG00000152465.18	4999	0.96
ENSG00000163257.11	7999	2.51
ENSG00000177673.4	19499	1.42
ENSG00000137478.15	16999	1.1
ENSG00000136273.13	7999	1.73
ENSG00000288906.1	10499	3.2
ENSG00000263412.3	3999	0.82
ENSG00000012817.16	9999	0.83
ENSG00000112339.15	5499	0.46
ENSG00000186532.12	11999	7.24
ENSG00000022840.17	21499	1.51
ENSG00000289112.2	3999	0.95
ENSG00000185347.19	5999	0.96
ENSG00000170949.18	8999	0.97
ENSG00000185475.11	7999	0.54
ENSG00000118961.15	6499	0.91
ENSG00000100767.17	11999	0.63
ENSG00000105486.15	10999	1.6
ENSG00000012048.25	6999	0.46
ENSG00000198887.9	5499	0.61
ENSG00000161204.12	5499	0.76
ENSG00000140941.14	13999	1.81
ENSG00000183684.8	5999	0.59
ENSG00000134905.17	7999	1.38
ENSG00000019995.6	4499	0.41
ENSG00000109270.13	10499	1.43
ENSG00000233016.9	4999	0.53
ENSG00000185963.14	5999	1.08
ENSG00000131153.9	19499	4.15
ENSG00000105875.15	9999	1.25
ENSG00000288808.1	6999	0.99
ENSG00000116691.11	22999	2.96
ENSG00000182831.12	7499	0.64
ENSG00000151503.14	12999	1.64
ENSG00000269106.1	6499	0.54
ENSG00000289567.2	8999	1.14
ENSG00000232491.1	10499	0.81
ENSG00000147601.15	17499	1.32
ENSG00000164088.18	14999	0.75
ENSG00000140993.11	4999	1.06
ENSG00000233912.1	9999	0.78
ENSG00000152683.14	12499	0.57
ENSG00000153487.13	4999	1.71
ENSG00000079246.16	14499	1.38
ENSG00000196247.13	8999	1.07
ENSG00000290292.10	9499	0.83
ENSG00000083520.15	8999	0.88
ENSG00000224877.4	13499	0.8
ENSG00000269921.1	5999	0.47
ENSG00000226853.5	4999	0.81
ENSG00000213995.12	9999	1.62
ENSG00000187609.16	4499	0.9
ENSG00000233694.6	5499	0.71
ENSG00000146842.17	20499	1.23
ENSG00000164167.12	5499	0.57
ENSG00000224621.1	4999	0.74
ENSG00000128408.9	3999	0.74
