ID	Length	dBGLF5_03.Aligned.sortedByCoord.out
ENSG00000164167.12	4999	71.5
ENSG00000168066.22	4499	90.0
ENSG00000286873.1	9499	185.5
ENSG00000115464.15	4499	71.5
ENSG00000157483.9	7999	97.5
ENSG00000229267.3	3999	43.5
ENSG00000138593.9	10999	219.5
ENSG00000112081.17	11999	267.0
ENSG00000235701.1	20499	384.5
ENSG00000145386.11	4499	58.0
ENSG00000273542.2	14499	243.5
ENSG00000268747.1	4499	43.0
ENSG00000185896.11	7499	165.5
ENSG00000280046.1	3999	51.5
ENSG00000116761.12	4999	111.5
ENSG00000163660.12	21499	1027.5
ENSG00000152465.18	4999	283.5
ENSG00000268912.1	3999	115.0
ENSG00000146842.17	21499	603.5
ENSG00000141562.19	8999	382.0
ENSG00000257702.5	3999	264.0
ENSG00000115839.19	14499	480.5
ENSG00000055147.19	6999	60.0
ENSG00000136861.19	8499	397.0
ENSG00000242999.3	11499	115.5
ENSG00000116691.11	19499	1190.5
ENSG00000132773.12	16999	243.0
ENSG00000182831.12	24499	603.0
ENSG00000178381.12	3999	85.0
ENSG00000228474.6	14543	326.5
ENSG00000011198.10	27499	1143.5
ENSG00000136108.15	3999	31.5
ENSG00000218283.2	5499	70.0
ENSG00000197498.13	7499	218.0
ENSG00000125534.10	10999	763.0
ENSG00000110921.14	11999	216.0
ENSG00000065665.21	8499	130.5
ENSG00000266962.3	6999	165.5
ENSG00000164776.11	4999	183.5
ENSG00000289268.1	3999	44.0
ENSG00000272842.1	14999	865.0
ENSG00000121594.12	11499	586.5
ENSG00000033327.13	4999	115.0
ENSG00000120725.13	7499	245.5
ENSG00000072121.17	8499	139.5
ENSG00000237699.2	4999	97.0
ENSG00000126226.22	14499	431.5
ENSG00000234883.7	5999	93.0
ENSG00000196152.10	4499	321.0
ENSG00000204361.10	6499	100.0
ENSG00000006704.11	4999	46.5
ENSG00000100138.15	7499	155.5
ENSG00000198522.14	6499	68.0
ENSG00000118514.14	5999	144.0
ENSG00000289057.1	5999	54.0
ENSG00000223993.2	4999	51.0
ENSG00000167770.13	5499	48.5
ENSG00000104812.15	3999	184.0
ENSG00000198026.8	15499	412.0
ENSG00000235881.2	6499	121.5
ENSG00000197451.12	16999	3211.5
ENSG00000121766.16	8499	189.0
ENSG00000284343.1	6999	228.0
ENSG00000176978.15	5499	173.5
ENSG00000231691.2	4499	48.5
ENSG00000116885.18	3999	23.0
ENSG00000133805.16	13999	374.0
ENSG00000132432.14	17499	611.0
ENSG00000070610.14	4499	79.5
ENSG00000056586.16	3999	68.5
ENSG00000272345.1	28999	717.5
ENSG00000159164.10	7999	116.5
ENSG00000170144.22	5999	106.0
ENSG00000284934.3	4999	198.5
ENSG00000197013.11	7999	97.5
ENSG00000258441.1	6999	487.5
ENSG00000186638.17	5999	60.0
ENSG00000093072.19	3999	42.5
ENSG00000177613.9	6999	111.5
ENSG00000164405.11	5499	43.0
ENSG00000260349.1	4499	77.0
ENSG00000069248.12	8999	120.5
ENSG00000135679.27	28499	611.0
ENSG00000124713.6	6999	86.5
