ID	Length	dBGLF5_08.Aligned.sortedByCoord.out
ENSG00000197111.16	7999	200.5
ENSG00000197798.9	4499	67.0
ENSG00000100220.12	4499	107.5
ENSG00000108599.15	4999	56.0
ENSG00000267106.9	3999	80.0
ENSG00000180098.9	4999	305.5
ENSG00000135426.16	5499	71.5
ENSG00000099968.18	4499	73.0
ENSG00000109771.16	4499	65.0
ENSG00000176933.5	3999	42.5
ENSG00000237074.2	4999	88.5
ENSG00000147601.15	3999	39.5
ENSG00000168126.3	9999	275.5
ENSG00000176641.11	3999	76.0
ENSG00000234884.2	5499	50.0
ENSG00000258244.1	3999	37.0
ENSG00000251293.1	4999	100.0
ENSG00000101109.13	12999	305.5
ENSG00000278637.2	8499	134.5
ENSG00000169495.5	7999	241.0
ENSG00000201900.1	5999	68.5
ENSG00000137076.22	4499	54.0
ENSG00000173726.11	5499	56.5
ENSG00000184277.13	4499	38.5
ENSG00000232158.1	5499	81.5
ENSG00000121390.19	7499	92.0
ENSG00000108306.13	13499	169.5
ENSG00000248724.6	5499	55.0
ENSG00000270036.1	4499	31.0
ENSG00000133805.16	5499	76.5
ENSG00000075651.17	4999	46.0
ENSG00000290474.1	3999	54.5
ENSG00000276043.5	4499	38.5
ENSG00000255733.6	3999	42.0
ENSG00000173612.10	3999	54.0
ENSG00000287697.1	11499	107.0
ENSG00000119231.11	5499	71.5
ENSG00000177613.9	4499	48.5
ENSG00000133067.18	3999	38.5
ENSG00000056558.11	5499	527.5
ENSG00000175467.15	4499	71.5
ENSG00000104131.13	9999	212.5
ENSG00000277157.2	3999	33.0
ENSG00000290612.1	3999	60.5
ENSG00000125534.10	5999	122.5
ENSG00000122566.22	10999	698.5
ENSG00000119408.17	5999	131.5
ENSG00000131931.8	5499	91.5
ENSG00000133026.14	4999	88.5
ENSG00000200779.1	4999	36.0
ENSG00000279699.1	3999	55.0
ENSG00000227663.1	6499	102.0
ENSG00000241490.1	3999	81.5
ENSG00000185238.13	7999	109.0
ENSG00000171824.14	6499	105.5
ENSG00000242390.1	4999	64.0
ENSG00000272391.6	3999	55.5
ENSG00000293077.1	6999	116.0
ENSG00000135336.16	4499	58.5
ENSG00000238012.2	4499	32.5
ENSG00000152556.17	8499	140.0
ENSG00000236844.1	9999	245.5
ENSG00000115839.19	7499	174.5
ENSG00000278874.1	4499	50.0
ENSG00000111725.11	4499	51.5
ENSG00000203995.11	7999	158.5
ENSG00000135164.19	4999	55.5
ENSG00000286722.1	8999	111.0
ENSG00000075420.13	9499	149.5
ENSG00000137054.16	6499	77.0
