ID	Length	WT_20.Aligned.sortedByCoord.out
ENSG00000180098.9	5999	166.0
ENSG00000121774.18	5499	131.5
ENSG00000126953.8	4999	77.0
ENSG00000156587.16	10999	410.0
ENSG00000273983.2	6999	130.0
ENSG00000223665.1	4499	38.5
ENSG00000172667.11	4499	43.5
ENSG00000278743.2	5999	76.0
ENSG00000141027.23	4999	140.5
ENSG00000288818.1	13499	348.5
ENSG00000140941.14	4999	207.5
ENSG00000172943.21	6999	135.0
ENSG00000131495.9	7999	170.5
ENSG00000130429.16	7499	169.5
ENSG00000278948.1	4999	116.0
ENSG00000028116.18	4999	149.5
ENSG00000197798.9	5499	123.0
ENSG00000271361.1	4999	46.5
ENSG00000141580.16	9999	245.0
ENSG00000143409.18	3999	108.0
ENSG00000136273.13	5499	40.5
ENSG00000287733.1	10499	696.5
ENSG00000135679.27	6999	106.0
ENSG00000056558.11	6999	1178.0
ENSG00000230530.2	8999	215.0
ENSG00000293110.1	8999	130.0
ENSG00000228863.8	7499	102.0
ENSG00000273361.1	3999	84.5
ENSG00000121766.16	7499	93.0
ENSG00000145287.11	4499	55.0
ENSG00000276071.1	4499	47.5
ENSG00000134575.13	5499	165.5
ENSG00000105246.6	9499	191.5
ENSG00000234684.8	4999	50.0
ENSG00000119408.17	6499	88.0
ENSG00000139971.15	6999	89.5
ENSG00000031691.7	3999	96.0
ENSG00000101310.17	5999	141.5
ENSG00000127366.5	3999	34.5
ENSG00000218233.1	8999	195.0
ENSG00000173145.11	3999	73.0
ENSG00000285553.1	7499	96.5
ENSG00000273456.2	5999	527.0
ENSG00000226853.5	4999	75.0
ENSG00000134905.17	5499	103.5
ENSG00000262227.2	4499	82.0
ENSG00000205659.12	4999	83.0
ENSG00000290791.1	4499	93.5
ENSG00000152556.17	8499	170.5
ENSG00000288906.1	5999	282.0
ENSG00000275709.1	4999	67.0
ENSG00000171503.13	7499	122.5
ENSG00000116691.11	18499	299.0
ENSG00000142185.18	4499	26.0
ENSG00000136436.15	8999	998.0
ENSG00000186765.12	5499	62.0
ENSG00000198026.8	9999	119.5
ENSG00000196152.10	5499	239.5
ENSG00000235366.3	7499	120.0
ENSG00000076258.10	4499	52.5
ENSG00000185947.15	3999	96.5
ENSG00000125726.11	4999	94.0
ENSG00000113522.14	6999	78.5
ENSG00000116560.12	4499	59.5
ENSG00000229591.1	3999	41.0
ENSG00000123268.9	10499	310.5
ENSG00000224950.2	6999	78.0
ENSG00000185896.11	4499	101.5
ENSG00000166377.21	5999	89.0
ENSG00000169495.5	5999	373.5
ENSG00000180329.14	7999	134.0
ENSG00000230322.1	5999	62.5
