ID	Length	WT_05.Aligned.sortedByCoord.out
ENSG00000112679.15	9499	546.5
ENSG00000290791.1	4499	86.5
ENSG00000148399.13	5499	167.0
ENSG00000275945.1	4499	135.5
ENSG00000130733.11	5999	393.0
ENSG00000115282.21	6999	269.5
ENSG00000105483.18	5499	543.5
ENSG00000135040.16	3999	48.0
ENSG00000287250.1	4499	47.0
ENSG00000132475.10	9999	251.5
ENSG00000149084.13	3999	70.0
ENSG00000155827.12	4499	55.5
ENSG00000168906.13	4999	326.5
ENSG00000115839.19	7999	171.0
ENSG00000230532.1	4999	77.5
ENSG00000213188.3	3999	34.0
ENSG00000028137.19	4499	42.0
ENSG00000125447.18	3999	42.5
ENSG00000169495.5	6499	313.5
ENSG00000287308.1	3999	38.5
ENSG00000125726.11	4999	84.0
ENSG00000175467.15	8499	172.0
ENSG00000092931.12	4999	55.5
ENSG00000262343.1	15499	1144.0
ENSG00000271991.3	5999	126.5
ENSG00000213995.12	3999	838.5
ENSG00000111305.19	6999	122.5
ENSG00000164535.15	3999	78.0
ENSG00000123268.9	10999	416.5
ENSG00000284934.3	5999	142.0
ENSG00000264317.2	4999	50.5
ENSG00000288818.1	13865	531.0
ENSG00000205740.2	8499	105.5
ENSG00000265565.1	4999	49.0
ENSG00000132300.19	5499	100.5
ENSG00000105656.13	4999	66.5
ENSG00000175556.17	4999	81.5
ENSG00000002919.15	4999	57.0
ENSG00000122707.12	4499	49.0
ENSG00000090487.11	11499	423.0
ENSG00000197451.12	16999	538.0
ENSG00000116691.11	17999	254.0
ENSG00000056558.11	11499	2299.5
ENSG00000186532.12	6999	872.0
ENSG00000289018.2	3999	84.5
ENSG00000143409.18	3999	66.5
ENSG00000289015.1	5999	137.0
ENSG00000266017.1	5499	154.5
ENSG00000175893.12	6999	88.0
ENSG00000286291.1	3999	24.0
ENSG00000273361.1	4499	210.5
ENSG00000178567.8	15999	328.5
ENSG00000124251.11	7999	90.0
ENSG00000290612.1	4499	56.5
ENSG00000162511.8	6499	792.5
ENSG00000185896.11	3999	144.5
ENSG00000025293.17	5499	89.0
ENSG00000171206.16	8499	158.5
ENSG00000053372.5	6999	349.0
ENSG00000168126.3	10999	441.0
ENSG00000273542.2	5999	100.5
ENSG00000237074.2	5499	82.0
ENSG00000287584.1	3999	32.0
ENSG00000196652.12	3999	58.5
ENSG00000026751.17	3999	100.5
ENSG00000119403.15	7499	81.5
ENSG00000148835.12	3999	77.0
ENSG00000125534.10	6999	181.5
ENSG00000241258.7	3999	134.5
ENSG00000054654.20	13999	280.5
ENSG00000237758.1	4499	57.0
ENSG00000161664.7	13999	547.0
ENSG00000266490.1	3999	80.5
ENSG00000137074.20	3999	26.0
ENSG00000115486.13	4999	241.0
ENSG00000125910.6	5499	92.0
ENSG00000203993.7	6499	221.5
ENSG00000164054.17	3999	50.0
ENSG00000122566.22	14999	643.0
ENSG00000156587.16	10499	282.0
ENSG00000136816.16	4999	215.5
ENSG00000173535.15	5499	117.0
ENSG00000077238.14	3999	39.0
ENSG00000250474.2	7499	95.5
ENSG00000272764.1	4499	110.5
ENSG00000163521.16	6499	73.5
ENSG00000268912.1	4999	77.5
ENSG00000168090.10	4999	69.0
ENSG00000143319.17	7499	75.5
ENSG00000227765.4	3999	59.5
ENSG00000284922.2	3999	68.0
ENSG00000166140.17	4999	88.0
ENSG00000135250.17	4999	81.0
ENSG00000266852.2	11999	208.5
ENSG00000277895.1	5499	160.0
ENSG00000105373.19	3999	76.0
ENSG00000257167.3	3999	37.5
ENSG00000261766.1	4499	54.5
ENSG00000272672.1	4999	47.0
ENSG00000143344.16	14999	223.5
ENSG00000270104.1	3999	50.5
ENSG00000207020.1	12499	197.5
ENSG00000196152.10	5499	423.0
ENSG00000228126.1	5499	165.0
ENSG00000152439.13	6999	160.0
ENSG00000261096.1	5499	99.5
ENSG00000186765.12	10499	180.5
ENSG00000126953.8	4999	53.5
ENSG00000142655.13	3999	43.0
ENSG00000149273.15	3999	36.0
ENSG00000075240.17	3999	55.0
ENSG00000104147.9	24999	898.0
ENSG00000006704.11	4499	53.5
ENSG00000105640.13	7499	183.5
ENSG00000289421.1	10999	249.5
ENSG00000105821.15	8999	112.0
ENSG00000154310.17	4499	76.0
ENSG00000166377.21	7999	124.5
ENSG00000068724.18	5999	93.5
ENSG00000140941.14	5999	259.5
ENSG00000135679.27	5999	170.5
ENSG00000172175.16	4499	54.0
ENSG00000284602.1	8499	110.5
ENSG00000135070.15	3999	103.5
ENSG00000171503.13	6999	152.5
ENSG00000293360.1	9999	146.0
ENSG00000240043.1	3999	46.0
ENSG00000003756.17	5999	207.0
ENSG00000197798.9	5499	173.0
ENSG00000275106.1	5499	40.5
ENSG00000072121.17	9999	119.5
ENSG00000272842.1	4999	82.0
ENSG00000229267.3	5499	67.5
ENSG00000226779.1	5999	87.5
ENSG00000162244.12	6999	419.5
ENSG00000172977.13	6499	59.0
ENSG00000218233.1	7499	103.0
ENSG00000267551.3	10499	133.5
ENSG00000187742.15	11999	619.0
ENSG00000285553.1	10999	158.5
ENSG00000121594.12	8999	424.5
ENSG00000134575.13	5499	223.5
ENSG00000179262.10	6999	311.5
ENSG00000235366.3	8499	205.5
ENSG00000028116.18	4499	110.5
ENSG00000247735.2	3999	27.5
ENSG00000089280.19	3999	129.5
ENSG00000136436.15	8999	923.0
ENSG00000126870.16	3999	50.0
ENSG00000260852.1	3999	35.5
ENSG00000137076.22	4999	141.5
ENSG00000244564.2	4499	52.0
ENSG00000180098.9	4999	142.0
ENSG00000141034.10	3999	111.0
ENSG00000105246.6	8499	181.5
ENSG00000100418.8	10499	167.5
ENSG00000258441.1	6999	224.0
ENSG00000186815.13	4499	54.5
ENSG00000257052.1	3999	99.5
ENSG00000279048.2	3999	86.5
ENSG00000082516.9	8999	96.0
ENSG00000143776.20	8499	95.5
ENSG00000099968.18	5499	197.0
ENSG00000266933.2	10999	2730.0
ENSG00000224621.1	5499	54.0
ENSG00000136888.8	7999	197.0
ENSG00000164253.14	6999	58.0
ENSG00000188229.6	4499	395.5
ENSG00000077232.19	4999	59.5
ENSG00000135446.17	5499	136.5
ENSG00000141027.23	6999	255.0
ENSG00000060558.4	5499	92.0
ENSG00000278948.1	4999	178.5
ENSG00000103313.14	4499	116.5
ENSG00000259652.1	6499	163.0
ENSG00000127586.17	3999	59.0
ENSG00000260296.1	6499	80.5
ENSG00000056586.16	4499	251.0
ENSG00000291101.1	7999	180.0
ENSG00000258727.1	7499	147.5
ENSG00000145592.14	3999	47.0
