ID	Length	dBGLF5_02.Aligned.sortedByCoord.out
ENSG00000197111.16	7499	0.7
ENSG00000157483.9	9999	0.9
ENSG00000132912.13	5999	0.55
ENSG00000178057.15	5499	0.8
ENSG00000174718.12	7499	0.69
ENSG00000275638.1	5999	0.39
ENSG00000106665.16	3999	0.33
ENSG00000054654.20	11499	0.71
ENSG00000246790.2	8999	0.8
ENSG00000286646.2	3999	1.99
ENSG00000198498.10	9999	1.12
ENSG00000286531.1	3999	0.32
ENSG00000204110.7	4999	1.37
ENSG00000289082.1	3999	0.83
ENSG00000223356.1	3999	0.48
ENSG00000102384.14	3999	0.43
ENSG00000158711.14	3999	0.34
ENSG00000075131.10	3999	1.89
ENSG00000286912.1	11499	0.73
ENSG00000114021.12	9999	0.69
ENSG00000198833.7	4999	1.25
ENSG00000178567.8	8499	0.88
ENSG00000090661.12	3999	0.66
ENSG00000144468.17	4999	0.3
ENSG00000178921.14	7999	0.48
ENSG00000253522.6	4499	1.28
ENSG00000120725.13	7499	1.06
ENSG00000116793.16	6499	0.39
ENSG00000196670.14	4999	0.97
ENSG00000154310.17	4499	1.53
ENSG00000178935.5	4499	0.57
ENSG00000140259.7	3999	0.41
ENSG00000130429.16	4999	1.03
ENSG00000038210.14	5499	0.85
ENSG00000272606.2	12999	0.68
ENSG00000101109.13	5999	0.78
ENSG00000135763.10	5999	0.58
ENSG00000290085.1	6999	2.04
ENSG00000177556.12	17499	1.08
ENSG00000166579.16	5499	0.36
ENSG00000056558.11	4999	2.7
ENSG00000124151.19	5999	0.38
ENSG00000287733.1	10499	19.26
ENSG00000287697.1	5499	0.37
ENSG00000160229.13	4499	1.59
ENSG00000227598.1	7999	0.96
ENSG00000226779.1	19999	2.95
ENSG00000181192.12	3999	0.51
ENSG00000143319.17	7999	0.92
ENSG00000100426.7	4499	0.54
ENSG00000141027.23	5999	0.77
ENSG00000128944.14	5999	0.73
ENSG00000115165.10	21499	2.96
ENSG00000288818.1	7999	0.62
ENSG00000170185.11	4499	0.52
ENSG00000160392.14	5499	0.66
ENSG00000122359.18	4499	1.17
ENSG00000149084.13	10999	1.74
ENSG00000114850.7	15999	0.8
ENSG00000054967.13	16499	0.97
ENSG00000290931.1	10499	1.73
ENSG00000175115.13	4499	0.99
ENSG00000102144.15	5499	1.21
ENSG00000171307.19	5499	0.63
ENSG00000104131.13	5499	1.62
ENSG00000100162.15	9999	0.63
ENSG00000249096.7	6999	0.56
ENSG00000132199.20	6499	1.0
ENSG00000089022.15	4999	0.46
ENSG00000116903.7	3999	0.91
ENSG00000116874.12	5499	0.49
ENSG00000291283.1	6499	2.06
ENSG00000237638.3	25999	1.74
ENSG00000120334.16	4499	1.69
ENSG00000163507.15	5499	0.79
ENSG00000158457.6	5999	0.63
ENSG00000154262.13	5499	1.9
ENSG00000291118.1	3999	0.64
ENSG00000115514.12	6999	1.33
ENSG00000259421.1	5999	0.47
ENSG00000167625.12	4999	1.53
ENSG00000157593.20	4999	1.47
ENSG00000111196.10	4999	1.57
ENSG00000224672.4	3999	0.24
ENSG00000178229.8	4999	0.53
ENSG00000289836.1	3999	0.97
ENSG00000176142.13	7499	0.58
ENSG00000273162.1	5499	0.85
ENSG00000100557.10	6999	0.64
