ID	Length	WT_13.Aligned.sortedByCoord.out
ENSG00000157593.20	5499	1.9
ENSG00000253632.1	5999	0.9
ENSG00000115839.19	5499	0.47
ENSG00000119401.11	8999	1.22
ENSG00000130303.14	5499	0.81
ENSG00000165304.8	4499	0.85
ENSG00000168495.13	3999	0.84
ENSG00000197646.8	11499	2.37
ENSG00000173875.14	3999	0.32
ENSG00000226659.2	4999	1.13
ENSG00000135049.16	4499	0.64
ENSG00000164975.16	9499	1.54
ENSG00000163961.4	3999	0.4
ENSG00000125037.13	4499	0.51
ENSG00000048544.6	18499	0.78
ENSG00000284602.1	6999	0.75
ENSG00000150977.11	6999	3.41
ENSG00000028116.18	3999	2.75
ENSG00000197713.15	7499	1.66
ENSG00000269921.1	8999	0.61
ENSG00000132716.19	4499	0.5
ENSG00000177556.12	17999	2.41
ENSG00000126353.3	4499	2.15
ENSG00000165983.15	4499	1.07
ENSG00000187987.10	10499	1.79
ENSG00000275801.1	10499	3.51
ENSG00000290931.1	21499	1.35
ENSG00000107036.12	7499	0.76
ENSG00000255966.1	4499	0.89
ENSG00000125726.11	4999	7.92
ENSG00000177842.12	4499	0.46
ENSG00000162594.17	4499	1.21
ENSG00000289155.2	5999	0.49
ENSG00000213413.3	13499	1.44
ENSG00000023902.14	6499	0.38
ENSG00000241859.8	4499	1.58
ENSG00000197251.4	5499	0.42
ENSG00000239494.2	4999	0.55
ENSG00000089094.20	5999	0.72
ENSG00000167083.7	5999	0.76
ENSG00000267257.1	39124	1.6
ENSG00000156587.16	14999	1.29
ENSG00000104671.8	6499	0.46
ENSG00000143119.14	14999	1.1
ENSG00000234614.1	5999	0.94
ENSG00000184988.8	5499	2.7
ENSG00000010244.19	25999	1.1
ENSG00000115165.10	21499	1.97
ENSG00000124243.19	5499	1.34
ENSG00000245261.1	8499	0.54
ENSG00000154262.13	4499	3.22
ENSG00000154310.17	4499	2.27
ENSG00000257221.4	13499	0.73
ENSG00000134330.19	3999	0.73
ENSG00000146535.14	5999	0.4
ENSG00000115561.16	4999	0.92
ENSG00000163568.16	7999	1.73
ENSG00000139190.17	5999	0.98
ENSG00000263528.8	7499	0.8
ENSG00000121089.4	5999	1.92
ENSG00000105246.6	9999	8.06
ENSG00000185515.16	6999	1.04
ENSG00000112996.11	8499	0.86
ENSG00000205089.8	3999	0.61
ENSG00000135185.12	4499	1.29
ENSG00000261221.5	3999	0.52
ENSG00000197043.15	6999	1.65
ENSG00000270804.2	5499	0.9
ENSG00000167721.11	4499	0.82
ENSG00000242444.4	5499	2.43
ENSG00000288771.2	5999	3.27
ENSG00000235852.1	8499	0.82
ENSG00000136738.15	4999	0.51
ENSG00000289226.2	3999	0.67
ENSG00000196584.4	4499	1.05
ENSG00000203993.7	4999	0.72
ENSG00000119408.17	6499	45.85
ENSG00000249685.1	7999	0.74
ENSG00000273162.1	5499	0.58
ENSG00000136436.15	7999	0.81
ENSG00000232104.5	8499	4.41
ENSG00000116761.12	5999	2.18
ENSG00000090487.11	11499	2.07
ENSG00000293389.1	8499	0.75
ENSG00000162924.16	13999	1.63
ENSG00000152689.18	6999	1.09
ENSG00000120334.16	4499	1.96
ENSG00000290164.1	7499	0.5
ENSG00000291069.1	3999	0.51
ENSG00000158050.5	3999	0.76
ENSG00000111727.12	3999	0.48
ENSG00000163257.11	6499	1.12
ENSG00000236842.1	4499	0.67
ENSG00000168291.13	8499	0.52
ENSG00000086065.14	3999	0.34
ENSG00000137054.16	9999	4.34
ENSG00000204110.7	9499	4.66
ENSG00000268889.2	4499	0.36
ENSG00000072840.13	14999	2.94
ENSG00000164933.13	9499	0.62
ENSG00000099968.18	4499	0.66
ENSG00000164751.15	8499	0.41
ENSG00000183684.8	9499	0.42
ENSG00000289059.1	4499	0.55
ENSG00000288772.2	3999	0.76
ENSG00000291143.1	3999	1.92
ENSG00000291120.1	6999	0.38
ENSG00000227920.3	20999	2.87
ENSG00000290165.1	6999	0.82
ENSG00000262227.2	3999	3.01
ENSG00000146192.15	7999	0.57
ENSG00000136937.13	9999	0.68
ENSG00000158457.6	5999	0.94
ENSG00000134575.13	4999	0.43
ENSG00000116903.7	3999	0.56
ENSG00000214654.9	4999	0.38
ENSG00000160392.14	4999	0.87
ENSG00000223356.1	3999	0.38
ENSG00000197888.3	10999	1.28
ENSG00000259421.1	5999	2.14
ENSG00000167604.15	3999	0.62
ENSG00000189144.15	6999	0.97
ENSG00000224950.2	5999	1.31
ENSG00000290888.1	5999	0.57
ENSG00000145850.9	12999	0.99
ENSG00000012817.16	10499	0.77
ENSG00000250413.1	3999	0.71
ENSG00000180992.7	3999	0.49
ENSG00000288818.1	7999	0.58
ENSG00000026103.25	3999	0.5
ENSG00000127311.10	3999	2.04
ENSG00000166295.9	3999	0.35
ENSG00000289053.2	8999	0.76
ENSG00000066294.15	3999	1.07
ENSG00000171307.19	7499	0.45
ENSG00000175893.12	6999	1.96
ENSG00000254887.2	7999	0.38
ENSG00000164405.11	5499	0.72
ENSG00000183605.17	3999	0.41
ENSG00000232271.1	6999	1.26
ENSG00000230155.8	8499	1.03
ENSG00000288904.2	9499	0.78
ENSG00000137496.19	3999	1.06
ENSG00000292979.1	4499	0.86
ENSG00000186532.12	6499	1.12
ENSG00000089280.19	4499	0.4
ENSG00000255571.10	4499	0.4
ENSG00000082641.16	6499	0.45
ENSG00000136874.11	5999	0.94
ENSG00000287815.2	3999	0.39
ENSG00000212978.6	3999	1.05
ENSG00000116771.6	5499	0.64
ENSG00000110583.13	6999	0.48
