ID	Length	WT_24.Aligned.sortedByCoord.out
ENSG00000197157.11	11499	1.26
ENSG00000136270.14	6499	0.61
ENSG00000286459.1	4499	0.69
ENSG00000147475.17	3999	0.52
ENSG00000108788.12	9999	0.72
ENSG00000178999.13	10499	0.71
ENSG00000172270.22	5999	0.71
ENSG00000105607.13	19499	2.05
ENSG00000261096.1	5499	1.17
ENSG00000277022.1	4499	0.67
ENSG00000288670.1	4999	0.72
ENSG00000280157.1	3999	0.56
ENSG00000161204.12	5499	1.11
ENSG00000086504.18	3999	0.52
ENSG00000120949.15	22499	1.89
ENSG00000115902.11	8999	0.7
ENSG00000082516.9	8999	1.01
ENSG00000277895.1	5499	2.55
ENSG00000224903.2	36999	0.93
ENSG00000149634.5	4499	0.57
ENSG00000271991.3	5999	3.41
ENSG00000268912.1	16499	0.92
ENSG00000105549.11	8999	1.2
ENSG00000156384.15	14499	0.75
ENSG00000175182.15	4999	0.87
ENSG00000280636.1	4499	0.55
ENSG00000272345.1	28499	2.03
ENSG00000167526.14	5999	0.51
ENSG00000284640.1	13999	3.05
ENSG00000115165.10	4999	0.79
ENSG00000011454.18	11499	0.77
ENSG00000228391.1	8999	0.79
ENSG00000175356.14	10499	0.65
ENSG00000113161.17	10999	0.93
ENSG00000142185.18	10999	1.19
ENSG00000236607.3	9999	0.94
ENSG00000142552.8	3999	1.15
ENSG00000005175.10	5999	0.55
ENSG00000133818.14	20575	2.6
ENSG00000087302.9	20999	1.42
ENSG00000277371.1	15999	0.98
ENSG00000130429.16	17999	3.71
ENSG00000230438.9	18499	1.71
ENSG00000177963.15	15999	3.27
ENSG00000136816.16	9999	1.62
ENSG00000119953.14	12999	2.8
ENSG00000113312.12	14999	0.96
ENSG00000080839.12	16499	1.48
ENSG00000076258.10	4999	0.84
ENSG00000114850.7	15999	1.38
ENSG00000146278.11	5499	0.73
ENSG00000197170.10	3999	0.96
ENSG00000077458.13	5999	0.56
ENSG00000234793.1	10499	1.85
ENSG00000122483.18	6499	0.45
ENSG00000158195.11	8999	4.17
ENSG00000095564.15	21999	1.07
ENSG00000272842.1	17999	2.36
ENSG00000069275.13	4999	0.73
ENSG00000266933.2	28999	13.33
ENSG00000291101.1	8999	1.77
ENSG00000048405.11	3999	0.91
ENSG00000100416.15	3999	9.59
ENSG00000286990.1	5999	0.69
ENSG00000198551.10	14499	1.24
ENSG00000120948.19	8999	0.91
ENSG00000114978.18	5499	0.44
ENSG00000149179.14	13499	0.92
ENSG00000237190.4	5999	0.46
ENSG00000164167.12	15999	0.54
ENSG00000158711.14	3999	0.59
ENSG00000172943.21	7499	2.22
ENSG00000228203.8	3999	0.45
ENSG00000258262.1	4999	0.58
ENSG00000233223.5	24499	4.77
ENSG00000273802.3	15999	2.21
ENSG00000171848.16	3999	0.98
ENSG00000268401.2	10499	0.86
ENSG00000125970.12	30981	0.98
ENSG00000108639.8	11499	0.92
ENSG00000246067.10	4999	0.98
ENSG00000054654.20	26499	4.61
ENSG00000261766.1	7499	1.14
ENSG00000168010.11	17499	0.99
ENSG00000100445.18	4999	1.05
ENSG00000187736.14	7999	0.96
ENSG00000164535.15	3999	0.25
ENSG00000181513.15	3999	0.87
ENSG00000151364.17	4999	0.79
ENSG00000124587.14	3999	1.96
ENSG00000101367.9	8499	2.82
ENSG00000287558.1	3999	1.0
ENSG00000165525.18	3999	0.46
ENSG00000143924.19	8499	0.62
ENSG00000290100.1	5999	0.46
ENSG00000257222.1	10999	0.61
ENSG00000175556.17	4999	1.4
ENSG00000164403.15	5999	0.58
ENSG00000189042.14	14499	1.25
ENSG00000137200.13	17999	1.02
ENSG00000198026.8	13499	3.44
ENSG00000122026.11	16999	1.42
ENSG00000113712.19	5999	0.84
ENSG00000239494.2	10499	1.43
ENSG00000151503.14	12999	1.76
ENSG00000279792.1	6499	0.48
ENSG00000167693.17	8499	0.55
ENSG00000158615.10	18999	1.45
ENSG00000090661.12	8999	1.18
ENSG00000284343.1	6999	1.86
ENSG00000166526.19	6999	1.08
ENSG00000126067.12	6999	1.09
ENSG00000149187.19	14999	0.6
ENSG00000144357.18	12999	1.26
ENSG00000155252.14	9499	0.46
ENSG00000273703.2	3999	1.44
ENSG00000291120.1	6499	0.84
ENSG00000111786.10	16234	5.33
ENSG00000259421.1	13999	1.95
ENSG00000109771.16	4999	1.04
ENSG00000185019.17	4499	0.45
ENSG00000227070.2	8499	1.46
ENSG00000100767.17	4999	0.68
ENSG00000213741.11	3999	0.34
ENSG00000122566.22	14999	7.19
ENSG00000092871.17	9999	0.63
ENSG00000263080.1	6499	2.73
ENSG00000011478.13	11499	0.8
ENSG00000272843.1	3999	1.02
ENSG00000230790.2	13999	2.13
ENSG00000123144.11	6499	0.6
ENSG00000196670.14	3999	0.8
ENSG00000183111.12	14499	0.75
ENSG00000173163.11	6999	0.48
ENSG00000291118.1	4499	1.12
ENSG00000155827.12	6499	0.94
ENSG00000278276.1	5499	0.85
ENSG00000161929.15	7999	2.69
ENSG00000174173.7	3999	0.58
ENSG00000289202.3	9999	0.7
ENSG00000276116.2	4999	0.69
ENSG00000231340.1	5999	0.84
ENSG00000184988.8	5499	2.28
ENSG00000261101.2	5999	0.75
ENSG00000279529.2	3999	0.61
ENSG00000224950.2	6499	0.9
ENSG00000112306.8	6999	0.58
ENSG00000185049.16	9999	1.01
ENSG00000140941.14	13999	3.9
ENSG00000163946.14	3999	0.63
ENSG00000242999.3	10499	0.89
ENSG00000184619.8	12499	1.16
ENSG00000152556.17	8999	2.26
ENSG00000173200.13	11999	0.68
ENSG00000105656.13	4999	2.68
ENSG00000033327.13	5999	0.89
ENSG00000289874.1	6499	1.31
ENSG00000100216.6	6999	0.55
ENSG00000120334.16	4999	0.71
ENSG00000229348.1	5499	0.57
ENSG00000112599.9	4499	0.38
ENSG00000272606.2	29999	1.38
ENSG00000094804.12	4499	1.16
ENSG00000099889.14	13499	0.64
ENSG00000162676.13	3999	0.87
ENSG00000172667.11	16499	1.09
ENSG00000272462.4	12999	1.23
ENSG00000271936.1	4499	1.4
ENSG00000171421.13	4999	0.8
ENSG00000168026.19	4499	0.54
ENSG00000145592.14	6999	1.21
ENSG00000136238.20	3999	0.66
ENSG00000203472.3	7499	0.79
ENSG00000173812.11	4999	0.85
ENSG00000159720.13	18846	1.54
ENSG00000288899.1	10499	2.85
ENSG00000117362.13	16303	0.76
ENSG00000102144.15	3999	1.0
ENSG00000089094.20	10999	0.92
ENSG00000267106.9	15999	3.67
ENSG00000273176.1	4499	0.67
ENSG00000278737.1	31999	1.67
ENSG00000246790.2	32999	2.04
ENSG00000232999.1	5499	1.89
ENSG00000258556.1	3999	0.42
ENSG00000238160.2	8499	0.62
ENSG00000143344.16	7999	0.72
ENSG00000241859.8	3999	1.15
ENSG00000126934.15	7999	1.19
ENSG00000286294.2	5499	0.71
ENSG00000230107.1	14499	0.56
ENSG00000260350.1	3999	0.93
ENSG00000213413.3	16499	1.57
ENSG00000228242.6	4499	0.5
ENSG00000162244.12	18999	1.7
ENSG00000291283.1	4999	0.97
ENSG00000165669.14	10999	1.1
ENSG00000289226.2	9999	0.88
ENSG00000109332.20	6499	0.76
ENSG00000115839.19	18999	1.76
ENSG00000288906.1	4999	6.25
ENSG00000026751.17	3999	1.16
ENSG00000130363.13	25999	1.85
ENSG00000242444.4	4999	0.76
ENSG00000173992.9	32499	2.55
ENSG00000221886.4	8999	1.02
ENSG00000261335.1	4499	0.59
ENSG00000136867.11	12999	0.78
ENSG00000198586.14	7999	2.22
ENSG00000078177.15	10499	0.63
ENSG00000163528.13	4999	0.83
ENSG00000064995.19	45999	1.13
ENSG00000268129.2	3999	0.37
ENSG00000163938.17	8499	1.49
ENSG00000153560.12	7999	0.81
ENSG00000118855.21	21499	1.64
ENSG00000138594.14	5499	0.9
ENSG00000011198.10	26999	0.67
ENSG00000114993.17	5999	0.47
ENSG00000087157.19	7499	1.33
ENSG00000230530.2	5499	0.87
ENSG00000115486.13	3999	6.65
ENSG00000185404.17	4499	1.2
ENSG00000164574.16	3999	0.65
ENSG00000176142.13	12999	0.98
ENSG00000135185.12	4499	0.5
ENSG00000137185.13	3999	0.69
ENSG00000244063.1	11499	1.24
ENSG00000121774.18	15499	1.81
ENSG00000069248.12	8999	0.49
ENSG00000164151.12	7999	1.42
ENSG00000134108.14	4999	2.18
ENSG00000288887.2	5499	0.96
ENSG00000124243.19	4499	0.48
ENSG00000071539.14	14499	1.3
ENSG00000071082.11	13499	1.55
ENSG00000289257.2	32999	1.27
ENSG00000230185.7	13499	0.94
ENSG00000229659.1	7999	1.08
ENSG00000075240.17	9999	2.13
ENSG00000197798.9	4999	3.42
ENSG00000272391.6	3999	3.3
ENSG00000160293.17	5999	0.8
ENSG00000263412.3	3999	0.71
ENSG00000268471.6	17999	0.79
ENSG00000286546.1	6499	1.99
ENSG00000066777.9	14499	1.01
ENSG00000205659.12	8499	0.99
ENSG00000113522.14	8999	2.0
ENSG00000166024.14	13499	0.63
ENSG00000164219.10	6499	0.69
ENSG00000141562.19	9499	1.1
ENSG00000136937.13	19499	1.93
ENSG00000196586.17	4999	0.84
ENSG00000088888.18	12499	1.03
ENSG00000117481.11	17999	2.59
ENSG00000197323.12	29999	1.67
ENSG00000269821.2	4999	0.84
ENSG00000227329.2	5499	1.35
ENSG00000104894.12	6999	0.88
ENSG00000101473.17	4499	1.06
ENSG00000142546.14	3999	0.78
ENSG00000168291.13	8999	2.26
ENSG00000226659.2	4499	1.0
ENSG00000104131.13	36999	1.6
ENSG00000227176.1	4499	0.46
ENSG00000134575.13	4999	3.61
ENSG00000255299.5	3999	0.82
ENSG00000100983.12	4999	0.37
ENSG00000144674.19	7999	1.26
ENSG00000087008.16	5499	0.43
ENSG00000142676.14	6499	1.7
ENSG00000229591.1	9499	0.55
ENSG00000140995.17	12499	1.26
ENSG00000287265.1	25499	3.16
ENSG00000115053.17	20499	1.19
ENSG00000133731.10	15999	1.73
ENSG00000270141.3	3999	0.49
ENSG00000166391.15	14999	1.0
ENSG00000250796.1	8499	0.91
ENSG00000124251.11	18999	1.34
ENSG00000260193.1	5499	0.86
ENSG00000159884.12	4499	0.74
ENSG00000100242.16	3999	0.49
ENSG00000133805.16	17499	1.95
ENSG00000145414.9	6499	1.52
ENSG00000119760.16	14765	0.7
ENSG00000163870.16	5999	0.47
ENSG00000126767.18	6499	2.45
ENSG00000226853.5	4999	0.76
ENSG00000288880.2	6499	1.18
ENSG00000183048.12	7499	1.63
ENSG00000139651.11	5499	0.55
ENSG00000125657.5	14499	0.86
ENSG00000142864.15	4499	0.87
ENSG00000162191.14	3999	0.48
ENSG00000228872.2	3999	0.31
ENSG00000233912.1	5999	0.99
ENSG00000104812.15	7999	0.8
ENSG00000278384.1	4999	1.01
ENSG00000110171.21	28063	0.7
ENSG00000163682.17	3999	0.4
ENSG00000010244.19	28999	1.44
ENSG00000233016.9	8499	0.66
ENSG00000164985.15	5499	0.76
ENSG00000130305.17	4999	0.66
ENSG00000137713.16	11499	0.61
ENSG00000106153.13	9999	2.17
ENSG00000166140.17	4499	1.14
ENSG00000287502.1	13499	1.29
ENSG00000232611.1	5499	1.24
ENSG00000250685.7	4499	1.19
ENSG00000168566.13	11499	1.72
ENSG00000277003.1	10499	0.45
ENSG00000260256.1	6499	0.42
ENSG00000146282.19	12999	0.86
ENSG00000173545.5	8999	0.47
ENSG00000125386.16	11999	0.76
ENSG00000072121.17	10999	1.0
ENSG00000251000.1	5499	0.69
ENSG00000164674.17	3999	0.63
ENSG00000153487.13	12999	2.61
ENSG00000125447.18	3999	0.65
ENSG00000139641.13	7499	0.67
ENSG00000092470.12	4999	0.7
ENSG00000067066.17	16499	2.25
ENSG00000008952.17	9499	1.77
ENSG00000280010.1	3999	0.68
ENSG00000268889.2	3999	0.55
ENSG00000234694.2	5499	1.03
ENSG00000242299.1	12999	4.92
ENSG00000198355.5	6999	1.53
ENSG00000266240.1	7499	1.08
ENSG00000179094.16	4499	0.36
ENSG00000159958.7	5499	0.82
ENSG00000136273.13	7999	1.98
ENSG00000289393.1	28999	1.09
ENSG00000100024.15	4999	0.4
ENSG00000152455.16	12999	1.71
ENSG00000099330.9	5499	0.91
ENSG00000205056.9	23499	2.21
ENSG00000258727.1	6999	1.85
ENSG00000285999.1	22999	1.02
ENSG00000271742.1	18499	0.86
ENSG00000250474.2	7499	0.63
ENSG00000263529.2	16499	1.45
ENSG00000136930.13	9499	1.82
ENSG00000290791.1	3999	2.16
ENSG00000176171.12	8499	1.07
ENSG00000134265.13	5999	1.6
ENSG00000086061.16	13999	2.96
ENSG00000163568.16	11999	0.58
ENSG00000113761.12	5499	0.5
ENSG00000266852.2	17999	3.07
ENSG00000277151.1	3999	0.66
ENSG00000145907.16	29999	1.92
ENSG00000171659.16	4499	1.44
ENSG00000272758.7	5499	0.61
ENSG00000102910.14	17499	0.66
ENSG00000083312.19	6499	0.64
ENSG00000196584.4	4999	0.76
ENSG00000123353.10	7499	0.91
ENSG00000230424.3	6999	1.42
ENSG00000108599.15	7999	1.21
ENSG00000235077.1	4999	0.67
ENSG00000167604.15	3999	1.38
ENSG00000105483.18	10499	3.42
ENSG00000286722.1	25999	1.61
ENSG00000289361.1	5499	0.9
ENSG00000116830.12	7999	0.64
ENSG00000142409.6	8999	7.59
ENSG00000162894.12	4999	0.29
ENSG00000060558.4	8499	1.26
ENSG00000141580.16	9999	3.87
ENSG00000289015.1	5999	3.13
ENSG00000090487.11	11499	2.84
ENSG00000135341.19	17499	0.8
ENSG00000083520.15	14999	0.96
ENSG00000023909.10	4999	3.24
ENSG00000156603.20	6499	0.62
ENSG00000168818.10	3999	0.59
ENSG00000089048.15	3999	1.34
ENSG00000234684.8	5499	0.94
ENSG00000165934.13	5499	0.29
ENSG00000148399.13	35499	3.95
ENSG00000112293.15	5499	0.48
ENSG00000243762.1	14499	0.86
ENSG00000118004.18	5499	0.57
ENSG00000148429.15	5499	0.59
ENSG00000104783.15	5999	1.22
ENSG00000164050.13	5499	0.61
ENSG00000272672.1	15999	2.7
ENSG00000233558.1	3999	2.51
ENSG00000235173.7	5999	0.71
ENSG00000239392.2	3999	0.43
ENSG00000275052.5	19999	1.37
ENSG00000260920.2	7499	1.04
ENSG00000188229.6	7499	2.13
ENSG00000197044.11	28499	1.36
ENSG00000186432.10	9999	0.77
ENSG00000113810.16	12999	1.93
ENSG00000173889.16	11499	1.11
ENSG00000131378.14	25499	1.48
ENSG00000107949.17	15499	1.1
ENSG00000161664.7	13499	6.49
ENSG00000120137.7	4999	0.82
ENSG00000266072.1	14999	2.75
ENSG00000143337.19	3999	0.65
ENSG00000226212.2	4499	0.87
ENSG00000221806.1	3999	0.98
ENSG00000266490.1	11499	1.52
ENSG00000012817.16	9499	0.94
ENSG00000154743.19	4999	0.42
ENSG00000286586.1	5499	0.68
ENSG00000196741.5	5999	0.68
ENSG00000115677.18	8499	1.55
ENSG00000197111.16	19499	1.92
ENSG00000172530.22	7499	0.73
ENSG00000121594.12	13999	4.36
ENSG00000266385.1	11999	0.86
ENSG00000175467.15	6999	2.43
ENSG00000005961.19	3999	0.48
ENSG00000289031.1	4999	1.32
ENSG00000160679.14	10499	1.15
ENSG00000279277.2	6999	0.97
ENSG00000130733.11	29999	3.85
