ID	Length	dBGLF5_10.Aligned.sortedByCoord.out
ENSG00000275074.2	5999	0.82
ENSG00000162241.13	4499	2.34
ENSG00000162959.14	10999	0.51
ENSG00000168137.20	4999	1.05
ENSG00000120049.20	4999	0.71
ENSG00000275418.1	7999	3.65
ENSG00000286546.1	8499	7.8
ENSG00000121931.16	3999	0.62
ENSG00000069493.15	12499	0.77
ENSG00000198380.13	4499	0.54
ENSG00000163257.11	6999	1.68
ENSG00000115561.16	3999	1.3
ENSG00000272599.2	5499	0.64
ENSG00000143799.14	5499	0.44
ENSG00000116120.11	8999	0.6
ENSG00000128699.14	5499	0.71
ENSG00000237638.3	36499	3.2
ENSG00000285972.1	43999	2.7
ENSG00000100162.15	11499	0.91
ENSG00000171608.18	4499	0.55
ENSG00000228474.6	12043	1.21
ENSG00000235381.1	5999	0.52
ENSG00000162869.16	5499	0.43
ENSG00000132912.13	5499	0.86
ENSG00000258878.1	5499	0.45
ENSG00000054967.13	25207	1.55
ENSG00000288878.1	37499	0.84
ENSG00000227765.4	3999	0.79
ENSG00000089280.19	5999	0.77
ENSG00000158286.13	3999	0.55
ENSG00000161204.12	4999	0.58
ENSG00000109680.11	4999	0.43
ENSG00000242444.4	3999	0.83
ENSG00000230155.8	13999	1.27
ENSG00000252807.1	7999	0.65
ENSG00000196670.14	3999	1.13
ENSG00000036549.13	3999	0.36
ENSG00000146192.15	12499	0.92
ENSG00000139190.17	10499	1.02
ENSG00000227070.2	9499	0.53
ENSG00000236842.1	4499	1.03
ENSG00000152455.16	9999	1.06
ENSG00000276071.1	4999	0.74
ENSG00000266852.2	3999	1.14
ENSG00000150756.14	10999	0.68
ENSG00000125037.13	4499	0.53
ENSG00000164219.10	4499	0.5
ENSG00000126953.8	3999	1.72
ENSG00000239407.5	14499	1.58
ENSG00000281593.1	3999	0.56
ENSG00000152689.18	6999	2.75
ENSG00000198624.13	14499	3.14
ENSG00000111666.11	4499	0.55
ENSG00000267579.1	6499	0.68
ENSG00000130429.16	6499	1.46
ENSG00000287265.1	9999	1.26
ENSG00000186532.12	6999	1.78
ENSG00000127311.10	3999	2.57
ENSG00000122224.18	5499	0.53
ENSG00000229591.1	4499	0.37
ENSG00000197043.15	6999	1.99
ENSG00000006715.16	4499	0.29
ENSG00000120334.16	3999	1.7
ENSG00000011478.13	3999	0.72
ENSG00000151532.15	9999	1.63
ENSG00000054654.20	10999	1.03
ENSG00000090661.12	3999	1.45
ENSG00000291069.1	3999	0.41
ENSG00000116830.12	3999	0.47
ENSG00000136213.10	5999	0.56
ENSG00000128891.17	10499	0.96
ENSG00000241258.7	7499	2.21
ENSG00000134330.19	3999	1.03
ENSG00000092203.15	4499	0.49
ENSG00000050730.16	4499	0.63
ENSG00000160229.13	6499	1.32
ENSG00000251952.1	5999	0.44
ENSG00000259732.1	9999	0.45
ENSG00000291283.1	4999	2.79
ENSG00000167220.12	7499	0.7
ENSG00000197713.15	39999	1.55
ENSG00000198171.13	7499	1.07
ENSG00000152213.4	13999	0.62
ENSG00000136874.11	5499	0.8
ENSG00000166579.16	5499	0.54
ENSG00000164975.16	12499	0.8
ENSG00000179832.18	4499	1.18
ENSG00000249685.1	7999	1.05
ENSG00000152683.14	5999	0.6
ENSG00000290292.10	9999	0.59
ENSG00000179331.3	4499	0.73
ENSG00000279277.2	3999	0.35
ENSG00000221955.11	11999	0.57
ENSG00000277369.2	4999	0.68
ENSG00000213672.8	5499	1.09
ENSG00000031003.11	4499	0.65
ENSG00000172728.16	9999	0.95
ENSG00000054523.20	4499	0.51
ENSG00000181192.12	3999	0.53
ENSG00000196743.9	5499	4.06
ENSG00000256690.1	5499	0.68
ENSG00000197251.4	5499	0.48
ENSG00000106153.13	3999	1.02
ENSG00000125657.5	3999	0.57
ENSG00000056558.11	5499	3.4
ENSG00000224672.4	4499	0.64
ENSG00000133818.14	17499	0.65
ENSG00000100523.17	5999	0.46
ENSG00000114021.12	8499	0.94
ENSG00000229539.2	5499	0.86
ENSG00000102390.11	7499	0.99
ENSG00000246790.2	13999	1.31
ENSG00000115977.21	4499	0.58
ENSG00000188313.13	5999	0.37
ENSG00000164180.14	3999	0.99
ENSG00000167258.16	5499	0.69
ENSG00000099968.18	3999	0.4
ENSG00000111237.19	6499	0.36
ENSG00000234616.9	5499	0.6
ENSG00000132485.14	6999	0.9
ENSG00000173875.14	3999	0.24
ENSG00000223356.1	4999	0.54
ENSG00000118363.13	8999	1.81
ENSG00000114850.7	15999	1.02
ENSG00000241634.1	4499	1.73
ENSG00000293389.1	7999	0.79
ENSG00000224950.2	13999	1.45
ENSG00000115514.12	8999	1.04
ENSG00000115464.15	3999	0.59
ENSG00000233912.1	7499	0.59
ENSG00000135185.12	4499	2.21
ENSG00000291143.1	11999	2.39
ENSG00000237636.3	23499	1.84
ENSG00000293175.1	4499	0.4
ENSG00000053371.13	10999	0.91
ENSG00000132842.15	4999	0.79
ENSG00000198089.16	4499	0.33
ENSG00000224066.1	8499	0.63
ENSG00000282381.2	5999	0.42
ENSG00000271936.1	4999	0.94
ENSG00000185515.16	5999	1.57
ENSG00000271361.1	4499	2.77
ENSG00000100577.19	5499	0.35
ENSG00000100426.7	5499	0.46
ENSG00000291118.1	4499	0.81
ENSG00000189144.15	4999	1.49
ENSG00000198833.7	8499	0.76
ENSG00000122359.18	5499	1.27
ENSG00000159958.7	5499	1.59
ENSG00000173535.15	4499	2.07
ENSG00000175115.13	7499	1.6
ENSG00000105246.6	9999	4.49
ENSG00000289972.1	5499	0.51
ENSG00000226779.1	21499	6.19
ENSG00000132300.19	6499	0.47
ENSG00000241859.8	3999	0.88
ENSG00000184988.8	5499	4.76
ENSG00000289155.2	5999	0.73
ENSG00000235366.3	7499	1.8
ENSG00000104147.9	7499	0.66
ENSG00000189042.14	14499	1.16
ENSG00000164053.22	3999	0.27
ENSG00000101109.13	11999	0.74
ENSG00000178951.9	5999	0.52
ENSG00000123219.13	8499	0.59
ENSG00000229267.3	4999	1.45
ENSG00000113328.20	5499	0.43
ENSG00000081791.9	4999	0.59
ENSG00000100296.14	6999	0.57
ENSG00000231476.1	22499	0.97
ENSG00000138363.15	3999	0.79
ENSG00000288788.1	11499	0.95
ENSG00000137713.16	11499	0.77
ENSG00000105656.13	3999	0.43
ENSG00000290164.1	6499	0.47
ENSG00000151694.15	3999	0.54
ENSG00000266490.1	3999	0.87
ENSG00000186298.12	3999	0.73
ENSG00000224220.1	11499	4.69
ENSG00000224666.4	3999	0.66
ENSG00000107263.19	13999	1.09
ENSG00000119929.13	3999	0.43
ENSG00000164241.14	5999	1.27
ENSG00000275638.1	8499	0.49
ENSG00000168259.17	8999	0.6
ENSG00000243960.1	5499	0.51
ENSG00000273542.2	3999	0.61
ENSG00000123600.21	4499	0.52
ENSG00000286912.1	14999	1.39
ENSG00000213445.10	3999	0.45
ENSG00000196504.21	4499	0.37
ENSG00000261970.1	7499	0.71
ENSG00000253522.6	4499	1.14
ENSG00000100557.10	9499	0.77
ENSG00000165280.18	6499	0.55
ENSG00000100104.13	3999	0.94
ENSG00000155975.10	3999	0.37
ENSG00000263528.8	7499	0.95
ENSG00000121089.4	17999	1.37
ENSG00000278948.1	3999	0.72
ENSG00000147601.15	4499	0.39
ENSG00000259539.1	4499	0.55
ENSG00000173163.11	3999	0.55
ENSG00000128604.21	3999	0.54
ENSG00000164751.15	15999	0.58
ENSG00000227176.1	5999	0.73
ENSG00000133275.16	8999	1.56
ENSG00000204110.7	5499	1.25
ENSG00000169972.13	6499	1.01
ENSG00000284343.1	4499	0.71
ENSG00000075420.13	4499	0.39
ENSG00000104442.10	7999	0.61
ENSG00000141349.10	6499	0.41
ENSG00000108798.9	8999	0.95
ENSG00000112996.11	7999	1.11
ENSG00000233785.1	3999	0.6
ENSG00000258181.1	4999	0.43
ENSG00000107185.10	6999	1.35
ENSG00000111850.11	7499	0.69
ENSG00000211598.2	4999	1.41
ENSG00000012817.16	8999	0.9
ENSG00000164167.12	4999	0.95
ENSG00000186635.16	4499	0.47
ENSG00000134265.13	5999	0.46
ENSG00000104131.13	5999	1.89
ENSG00000153048.11	3999	0.83
ENSG00000272606.2	13999	0.99
ENSG00000253047.1	5999	0.9
ENSG00000135587.9	4999	0.53
ENSG00000108064.11	3999	0.74
ENSG00000149634.5	4499	0.58
ENSG00000254634.4	4499	0.37
ENSG00000110031.13	18499	0.69
ENSG00000075131.10	3999	1.93
ENSG00000289407.1	3999	0.43
ENSG00000197888.3	16999	0.99
ENSG00000261221.5	7499	0.58
ENSG00000291136.1	13499	0.56
ENSG00000087008.16	7499	0.55
ENSG00000183484.12	4999	1.15
ENSG00000115839.19	7499	0.71
ENSG00000121579.14	3999	0.54
ENSG00000141027.23	5999	1.21
ENSG00000230795.3	5499	1.23
ENSG00000178921.14	3999	1.03
ENSG00000230107.1	10499	0.79
ENSG00000169679.15	4999	0.6
ENSG00000172943.21	5499	0.3
ENSG00000152256.14	6499	0.87
ENSG00000243414.6	4499	0.86
ENSG00000289082.1	6999	0.92
ENSG00000135912.11	5499	0.63
ENSG00000133943.21	10999	0.83
ENSG00000107036.12	7999	0.89
ENSG00000023892.12	3999	0.45
ENSG00000185947.15	6499	0.99
ENSG00000127995.17	4499	0.43
ENSG00000287811.3	9999	0.49
ENSG00000288049.1	3999	0.37
ENSG00000149182.15	10499	0.56
ENSG00000116874.12	14999	0.68
ENSG00000115641.19	4999	0.48
ENSG00000203993.7	5499	0.69
ENSG00000160392.14	3999	0.75
ENSG00000161791.14	12499	0.61
ENSG00000146858.8	4499	3.01
ENSG00000234426.3	5999	0.49
ENSG00000289836.1	3999	0.83
ENSG00000156587.16	9499	0.9
ENSG00000123643.14	3999	0.54
ENSG00000178567.8	11999	1.1
ENSG00000137496.19	10999	0.92
ENSG00000111196.10	4999	1.23
ENSG00000136870.11	4499	0.6
ENSG00000228192.10	4499	0.61
ENSG00000234883.7	11999	4.62
ENSG00000102158.22	5999	0.62
ENSG00000152404.16	13499	0.81
ENSG00000257221.4	21499	1.87
ENSG00000272638.1	4499	0.61
ENSG00000137054.16	7999	3.8
ENSG00000135679.27	4999	1.56
ENSG00000169299.14	9499	0.54
ENSG00000290078.1	5499	0.59
ENSG00000214184.3	3999	0.59
ENSG00000232271.1	6999	4.49
ENSG00000116903.7	3999	1.02
ENSG00000110777.12	10499	1.47
ENSG00000119401.11	6999	0.71
ENSG00000286909.1	3999	0.71
ENSG00000185404.17	4499	1.29
ENSG00000157483.9	14999	0.99
ENSG00000149084.13	10999	1.54
ENSG00000175893.12	7499	1.11
ENSG00000115942.9	5999	0.57
ENSG00000186638.17	5499	0.45
ENSG00000101246.20	4499	0.4
ENSG00000089094.20	6999	0.84
ENSG00000079246.16	10499	3.09
ENSG00000028116.18	3999	3.97
ENSG00000121594.12	13999	3.21
ENSG00000235852.1	3999	0.89
ENSG00000113812.14	8999	2.31
ENSG00000261101.2	10499	0.91
ENSG00000101473.17	4499	0.75
ENSG00000092470.12	5999	0.35
ENSG00000167721.11	4499	0.69
ENSG00000106665.16	4499	0.49
ENSG00000137500.10	13999	0.64
ENSG00000026103.25	3999	0.64
ENSG00000288808.1	6999	0.74
ENSG00000130303.14	11999	1.17
ENSG00000173145.11	3999	0.86
ENSG00000224988.1	3999	0.27
ENSG00000196646.12	4499	0.78
ENSG00000183808.12	12999	1.96
ENSG00000143319.17	7999	1.12
ENSG00000278876.1	4499	0.76
ENSG00000287733.1	9999	25.36
ENSG00000288818.1	7999	0.89
ENSG00000113456.20	4499	0.4
ENSG00000119408.17	5999	24.74
ENSG00000132199.20	7499	1.11
ENSG00000154262.13	9499	1.28
ENSG00000293360.1	5999	0.5
ENSG00000165983.15	4499	0.94
ENSG00000160193.12	8499	0.83
ENSG00000241529.3	4499	0.62
