ID	Length	dBGLF5_06.Aligned.sortedByCoord.out
ENSG00000198833.7	5999	1.18
ENSG00000115165.10	21499	2.5
ENSG00000127311.10	3999	1.9
ENSG00000197646.8	4499	0.7
ENSG00000239407.5	10999	1.47
ENSG00000162676.13	4499	0.66
ENSG00000141027.23	5999	0.64
ENSG00000056558.11	4999	3.91
ENSG00000293360.1	4499	0.43
ENSG00000136273.13	7999	1.12
ENSG00000136932.15	4499	0.47
ENSG00000162594.17	4999	1.04
ENSG00000104442.10	7999	0.6
ENSG00000121390.19	7499	0.58
ENSG00000271936.1	4499	0.6
ENSG00000116903.7	3999	0.83
ENSG00000178567.8	6999	0.9
ENSG00000088727.14	7999	0.58
ENSG00000285972.1	21999	2.35
ENSG00000132436.13	7999	1.08
ENSG00000154310.17	4499	1.59
ENSG00000119509.13	5499	1.61
ENSG00000290931.1	15849	1.45
ENSG00000110777.12	9999	1.13
ENSG00000213672.8	5999	0.38
ENSG00000261101.2	7499	0.75
ENSG00000231476.1	7999	0.64
ENSG00000156587.16	4499	0.91
ENSG00000287697.1	3999	0.58
ENSG00000233912.1	7499	0.58
ENSG00000241634.1	4499	1.7
ENSG00000173535.15	4499	2.39
ENSG00000164933.13	9499	0.76
ENSG00000236842.1	4499	0.71
ENSG00000198624.13	12999	2.16
ENSG00000125843.11	4499	0.36
ENSG00000286546.1	6499	5.68
ENSG00000122359.18	5499	0.71
ENSG00000183684.8	5499	0.34
ENSG00000230155.8	5999	1.41
ENSG00000233785.1	3999	0.65
ENSG00000125037.13	4499	0.51
ENSG00000164241.14	7499	0.96
ENSG00000007944.15	4999	0.34
ENSG00000261766.1	3999	0.55
ENSG00000113522.14	5499	0.57
ENSG00000125726.11	4999	6.66
ENSG00000271361.1	3999	3.61
ENSG00000287502.1	5999	0.43
ENSG00000237638.3	24999	2.12
ENSG00000160229.13	3999	1.22
ENSG00000115561.16	5499	0.82
ENSG00000287990.1	8499	0.78
ENSG00000089094.20	6499	1.02
ENSG00000111727.12	4499	0.6
ENSG00000112679.15	8999	0.7
ENSG00000075131.10	3999	2.05
ENSG00000000460.17	5499	0.77
ENSG00000157593.20	4999	2.09
ENSG00000251131.3	3999	0.49
ENSG00000113328.20	4999	0.71
ENSG00000154262.13	4499	2.83
ENSG00000243414.6	4999	0.63
ENSG00000169251.13	4499	0.41
ENSG00000224220.1	8499	6.24
ENSG00000266852.2	3999	1.04
ENSG00000114209.15	3999	0.41
ENSG00000173145.11	4999	0.73
ENSG00000106665.16	4499	0.42
ENSG00000149084.13	4499	2.02
ENSG00000132199.20	4499	1.08
ENSG00000289972.1	5999	0.34
ENSG00000155827.12	4499	0.68
ENSG00000197043.15	6999	1.67
ENSG00000126953.8	3999	1.69
ENSG00000289155.2	3999	0.59
ENSG00000103550.14	5999	0.56
ENSG00000125910.6	4999	1.03
ENSG00000155463.14	4499	0.45
ENSG00000121766.16	4499	0.48
ENSG00000228474.6	11499	0.94
ENSG00000132465.12	5499	4.14
ENSG00000151532.15	8999	1.34
ENSG00000087008.16	3999	0.35
ENSG00000196152.10	4499	2.42
ENSG00000211598.2	3999	1.77
ENSG00000241258.7	5999	2.74
ENSG00000204110.7	4999	0.93
ENSG00000270804.2	4999	1.44
ENSG00000198498.10	6999	1.01
ENSG00000100162.15	4999	0.65
ENSG00000234426.3	5999	0.48
ENSG00000108639.8	3999	1.29
ENSG00000249049.1	6499	1.35
ENSG00000153048.11	4999	0.6
ENSG00000090661.12	3999	0.88
ENSG00000259732.1	4499	0.36
ENSG00000166526.19	3999	0.63
ENSG00000186532.12	5999	1.45
ENSG00000130303.14	3999	0.51
ENSG00000119408.17	5999	20.65
ENSG00000090487.11	11499	2.71
ENSG00000102158.22	3999	0.94
ENSG00000289378.1	6499	0.84
ENSG00000163257.11	6999	1.15
ENSG00000136937.13	6499	0.79
ENSG00000276116.2	4999	0.89
ENSG00000164751.15	8999	0.4
ENSG00000134330.19	4499	0.83
ENSG00000229539.2	4999	0.61
ENSG00000054967.13	17207	0.9
ENSG00000108599.15	4499	0.5
ENSG00000272672.1	3999	0.4
ENSG00000137054.16	6999	3.93
ENSG00000100412.17	5999	0.58
ENSG00000101310.17	3999	0.39
ENSG00000164167.12	4499	0.69
ENSG00000172171.11	4499	0.44
