ID	Length	WT_04.Aligned.sortedByCoord.out
ENSG00000270259.2	3999	57.0
ENSG00000178935.5	19499	637.0
ENSG00000064547.14	4499	114.5
ENSG00000167384.11	7499	96.0
ENSG00000230532.1	11999	497.0
ENSG00000164574.16	4999	50.5
ENSG00000170852.12	16499	554.0
ENSG00000230424.3	10999	328.0
ENSG00000130305.17	4999	82.5
ENSG00000279792.1	14999	247.0
ENSG00000100416.15	3999	703.5
ENSG00000241634.1	4499	89.0
ENSG00000158457.6	9499	201.5
ENSG00000137185.13	4499	89.5
ENSG00000072756.18	12999	358.5
ENSG00000198168.9	8499	183.5
ENSG00000108352.13	3999	58.5
ENSG00000272936.1	10499	135.5
ENSG00000274135.1	7999	187.5
ENSG00000280758.1	9999	215.5
ENSG00000185065.6	5499	90.0
ENSG00000105983.23	4999	56.5
ENSG00000082516.9	8999	134.0
ENSG00000167674.15	5999	168.0
ENSG00000263884.2	5999	94.0
ENSG00000105568.19	8499	126.0
ENSG00000276272.1	14999	179.0
ENSG00000289071.2	5999	50.0
ENSG00000113312.12	12499	216.0
ENSG00000290100.1	5999	180.5
ENSG00000130244.13	4499	43.0
ENSG00000110171.21	13499	334.0
ENSG00000205189.13	16999	438.5
ENSG00000229267.3	4999	118.5
ENSG00000094804.12	4499	106.5
ENSG00000130816.17	12999	364.0
ENSG00000135336.16	17499	380.5
ENSG00000187736.14	7999	110.5
ENSG00000288808.1	6999	165.5
ENSG00000239335.4	39499	1185.5
ENSG00000125458.7	4499	76.0
ENSG00000237590.1	5999	85.0
ENSG00000154118.13	5499	95.5
ENSG00000107262.26	8999	133.0
ENSG00000171824.14	6499	273.0
ENSG00000203307.2	3999	37.0
ENSG00000144579.9	8499	87.0
ENSG00000222248.1	6499	76.5
ENSG00000229348.1	9499	101.0
ENSG00000141428.17	6999	78.0
ENSG00000132485.14	13499	280.0
ENSG00000221838.11	6999	127.5
ENSG00000287265.1	25499	3208.0
ENSG00000106665.16	8499	163.5
ENSG00000079387.15	6499	229.5
ENSG00000119231.11	7499	399.0
ENSG00000158042.9	4499	65.5
ENSG00000136827.12	6499	151.0
ENSG00000177830.18	10999	501.0
ENSG00000189180.16	6499	96.0
ENSG00000079246.16	10499	290.0
ENSG00000197081.16	36499	982.0
ENSG00000154310.17	4499	174.0
ENSG00000103313.14	4499	245.5
ENSG00000286364.1	11499	285.5
ENSG00000144118.14	10499	380.5
ENSG00000069329.19	5999	119.5
ENSG00000189298.14	5499	136.5
ENSG00000164070.12	14499	574.0
ENSG00000273595.1	10499	186.0
ENSG00000115514.12	6999	64.5
ENSG00000146858.8	3999	115.5
ENSG00000136731.13	5499	124.0
ENSG00000240710.1	7999	101.5
ENSG00000286013.1	5999	80.5
ENSG00000131153.9	19499	2062.5
ENSG00000230033.1	5499	393.0
ENSG00000196652.12	9499	241.5
ENSG00000054523.20	8499	186.0
ENSG00000175756.14	9999	258.0
ENSG00000132199.20	3999	47.0
ENSG00000149179.14	13999	363.5
ENSG00000112118.20	4999	66.5
ENSG00000273226.1	6999	242.5
ENSG00000179840.5	6499	198.5
ENSG00000221955.11	12999	322.0
ENSG00000197885.11	34499	2713.5
ENSG00000289357.1	6499	262.0
ENSG00000048405.11	3999	112.5
ENSG00000102572.15	3999	35.0
ENSG00000196741.5	5999	100.0
ENSG00000153208.19	3999	65.0
ENSG00000181513.15	3999	109.0
ENSG00000235629.1	6999	89.0
ENSG00000227070.2	8499	171.0
ENSG00000197958.13	5499	98.0
ENSG00000138018.19	5999	137.0
ENSG00000234741.10	12499	197.0
ENSG00000168056.18	17499	563.5
ENSG00000157017.16	6999	77.5
ENSG00000260646.1	4999	147.0
ENSG00000129810.15	5999	83.0
ENSG00000258890.8	9999	581.5
ENSG00000232358.1	9499	175.0
ENSG00000130733.11	23999	1985.5
ENSG00000123636.19	4499	100.0
ENSG00000100106.22	4499	76.5
ENSG00000227741.1	5999	84.0
ENSG00000261216.1	7499	120.5
ENSG00000126464.15	15499	653.5
ENSG00000111181.13	7499	177.5
ENSG00000183283.16	4499	59.0
ENSG00000197044.11	25999	935.5
ENSG00000197815.4	3999	60.5
ENSG00000077348.10	10499	231.0
ENSG00000272455.1	8999	152.0
ENSG00000025293.17	4999	61.0
ENSG00000137076.22	3999	258.5
ENSG00000229203.1	8999	351.0
ENSG00000214593.3	5499	57.0
ENSG00000107862.7	10999	189.5
ENSG00000291008.1	4999	179.0
ENSG00000279613.1	11999	871.5
ENSG00000289155.2	17999	587.5
ENSG00000054967.13	15999	334.5
ENSG00000104147.9	26999	5587.0
ENSG00000180448.11	5499	47.5
ENSG00000121774.18	15499	562.0
ENSG00000125735.11	6999	589.0
ENSG00000225611.3	4499	70.0
ENSG00000172728.16	3999	41.5
ENSG00000235560.4	17999	433.5
ENSG00000056558.11	20999	4523.0
ENSG00000083097.15	6999	46.0
ENSG00000163811.12	4999	27.5
ENSG00000164296.7	6499	71.0
ENSG00000125445.11	8499	192.5
ENSG00000288906.1	10499	755.0
ENSG00000290078.1	4499	106.0
ENSG00000198380.13	4999	77.0
ENSG00000135446.17	4499	190.5
ENSG00000136870.11	25999	571.0
ENSG00000266852.2	21999	1329.0
ENSG00000153048.11	10999	230.5
ENSG00000177646.20	5999	75.5
ENSG00000288818.1	13999	1955.5
ENSG00000226859.1	14999	383.0
ENSG00000260997.1	7499	145.0
ENSG00000231901.1	5499	38.0
ENSG00000126461.15	5999	195.5
ENSG00000141027.23	10999	887.0
ENSG00000185090.15	4999	134.5
ENSG00000161204.12	5499	168.5
ENSG00000206980.1	4499	78.0
ENSG00000252026.1	17499	572.0
ENSG00000102886.15	7499	123.0
ENSG00000118855.21	20999	650.0
ENSG00000159915.13	5999	69.5
ENSG00000215206.5	3999	33.0
ENSG00000156232.7	11499	150.0
ENSG00000092203.15	12999	294.5
ENSG00000072840.13	14999	716.0
ENSG00000143970.18	4499	92.0
ENSG00000227759.2	4999	112.5
ENSG00000075240.17	7999	496.5
ENSG00000198642.7	23499	975.0
ENSG00000169710.9	9499	107.0
ENSG00000284657.1	5499	231.5
ENSG00000289440.1	12499	136.5
ENSG00000267066.1	3999	61.0
ENSG00000289226.2	9999	227.5
ENSG00000230795.3	4499	43.0
ENSG00000279529.2	3999	42.5
ENSG00000289470.1	20999	1306.0
ENSG00000229893.2	6499	112.0
ENSG00000065135.12	17999	599.5
ENSG00000168894.10	4999	151.0
ENSG00000162511.8	5999	1268.0
ENSG00000262343.1	14999	3508.0
ENSG00000067066.17	14499	977.5
ENSG00000133818.14	21075	841.5
ENSG00000133943.21	8499	168.0
ENSG00000232611.1	36999	1546.0
ENSG00000064995.19	22999	480.0
ENSG00000141562.19	9499	389.0
ENSG00000289970.1	3999	83.0
ENSG00000276043.5	4499	66.0
ENSG00000038210.14	8499	160.0
ENSG00000162676.13	4999	63.0
ENSG00000142546.14	9999	146.0
ENSG00000260920.2	8499	148.0
ENSG00000167721.11	4999	101.5
ENSG00000169902.15	11999	235.0
ENSG00000180712.5	12999	116.0
ENSG00000204172.12	3999	41.0
ENSG00000263412.3	5999	102.5
ENSG00000002330.14	4999	55.5
ENSG00000269968.1	7499	223.5
ENSG00000243433.1	3999	30.5
ENSG00000178999.13	4999	74.5
ENSG00000162066.16	4499	223.5
ENSG00000106554.13	11499	126.0
ENSG00000279662.1	4499	50.5
ENSG00000179262.10	7999	627.5
ENSG00000135002.12	5999	93.0
ENSG00000114841.18	9499	104.5
ENSG00000267213.4	4999	101.5
ENSG00000289393.1	25499	546.0
ENSG00000133112.17	10499	195.0
ENSG00000264937.1	5499	77.0
ENSG00000163950.13	5999	63.5
ENSG00000028116.18	3999	128.0
ENSG00000115368.10	5499	35.5
ENSG00000107175.12	11999	295.0
ENSG00000141295.14	9499	171.0
ENSG00000168495.13	5499	312.5
ENSG00000230107.1	13499	218.0
ENSG00000170949.18	9499	273.5
ENSG00000142864.15	3999	65.5
ENSG00000115902.11	4999	75.5
ENSG00000134574.12	5499	79.5
ENSG00000161671.17	6999	89.0
ENSG00000224367.7	4499	86.5
ENSG00000242999.3	16499	269.5
ENSG00000237522.1	6499	165.5
ENSG00000155744.10	14499	617.5
ENSG00000134901.14	4999	51.5
ENSG00000288049.1	7499	150.0
ENSG00000199598.1	14499	584.5
ENSG00000204584.1	4999	29.5
ENSG00000270577.1	8999	156.0
ENSG00000136874.11	3999	55.5
ENSG00000233223.5	8499	1587.5
ENSG00000289015.1	5499	294.5
ENSG00000234694.2	17999	247.0
ENSG00000287384.1	19499	277.0
ENSG00000139428.12	9499	142.0
ENSG00000185433.11	5999	75.5
ENSG00000281649.3	13999	147.0
ENSG00000287350.1	6999	93.0
ENSG00000201659.1	11999	563.0
ENSG00000227176.1	5999	42.0
ENSG00000164163.11	12999	181.0
ENSG00000290009.1	7999	74.0
ENSG00000107929.16	4499	53.5
ENSG00000101109.13	18499	747.5
ENSG00000143776.20	9999	263.0
ENSG00000172650.15	3999	159.5
ENSG00000126067.12	6999	97.0
ENSG00000205740.2	7499	503.0
ENSG00000099889.14	9499	148.0
ENSG00000121957.15	4499	119.0
ENSG00000198089.16	4999	47.0
ENSG00000204110.7	5499	184.5
ENSG00000271002.1	10999	306.0
ENSG00000095319.14	20999	654.0
ENSG00000111786.10	15234	771.0
ENSG00000290537.1	24499	402.0
ENSG00000115694.15	6499	62.5
ENSG00000228863.8	6999	243.0
ENSG00000167972.14	5499	130.0
ENSG00000159579.14	10499	193.5
ENSG00000111196.10	4999	163.5
ENSG00000120942.14	3999	53.0
ENSG00000170088.14	4499	74.0
ENSG00000173653.8	13999	360.0
ENSG00000126953.8	3999	82.5
ENSG00000136273.13	7999	406.0
ENSG00000130363.13	16499	530.0
ENSG00000290165.1	8499	117.0
ENSG00000177576.12	5499	61.0
ENSG00000113522.14	6499	250.5
ENSG00000289567.2	9499	280.0
ENSG00000275878.1	9999	190.0
ENSG00000188163.8	5999	148.0
ENSG00000143127.13	4999	68.5
ENSG00000283078.1	4999	106.5
ENSG00000259652.1	29999	1711.5
ENSG00000138303.19	4999	88.5
ENSG00000165802.23	5499	418.5
ENSG00000261351.2	18999	321.0
ENSG00000203705.11	7499	117.5
ENSG00000118004.18	4499	42.5
ENSG00000113161.17	6499	77.0
ENSG00000259953.2	13999	245.0
ENSG00000143924.19	4999	73.5
ENSG00000233912.1	15999	254.5
ENSG00000244267.1	3999	31.0
ENSG00000228201.1	4499	120.5
ENSG00000228839.5	6999	77.0
ENSG00000146457.16	5499	88.0
ENSG00000165678.22	8499	165.0
ENSG00000176933.5	3999	130.0
ENSG00000233393.2	14999	218.5
ENSG00000160214.13	17999	627.0
ENSG00000069248.12	4499	55.0
ENSG00000146282.19	4999	87.0
ENSG00000278948.1	6999	584.5
ENSG00000198171.13	6499	196.0
ENSG00000276216.1	4499	52.5
ENSG00000077150.21	20999	692.0
ENSG00000155256.18	3999	99.0
ENSG00000118579.13	8499	193.5
ENSG00000234546.5	5499	57.5
ENSG00000077147.16	4999	63.5
ENSG00000286909.1	5499	98.0
ENSG00000141580.16	11499	1064.5
ENSG00000105373.19	7499	132.0
ENSG00000141522.12	6499	120.5
ENSG00000230790.2	9499	461.5
ENSG00000283108.2	3999	36.0
ENSG00000120949.15	22499	981.5
ENSG00000132912.13	6999	146.5
ENSG00000033327.13	9499	115.5
ENSG00000119408.17	5999	265.5
ENSG00000196227.11	4499	34.5
ENSG00000158869.11	11499	181.0
ENSG00000273162.1	26499	3179.0
ENSG00000165487.14	8999	151.5
ENSG00000168872.17	5999	571.5
ENSG00000063245.15	5999	93.0
ENSG00000144320.14	8999	127.5
ENSG00000290770.1	7499	86.0
ENSG00000099968.18	4499	510.0
ENSG00000105708.9	5499	141.0
ENSG00000236607.3	4999	99.0
ENSG00000075702.19	8999	271.0
ENSG00000168158.4	4499	67.5
ENSG00000137073.24	30499	1038.5
ENSG00000070610.14	4499	372.5
ENSG00000261236.8	8499	155.5
ENSG00000167112.10	17499	857.5
ENSG00000176978.15	6499	416.5
ENSG00000280046.1	11999	182.5
ENSG00000134265.13	3999	80.5
ENSG00000161547.17	6999	257.5
ENSG00000107021.16	13499	473.5
ENSG00000173889.16	4499	74.5
ENSG00000234699.1	12999	154.0
ENSG00000291043.1	6499	263.0
ENSG00000228474.6	16043	510.5
ENSG00000124217.5	4999	68.0
ENSG00000148795.7	5499	52.5
ENSG00000160392.14	4999	105.0
ENSG00000196981.4	5499	65.0
ENSG00000168883.20	10999	106.0
ENSG00000267551.3	21999	826.5
ENSG00000278737.1	29999	1713.5
ENSG00000261744.1	6999	110.0
ENSG00000116771.6	8499	184.5
ENSG00000261799.1	6499	55.0
ENSG00000288899.1	10499	472.5
ENSG00000159884.12	4499	90.0
ENSG00000136867.11	10499	189.0
ENSG00000112306.8	6999	77.0
ENSG00000139190.17	23499	913.5
ENSG00000289018.2	4499	180.5
ENSG00000005812.11	3999	129.0
ENSG00000273619.2	12499	310.0
ENSG00000149084.13	4499	96.0
ENSG00000122705.18	4499	94.0
ENSG00000198586.14	8499	349.0
ENSG00000144535.20	4999	186.5
ENSG00000234884.2	6999	133.5
ENSG00000226779.1	12999	236.5
ENSG00000166526.19	5499	115.5
ENSG00000119509.13	4999	185.5
ENSG00000105640.13	7499	401.0
ENSG00000266385.1	6999	89.0
ENSG00000250878.6	7999	124.5
ENSG00000204160.12	5499	213.0
ENSG00000154079.6	5999	67.0
ENSG00000293268.1	3999	114.5
ENSG00000235204.1	7999	211.5
ENSG00000103018.18	13999	265.5
ENSG00000169136.13	24499	676.5
ENSG00000125726.11	4499	181.5
ENSG00000132670.21	6499	77.5
ENSG00000186532.12	12499	2217.5
ENSG00000068001.14	4499	236.0
ENSG00000168010.11	13499	344.5
ENSG00000096060.15	3999	54.0
ENSG00000132950.19	3999	33.5
ENSG00000146535.14	6499	89.0
ENSG00000287697.1	13999	196.0
ENSG00000126266.4	4999	492.5
ENSG00000125733.18	6499	112.0
ENSG00000166391.15	13499	254.0
ENSG00000165630.15	3999	77.5
ENSG00000273344.2	6499	100.5
ENSG00000145592.14	7999	155.0
ENSG00000213793.6	6499	93.0
ENSG00000177613.9	5999	112.0
ENSG00000273890.1	6999	79.0
ENSG00000133805.16	15499	275.5
ENSG00000136051.15	9499	83.0
ENSG00000105607.13	19499	956.0
ENSG00000197647.13	12999	588.0
ENSG00000284820.1	6999	129.5
ENSG00000117362.13	12999	210.5
ENSG00000286196.1	8999	201.0
ENSG00000127191.18	22553	1359.5
ENSG00000196152.10	7499	799.0
ENSG00000228544.1	5999	248.5
ENSG00000125447.18	4499	44.0
ENSG00000162924.16	8499	123.0
ENSG00000254595.1	13499	551.0
ENSG00000239407.5	10999	262.0
ENSG00000246067.10	4999	77.5
ENSG00000100982.12	8999	262.5
ENSG00000272916.5	6999	99.5
ENSG00000237330.3	5499	385.0
ENSG00000173744.18	5999	70.0
ENSG00000119314.16	3999	38.5
ENSG00000276292.1	6999	294.5
ENSG00000289378.1	9499	162.5
ENSG00000170144.22	44999	2371.0
ENSG00000289564.1	4999	49.5
ENSG00000109270.13	8999	282.5
ENSG00000287190.1	5999	79.5
ENSG00000230438.9	13499	395.0
ENSG00000188986.9	9499	1972.5
ENSG00000166848.7	6499	126.0
ENSG00000106266.11	6499	266.5
ENSG00000131508.17	10499	657.0
ENSG00000227598.1	11499	165.5
ENSG00000010310.9	6999	98.0
ENSG00000127311.10	3999	144.0
ENSG00000267405.1	6999	128.0
ENSG00000223935.3	4999	145.5
ENSG00000225945.1	25499	725.0
ENSG00000152439.13	7999	472.0
ENSG00000184445.12	3999	33.5
ENSG00000119689.15	8999	381.5
