ID	Length	WT_24.Aligned.sortedByCoord.out
ENSG00000168090.10	7999	261.0
ENSG00000273802.3	15999	743.0
ENSG00000130255.13	31499	939.5
ENSG00000145287.11	3999	62.0
ENSG00000248571.1	3999	57.5
ENSG00000139842.15	5499	84.0
ENSG00000136271.11	4999	55.0
ENSG00000137496.19	17594	632.0
ENSG00000136238.20	3999	55.5
ENSG00000188725.8	5999	151.0
ENSG00000253824.2	4499	80.0
ENSG00000179010.16	4499	174.5
ENSG00000171421.13	4999	84.0
ENSG00000120948.19	8999	173.0
ENSG00000082641.16	9499	208.0
ENSG00000274717.1	5499	47.5
ENSG00000293251.2	16999	472.0
ENSG00000288899.1	10499	628.5
ENSG00000286546.1	6499	272.5
ENSG00000234684.8	5499	108.5
ENSG00000123268.9	12499	1590.5
ENSG00000202089.1	6999	204.0
ENSG00000152705.8	3999	30.0
ENSG00000132485.14	13499	400.5
ENSG00000153037.15	21499	448.0
ENSG00000134265.13	5999	202.0
ENSG00000102445.20	5499	71.5
ENSG00000234884.2	7499	118.5
ENSG00000272672.1	15999	907.5
ENSG00000164587.13	4499	52.5
ENSG00000126767.18	6499	335.5
ENSG00000270011.9	3999	32.0
ENSG00000289194.1	12499	265.0
ENSG00000156675.16	10499	155.5
ENSG00000273619.2	5999	143.5
ENSG00000162676.13	3999	73.0
ENSG00000152455.16	12999	468.5
ENSG00000071082.11	13499	439.0
ENSG00000066084.13	3999	40.0
ENSG00000143799.14	5499	124.0
ENSG00000118579.13	8499	239.5
ENSG00000253603.1	17499	559.0
ENSG00000197841.15	10499	149.0
ENSG00000086061.16	13999	871.5
ENSG00000288818.1	16365	1974.0
ENSG00000261101.2	5999	95.0
ENSG00000143322.22	16499	292.5
ENSG00000237190.4	5999	58.5
ENSG00000139428.12	9499	138.5
ENSG00000105556.12	4999	218.5
ENSG00000090581.11	6999	65.5
ENSG00000218739.10	12999	448.0
ENSG00000112293.15	5499	55.0
ENSG00000168116.14	6499	114.0
ENSG00000289567.2	10999	349.0
ENSG00000151135.10	5499	44.0
ENSG00000102786.15	4999	238.5
ENSG00000224358.1	5499	113.5
ENSG00000086065.14	5499	91.0
ENSG00000263955.2	4499	51.5
ENSG00000102144.15	3999	84.0
ENSG00000119950.21	5499	75.0
ENSG00000287510.1	27999	1068.5
ENSG00000156384.15	14499	228.5
ENSG00000100316.16	6999	268.0
ENSG00000113522.14	8999	378.0
ENSG00000135679.27	24999	681.5
ENSG00000241258.7	17499	476.5
ENSG00000139668.9	6499	100.0
ENSG00000125726.11	4499	217.0
ENSG00000048405.11	3999	76.5
ENSG00000141580.16	9999	814.0
ENSG00000142864.15	4499	82.0
ENSG00000285801.1	6999	108.0
ENSG00000010310.9	7499	142.0
ENSG00000122692.9	11499	223.5
ENSG00000163319.11	5499	72.0
ENSG00000100664.11	9499	379.5
ENSG00000233993.1	8499	329.5
ENSG00000230532.1	5499	392.5
ENSG00000258159.1	9999	149.5
ENSG00000161980.6	10999	331.5
ENSG00000131236.18	5499	52.5
ENSG00000090487.11	11499	688.0
ENSG00000092470.12	4999	73.5
ENSG00000261096.1	5499	135.5
ENSG00000196290.17	3999	64.5
ENSG00000154743.19	4999	44.0
ENSG00000167693.17	8499	98.0
ENSG00000130775.16	3999	42.5
ENSG00000197958.13	4499	65.5
ENSG00000277371.1	15999	330.0
ENSG00000250155.3	6999	195.0
ENSG00000246790.2	32999	1415.5
ENSG00000101367.9	8499	504.0
ENSG00000164167.12	15999	183.0
ENSG00000252026.1	6999	131.0
ENSG00000258441.1	6999	1026.0
ENSG00000130751.10	3999	49.0
ENSG00000242444.4	4999	80.0
ENSG00000206965.1	11499	323.5
ENSG00000176142.13	12999	268.0
ENSG00000196670.14	3999	67.5
ENSG00000169902.15	10499	320.0
ENSG00000268912.1	16499	318.5
ENSG00000132432.14	17999	1131.5
ENSG00000272758.7	5499	70.0
ENSG00000170852.12	12499	331.5
ENSG00000104442.10	9999	314.0
ENSG00000136861.19	7999	127.5
ENSG00000205056.9	23499	1094.0
ENSG00000089154.11	6999	58.5
ENSG00000291008.1	4999	195.5
ENSG00000268471.6	17999	300.0
ENSG00000143033.18	5499	80.0
ENSG00000230228.2	67499	3615.5
ENSG00000113810.16	12999	528.5
ENSG00000166405.16	12999	267.0
ENSG00000066322.15	3999	61.0
ENSG00000288887.2	5499	111.0
ENSG00000250685.7	4499	113.0
ENSG00000112339.15	7499	92.5
ENSG00000271779.1	5999	42.5
ENSG00000186635.16	3999	53.5
ENSG00000183111.12	14499	229.5
ENSG00000185238.13	5999	141.0
ENSG00000250486.5	8999	262.0
ENSG00000130429.16	17999	1405.0
ENSG00000293104.1	13499	240.5
ENSG00000293268.1	3999	154.0
ENSG00000170222.12	3999	49.5
ENSG00000146457.16	5499	157.5
ENSG00000101109.13	19499	875.0
ENSG00000266099.1	5999	310.0
ENSG00000124251.11	18999	534.0
ENSG00000225450.1	6499	85.0
ENSG00000284934.3	6499	263.5
ENSG00000226212.2	4499	82.5
ENSG00000133943.21	7499	99.0
ENSG00000176018.13	16499	335.0
ENSG00000130363.13	25999	1011.0
ENSG00000141562.19	9499	220.5
ENSG00000120802.14	3999	35.0
ENSG00000164219.10	6499	94.0
ENSG00000261526.3	10499	164.0
ENSG00000163516.14	6999	167.5
ENSG00000285972.1	3999	28.5
ENSG00000139899.11	3999	72.0
ENSG00000275638.1	14499	317.0
ENSG00000280010.1	3999	57.5
ENSG00000230790.2	13999	627.5
ENSG00000072121.17	10999	232.5
ENSG00000278948.1	5499	411.5
ENSG00000140395.9	4499	26.5
ENSG00000113300.13	11499	245.0
ENSG00000266072.1	14999	866.5
ENSG00000081307.15	6999	69.0
ENSG00000160199.15	6499	91.5
ENSG00000121766.16	12999	327.5
ENSG00000119396.12	5499	59.0
ENSG00000159579.14	8499	137.0
ENSG00000173653.8	13999	259.5
ENSG00000106153.13	9999	456.0
ENSG00000167112.10	6499	288.0
ENSG00000116830.12	7999	108.5
ENSG00000241859.8	3999	97.0
ENSG00000139350.12	8499	143.0
ENSG00000100418.8	21499	1639.5
ENSG00000232999.1	5499	218.5
ENSG00000108349.17	4499	75.5
ENSG00000077147.16	3999	35.0
ENSG00000168872.17	5999	553.5
ENSG00000201659.1	18999	549.0
ENSG00000154124.6	16499	709.0
ENSG00000125447.18	3999	55.0
ENSG00000119689.15	8999	489.5
ENSG00000088888.18	12499	272.0
ENSG00000111181.13	7499	192.0
ENSG00000293110.1	4499	54.0
ENSG00000114841.18	8499	84.0
ENSG00000277003.1	10499	100.0
ENSG00000090661.12	8999	224.0
ENSG00000204160.12	5499	156.0
ENSG00000274135.1	7999	170.0
ENSG00000137822.13	4999	61.0
ENSG00000261766.1	7499	180.0
ENSG00000185019.17	4499	42.5
ENSG00000147475.17	3999	43.5
ENSG00000269921.1	8999	143.0
ENSG00000069248.12	8999	93.0
ENSG00000149657.20	12499	1377.0
ENSG00000229591.1	9499	110.5
ENSG00000164776.11	5499	315.0
