ID	Length	WT_15.Aligned.sortedByCoord.out
ENSG00000133805.16	4999	0.63
ENSG00000132475.10	4999	0.42
ENSG00000291008.1	4499	0.54
ENSG00000188229.6	3999	0.63
ENSG00000137073.24	5499	0.68
ENSG00000132554.21	5499	0.7
ENSG00000121931.16	4499	0.69
ENSG00000186532.12	6499	3.15
ENSG00000104147.9	23999	1.08
ENSG00000278948.1	3999	0.68
ENSG00000232104.5	4499	0.68
ENSG00000140941.14	3999	0.73
ENSG00000056558.11	7499	6.39
ENSG00000136436.15	7999	3.09
ENSG00000185238.13	4999	0.5
ENSG00000288818.1	3999	0.73
ENSG00000132300.19	10999	0.6
ENSG00000186765.12	4999	0.45
ENSG00000119689.15	8999	0.73
ENSG00000135446.17	4499	0.63
ENSG00000119408.17	5999	2.17
ENSG00000242444.4	4999	0.66
ENSG00000182247.11	6499	0.59
ENSG00000187742.15	7499	1.92
ENSG00000121594.12	7999	1.7
ENSG00000005812.11	3999	1.58
ENSG00000166140.17	3999	0.86
ENSG00000100416.15	3999	1.55
ENSG00000028116.18	3999	1.34
ENSG00000167114.13	3999	0.75
ENSG00000167112.10	5499	1.22
ENSG00000289155.2	5999	0.68
ENSG00000272672.1	3999	0.91
ENSG00000259539.1	3999	0.68
ENSG00000130733.11	4999	0.92
ENSG00000175467.15	5999	0.57
ENSG00000100220.12	4499	0.43
ENSG00000273983.2	4999	0.64
ENSG00000204110.7	4999	0.57
ENSG00000136867.11	5499	0.26
ENSG00000180329.14	6999	0.56
ENSG00000270141.3	3999	0.63
ENSG00000134575.13	4999	1.56
ENSG00000127191.18	7499	0.77
ENSG00000100445.18	3999	0.58
ENSG00000261096.1	4499	0.97
ENSG00000276292.1	3999	1.38
ENSG00000138303.19	3999	0.48
ENSG00000250155.3	4499	0.77
ENSG00000176933.5	3999	0.58
ENSG00000279699.1	3999	0.57
ENSG00000239335.4	3999	0.68
ENSG00000119509.13	5499	0.89
ENSG00000168126.3	6499	0.83
ENSG00000171824.14	3999	0.44
ENSG00000186638.17	4999	0.68
ENSG00000288049.1	7999	0.87
ENSG00000287733.1	9499	1.93
ENSG00000115486.13	3999	1.31
ENSG00000236352.1	3999	0.32
ENSG00000053372.5	4999	1.92
ENSG00000136861.19	5999	0.49
ENSG00000122566.22	10999	1.3
ENSG00000284602.1	4499	0.84
ENSG00000116903.7	3999	0.54
ENSG00000101109.13	12499	1.15
ENSG00000121774.18	4499	0.88
ENSG00000092203.15	6499	0.48
ENSG00000229267.3	3999	0.36
ENSG00000273176.1	3999	0.47
ENSG00000286013.1	4999	0.62
ENSG00000149657.20	7499	2.12
ENSG00000163521.16	4999	0.61
ENSG00000277895.1	4499	1.12
ENSG00000158195.11	8999	0.74
ENSG00000267106.9	9499	1.73
ENSG00000100418.8	7499	0.57
ENSG00000131378.14	3999	0.36
ENSG00000178567.8	12999	0.92
ENSG00000196152.10	4499	4.06
ENSG00000188986.9	3999	0.81
ENSG00000121766.16	7999	0.54
ENSG00000260398.1	3999	0.37
ENSG00000136930.13	5999	0.61
ENSG00000266933.2	7999	9.05
ENSG00000197798.9	4499	1.2
ENSG00000139971.15	6499	0.46
ENSG00000119401.11	5999	0.44
ENSG00000271991.3	5499	0.8
ENSG00000099968.18	4499	2.05
ENSG00000107745.20	9499	0.48
ENSG00000143344.16	6999	0.63
ENSG00000111305.19	5999	0.89
ENSG00000197451.12	6499	0.77
ENSG00000230453.11	5499	0.8
ENSG00000172943.21	4499	0.85
ENSG00000154310.17	4499	0.42
ENSG00000135679.27	4999	0.53
ENSG00000273162.1	5499	3.86
ENSG00000265678.1	4999	4.28
ENSG00000289031.1	4499	0.98
ENSG00000273456.2	5499	2.68
ENSG00000271555.1	5999	1.14
ENSG00000141580.16	5999	0.93
ENSG00000141027.23	4999	2.26
ENSG00000105640.13	7499	0.63
ENSG00000272842.1	5499	0.48
ENSG00000232999.1	4999	0.74
ENSG00000289015.1	4999	1.42
ENSG00000230530.2	12999	0.83
ENSG00000125910.6	3999	0.56
ENSG00000254418.1	5499	1.07
ENSG00000226779.1	5499	0.59
ENSG00000120949.15	4999	0.59
ENSG00000263080.1	3999	0.51
ENSG00000152439.13	7499	1.06
ENSG00000107185.10	4499	0.45
ENSG00000152556.17	8999	0.76
ENSG00000161664.7	12999	1.3
ENSG00000288906.1	4999	1.82
ENSG00000134108.14	3999	0.38
ENSG00000273542.2	5499	0.63
ENSG00000177963.15	5499	0.41
ENSG00000203993.7	5499	0.93
ENSG00000180626.10	5499	0.39
ENSG00000234076.2	4499	0.34
ENSG00000131931.8	3999	0.82
ENSG00000115839.19	9499	0.7
ENSG00000261520.5	4499	0.47
ENSG00000224950.2	5999	0.48
ENSG00000267691.1	5499	0.57
ENSG00000172543.9	3999	0.3
ENSG00000257702.5	3999	0.82
ENSG00000115282.21	7499	1.21
ENSG00000131495.9	6999	1.27
ENSG00000271936.1	4499	0.66
ENSG00000136888.8	5999	1.24
ENSG00000270804.2	4999	0.48
ENSG00000276071.1	5499	0.61
ENSG00000289421.1	9999	0.8
ENSG00000156587.16	9999	1.04
ENSG00000178057.15	6499	0.79
ENSG00000099954.19	3999	0.36
ENSG00000197885.11	6999	0.7
ENSG00000222806.1	5499	1.16
ENSG00000185404.17	4499	0.57
ENSG00000137054.16	10601	1.1
ENSG00000236844.1	9499	1.02
ENSG00000135250.17	4999	0.64
ENSG00000184988.8	4999	0.54
ENSG00000105246.6	8999	1.31
ENSG00000130429.16	4999	0.69
ENSG00000137496.19	9499	0.67
ENSG00000171503.13	3999	0.63
ENSG00000131153.9	4499	0.53
ENSG00000112679.15	8999	0.89
