ID	Length	WT_18.Aligned.sortedByCoord.out
ENSG00000241258.7	6999	514.0
ENSG00000100100.13	3999	79.5
ENSG00000125772.14	3999	62.5
ENSG00000102390.11	15499	275.0
ENSG00000128604.21	3999	54.0
ENSG00000185947.15	6499	177.0
ENSG00000184708.18	4999	85.0
ENSG00000279846.1	10999	368.5
ENSG00000143319.17	15999	526.5
ENSG00000261366.1	9499	228.0
ENSG00000138138.14	5499	158.0
ENSG00000279277.2	3999	29.5
ENSG00000229267.3	4999	141.5
ENSG00000272606.2	9499	267.5
ENSG00000111897.7	6499	82.0
ENSG00000101350.8	6499	87.0
ENSG00000082641.16	7499	168.0
ENSG00000137054.16	8999	736.0
ENSG00000103653.17	4499	94.0
ENSG00000288772.2	5999	109.0
ENSG00000227070.2	7499	128.0
ENSG00000243414.6	4999	99.5
ENSG00000125910.6	4999	181.0
ENSG00000267312.1	8499	186.0
ENSG00000196584.4	4999	157.0
ENSG00000154310.17	4999	743.0
ENSG00000237522.1	4999	73.0
ENSG00000130429.16	4499	241.0
ENSG00000072135.13	3999	41.0
ENSG00000154262.13	6999	355.0
ENSG00000136874.11	3999	80.5
ENSG00000128891.17	4999	168.5
ENSG00000105246.6	9999	1575.5
ENSG00000285744.1	5999	237.0
ENSG00000053371.13	10999	262.5
ENSG00000197813.6	3999	87.0
ENSG00000170142.12	4999	103.0
ENSG00000165983.15	3999	146.5
ENSG00000185156.6	3999	67.5
ENSG00000272462.4	3999	39.0
ENSG00000254887.2	5499	59.0
ENSG00000132275.11	6999	110.5
ENSG00000146192.15	14999	794.5
ENSG00000108798.9	8499	251.5
ENSG00000100296.14	6999	116.0
ENSG00000224950.2	7499	432.5
ENSG00000002919.15	4499	127.0
ENSG00000146909.8	3999	43.0
ENSG00000146858.8	3999	470.0
ENSG00000079246.16	13999	1016.5
ENSG00000145287.11	3999	1532.0
ENSG00000172728.16	9999	258.0
ENSG00000113456.20	4999	60.5
ENSG00000116903.7	3999	118.0
ENSG00000120334.16	4499	231.0
ENSG00000170949.18	5499	100.5
ENSG00000290931.1	11499	604.0
ENSG00000135679.27	4999	166.0
ENSG00000073605.19	5499	71.0
ENSG00000116874.12	11499	196.5
ENSG00000234616.9	8499	144.5
ENSG00000165118.15	3999	66.0
ENSG00000267579.1	6499	154.5
ENSG00000164975.16	5499	155.5
ENSG00000197043.15	6999	356.0
ENSG00000154124.6	16999	1944.0
ENSG00000189144.15	6499	197.5
ENSG00000288788.1	10499	289.5
ENSG00000257642.1	12499	613.0
ENSG00000087157.19	3999	39.0
ENSG00000196743.9	3999	499.5
ENSG00000289562.2	3999	46.0
ENSG00000109458.10	4499	56.0
ENSG00000249049.1	6999	168.0
ENSG00000116761.12	5999	144.0
ENSG00000145103.15	4499	50.5
ENSG00000178935.5	10499	174.5
ENSG00000115514.12	7999	270.5
ENSG00000126953.8	3999	231.5
ENSG00000271361.1	4499	326.5
ENSG00000123643.14	3999	46.5
ENSG00000265491.5	5499	104.0
ENSG00000170144.22	5999	138.0
ENSG00000213700.3	9499	151.5
ENSG00000159958.7	5999	233.0
ENSG00000145901.16	3999	70.0
ENSG00000198839.10	4499	67.0
ENSG00000134330.19	3999	114.0
ENSG00000227598.1	11999	375.5
ENSG00000198612.11	5999	208.5
ENSG00000261101.2	5999	153.5
ENSG00000087008.16	4499	66.5
ENSG00000132603.15	3999	87.5
ENSG00000143799.14	5499	64.5
ENSG00000113812.14	8499	583.0
ENSG00000079263.19	4499	172.5
ENSG00000154079.6	5999	96.0
ENSG00000237638.3	25499	1460.0
ENSG00000226779.1	5499	274.0
ENSG00000178921.14	8999	211.0
ENSG00000127311.10	3999	359.5
ENSG00000251952.1	8999	269.0
ENSG00000290292.10	7499	131.5
ENSG00000145850.9	15999	712.0
ENSG00000205089.8	3999	75.0
ENSG00000118816.11	4499	50.0
ENSG00000152689.18	7999	439.5
ENSG00000105983.23	5499	103.5
ENSG00000143119.14	17499	1331.0
ENSG00000136273.13	7999	225.0
