ID	Length	WT_23.Aligned.sortedByCoord.out
ENSG00000170144.22	9999	0.73
ENSG00000229267.3	4999	1.05
ENSG00000186063.13	5999	1.0
ENSG00000256690.1	3999	0.46
ENSG00000162924.16	13499	1.47
ENSG00000168906.13	4499	0.26
ENSG00000137073.24	6499	0.41
ENSG00000197157.11	4999	0.53
ENSG00000291092.1	20999	0.73
ENSG00000188313.13	10499	0.88
ENSG00000238287.1	4999	0.58
ENSG00000284602.1	3999	0.51
ENSG00000102144.15	9499	1.6
ENSG00000290100.1	7999	0.66
ENSG00000230795.3	5999	1.03
ENSG00000123595.8	9999	0.56
ENSG00000224220.1	14499	2.66
ENSG00000235366.3	18499	1.64
ENSG00000271936.1	4499	0.64
ENSG00000291120.1	26999	1.13
ENSG00000132603.15	3999	0.66
ENSG00000185947.15	6499	1.13
ENSG00000119509.13	11499	1.41
ENSG00000285744.1	5999	2.87
ENSG00000185433.11	6499	0.93
ENSG00000285999.1	19499	0.9
ENSG00000173145.11	8499	0.78
ENSG00000167220.12	9999	0.65
ENSG00000136213.10	5999	0.31
ENSG00000127191.18	7999	0.5
ENSG00000290086.1	8999	1.04
ENSG00000287812.1	4499	2.97
ENSG00000132716.19	5999	0.36
ENSG00000129667.13	4999	0.49
ENSG00000292979.1	5499	1.51
ENSG00000132300.19	6499	0.55
ENSG00000143799.14	5499	0.49
ENSG00000184988.8	8999	3.6
ENSG00000139133.7	7499	1.87
ENSG00000100426.7	5499	0.48
ENSG00000104951.16	10999	1.38
ENSG00000197888.3	26999	1.04
ENSG00000274422.1	8999	0.97
ENSG00000285972.1	36307	2.0
ENSG00000178935.5	5999	0.5
ENSG00000106153.13	3999	1.01
ENSG00000122359.18	8999	0.84
ENSG00000188917.15	5499	0.87
ENSG00000116761.12	5499	1.31
ENSG00000269220.1	3999	0.45
ENSG00000126953.8	3999	2.17
ENSG00000204110.7	4999	0.96
ENSG00000072135.13	7499	0.43
ENSG00000165025.15	3999	0.4
ENSG00000103550.14	7499	0.58
ENSG00000121594.12	14499	4.68
ENSG00000136738.15	6999	0.64
ENSG00000265491.5	11499	0.63
ENSG00000090661.12	3999	0.93
ENSG00000224950.2	13999	1.28
ENSG00000282988.2	3999	0.61
ENSG00000290989.1	6499	1.19
ENSG00000120725.13	7499	1.06
ENSG00000123600.21	4999	0.73
ENSG00000158195.11	3999	0.79
ENSG00000151611.17	6499	0.54
ENSG00000152256.14	12999	0.93
ENSG00000244625.7	6999	0.46
ENSG00000290292.10	10999	0.8
ENSG00000273165.1	5999	0.47
ENSG00000141027.23	6999	0.88
ENSG00000166295.9	4499	0.71
ENSG00000152213.4	4999	0.54
ENSG00000202534.1	8999	0.57
ENSG00000183808.12	13499	1.86
ENSG00000139190.17	7999	1.68
ENSG00000251952.1	8999	1.09
ENSG00000055044.11	26999	0.7
ENSG00000184445.12	5499	0.67
ENSG00000230155.8	10999	1.51
ENSG00000291143.1	26999	1.69
ENSG00000263528.8	7999	1.04
ENSG00000272599.2	12999	0.63
ENSG00000163257.11	6999	1.67
ENSG00000198642.7	5999	1.36
ENSG00000175567.11	3999	0.99
ENSG00000124575.7	5499	1.0
ENSG00000138138.14	4999	1.06
ENSG00000164975.16	20499	0.98
ENSG00000168118.12	11499	0.4
ENSG00000150593.18	4999	0.42
ENSG00000113318.11	3999	0.68
ENSG00000233912.1	5999	0.74
ENSG00000198839.10	4499	0.5
ENSG00000169972.13	6999	0.64
ENSG00000137944.18	14999	0.65
ENSG00000161791.14	5499	0.42
ENSG00000108064.11	4999	0.68
ENSG00000261221.5	4999	0.6
ENSG00000107036.12	23499	0.86
ENSG00000169679.15	6999	0.72
ENSG00000197008.10	6999	0.56
ENSG00000174718.12	7999	0.69
ENSG00000197713.15	22499	2.1
ENSG00000180992.7	4499	0.42
ENSG00000204397.10	5999	0.41
ENSG00000010244.19	27999	2.07
ENSG00000143119.14	17999	2.89
ENSG00000120137.7	4499	0.43
ENSG00000160049.12	6499	0.35
ENSG00000121089.4	25184	1.34
ENSG00000155229.21	5999	0.5
ENSG00000157483.9	10499	0.74
ENSG00000228192.10	3999	0.56
ENSG00000135372.10	11999	0.55
ENSG00000257642.1	11999	1.99
ENSG00000156587.16	10499	1.56
ENSG00000092203.15	5499	0.43
ENSG00000268889.2	7999	0.52
ENSG00000137496.19	3999	1.8
ENSG00000277245.1	17499	0.83
ENSG00000261366.1	17999	1.06
ENSG00000164405.11	6499	0.94
ENSG00000241634.1	4499	2.14
ENSG00000197111.16	7499	0.86
ENSG00000136936.11	9999	0.67
ENSG00000185238.13	4999	0.66
ENSG00000234741.10	10499	0.56
ENSG00000065427.15	3999	0.45
ENSG00000198612.11	5999	1.18
ENSG00000079246.16	13999	2.46
ENSG00000223356.1	5999	0.75
ENSG00000038210.14	8499	1.25
ENSG00000113456.20	4999	0.38
ENSG00000171307.19	6999	0.44
ENSG00000136770.11	4999	0.38
ENSG00000104442.10	9499	0.74
ENSG00000237522.1	4999	0.82
ENSG00000090487.11	19105	2.89
ENSG00000197903.8	7499	0.86
ENSG00000002919.15	4999	0.76
ENSG00000289155.2	14499	0.51
ENSG00000118961.15	3999	0.79
ENSG00000196670.14	3999	1.7
ENSG00000170185.11	5999	0.95
ENSG00000274641.2	6999	0.43
ENSG00000151532.15	8999	1.86
ENSG00000291283.1	4999	2.95
ENSG00000146858.8	4499	4.07
ENSG00000162139.10	20499	0.48
ENSG00000266385.1	3999	0.46
ENSG00000115165.10	25999	4.12
ENSG00000240143.1	3999	0.66
ENSG00000289082.1	7999	1.25
ENSG00000023902.14	6499	0.54
ENSG00000288788.1	13499	1.05
ENSG00000146192.15	14999	1.86
ENSG00000230138.2	4999	0.7
ENSG00000082641.16	10999	0.66
ENSG00000120280.6	7499	1.88
ENSG00000177556.12	18499	1.98
ENSG00000147536.12	6499	0.49
ENSG00000110031.13	5999	0.46
ENSG00000293076.1	6499	1.45
ENSG00000262454.4	5499	0.47
ENSG00000196189.14	9499	0.92
ENSG00000116791.14	6499	1.01
ENSG00000137054.16	7499	2.74
ENSG00000069493.15	4499	1.02
ENSG00000148429.15	6499	0.78
ENSG00000149182.15	5499	0.42
ENSG00000125910.6	4999	1.18
ENSG00000105656.13	3999	0.24
ENSG00000186532.12	6499	2.19
ENSG00000132912.13	5999	0.86
ENSG00000152689.18	7499	2.39
ENSG00000100104.13	3999	0.7
ENSG00000267257.1	34624	0.99
ENSG00000293389.1	13499	0.59
ENSG00000028116.18	5499	5.29
ENSG00000196152.10	4499	2.29
ENSG00000031003.11	5999	0.74
ENSG00000237638.3	35999	1.89
ENSG00000160305.18	5499	0.6
ENSG00000082516.9	5499	0.31
ENSG00000178951.9	3999	0.42
ENSG00000150756.14	7999	0.61
ENSG00000136937.13	6999	0.94
ENSG00000026103.25	3999	0.72
ENSG00000152404.16	15499	1.04
ENSG00000165983.15	3999	1.62
ENSG00000108798.9	8499	0.73
ENSG00000123353.10	3999	0.55
ENSG00000101109.13	8499	1.08
ENSG00000178057.15	4999	0.68
ENSG00000178229.8	3999	0.57
ENSG00000270804.2	5499	1.26
ENSG00000291069.1	4499	0.83
ENSG00000134996.12	3999	0.62
ENSG00000130429.16	6999	1.22
ENSG00000287077.1	4499	0.43
ENSG00000132436.13	9999	1.23
ENSG00000227345.9	3999	0.34
ENSG00000164933.13	7499	1.13
ENSG00000168137.20	15999	0.72
ENSG00000272638.1	5499	0.32
ENSG00000160229.13	6999	1.49
ENSG00000175115.13	4499	1.0
ENSG00000257221.4	17999	1.3
ENSG00000089094.20	6999	0.63
ENSG00000105875.15	5999	0.62
ENSG00000272831.2	4499	0.42
ENSG00000064115.11	3999	0.31
ENSG00000266852.2	3999	0.71
ENSG00000290078.1	9499	0.92
ENSG00000287265.1	11999	1.47
ENSG00000214184.3	6999	0.32
ENSG00000072501.19	4499	0.32
ENSG00000136051.15	16499	0.51
ENSG00000145850.9	16499	1.62
ENSG00000136874.11	6499	0.88
ENSG00000234883.7	20499	5.63
ENSG00000158079.16	3999	0.43
ENSG00000115839.19	3999	0.62
ENSG00000234614.1	5999	1.53
ENSG00000115464.15	3999	0.37
ENSG00000116874.12	9999	0.55
ENSG00000157593.20	4999	1.74
ENSG00000131378.14	15999	0.85
ENSG00000263961.8	5499	0.56
ENSG00000275418.1	7999	3.21
ENSG00000261324.2	7499	0.64
ENSG00000125726.11	4999	11.6
ENSG00000115561.16	3999	1.14
ENSG00000113522.14	6499	0.8
ENSG00000054654.20	4999	0.61
ENSG00000205056.9	20999	0.9
ENSG00000124243.19	5499	2.32
ENSG00000155506.19	3999	0.24
ENSG00000141506.15	3999	0.47
ENSG00000189144.15	6999	1.07
ENSG00000154262.13	4499	3.56
ENSG00000144843.12	4499	0.48
ENSG00000251131.3	3999	0.45
ENSG00000125447.18	3999	0.35
ENSG00000253522.6	4999	1.12
ENSG00000172667.11	9999	0.79
ENSG00000288772.2	5999	0.82
ENSG00000136436.15	4499	0.83
ENSG00000114850.7	15999	1.25
ENSG00000185156.6	5499	0.63
ENSG00000121281.13	6999	0.51
ENSG00000012817.16	11999	1.01
ENSG00000158050.5	4499	0.39
ENSG00000053371.13	11499	0.88
ENSG00000114021.12	8499	1.69
ENSG00000279846.1	10999	1.31
ENSG00000185515.16	5999	1.96
ENSG00000056558.11	6499	3.22
ENSG00000168116.14	25999	1.01
ENSG00000273983.2	4499	0.59
ENSG00000154079.6	5999	0.68
ENSG00000100523.17	13999	0.52
ENSG00000100100.13	3999	0.6
ENSG00000112679.15	8999	1.38
ENSG00000161980.6	10999	0.72
ENSG00000241258.7	6999	2.14
ENSG00000172171.11	16999	0.54
ENSG00000152455.16	8999	1.67
ENSG00000172728.16	9999	1.04
ENSG00000288899.1	10499	3.1
ENSG00000196646.12	3999	0.74
ENSG00000130303.14	11499	1.23
ENSG00000143319.17	6999	1.76
ENSG00000182934.12	4499	0.55
ENSG00000234616.9	6999	0.67
ENSG00000126787.13	6999	0.39
ENSG00000184708.18	5499	0.45
ENSG00000276116.2	4999	0.56
ENSG00000106560.11	6999	0.45
ENSG00000172943.21	4499	0.37
ENSG00000230969.2	17499	1.12
ENSG00000249685.1	6499	0.94
ENSG00000197646.8	10999	1.15
ENSG00000197451.12	10499	0.43
ENSG00000000460.17	15971	0.89
ENSG00000275074.2	5999	0.95
ENSG00000164751.15	5999	0.63
ENSG00000235852.1	5499	1.02
ENSG00000148481.14	7999	0.41
ENSG00000136273.13	7999	1.11
ENSG00000196743.9	6499	3.11
ENSG00000167625.12	6999	1.2
ENSG00000087008.16	5499	0.36
ENSG00000261101.2	9999	0.83
ENSG00000181924.7	3999	0.54
ENSG00000100376.12	4999	0.44
ENSG00000109674.4	3999	0.56
ENSG00000085999.13	6999	0.55
ENSG00000239407.5	11499	2.58
ENSG00000196586.17	4999	0.66
ENSG00000226107.1	4499	0.49
ENSG00000132275.11	6999	0.78
ENSG00000111727.12	4499	0.52
ENSG00000154310.17	4499	5.32
ENSG00000289912.1	14999	0.81
ENSG00000257222.1	16999	0.68
ENSG00000101350.8	4999	0.48
ENSG00000110777.12	9999	1.88
ENSG00000118363.13	8999	2.17
ENSG00000134108.14	3999	0.37
ENSG00000025039.15	7499	0.45
ENSG00000119408.17	6499	16.47
ENSG00000178567.8	12999	1.38
ENSG00000162241.13	4499	1.5
ENSG00000132842.15	8999	1.08
ENSG00000270802.2	20999	1.19
ENSG00000145103.15	6999	0.57
ENSG00000275801.1	13499	1.21
ENSG00000255299.5	3999	0.82
