ID	Length	WT_20.Aligned.sortedByCoord.out
ENSG00000273456.2	5999	3.67
ENSG00000197157.11	8499	0.62
ENSG00000130733.11	6999	1.81
ENSG00000284934.3	3999	1.26
ENSG00000100220.12	4999	0.84
ENSG00000262343.1	4499	6.92
ENSG00000121774.18	5499	1.0
ENSG00000181404.18	3999	0.86
ENSG00000064300.9	3999	0.37
ENSG00000172543.9	4499	0.74
ENSG00000132912.13	6499	0.62
ENSG00000267106.9	8499	1.47
ENSG00000290791.1	4499	0.87
ENSG00000186765.12	5499	0.47
ENSG00000126767.18	3999	0.83
ENSG00000259732.1	3999	0.65
ENSG00000228126.1	5499	1.13
ENSG00000273162.1	6999	5.5
ENSG00000116903.7	4499	1.13
ENSG00000273542.2	5999	0.97
ENSG00000230530.2	8999	1.0
ENSG00000127366.5	3999	0.36
ENSG00000105640.13	7499	0.67
ENSG00000104147.9	16999	1.49
ENSG00000290085.1	3999	0.78
ENSG00000233791.7	9499	0.46
ENSG00000161664.7	13499	1.03
ENSG00000197451.12	3999	0.86
ENSG00000179262.10	4499	1.78
ENSG00000224950.2	6999	0.47
ENSG00000056558.11	6999	7.03
ENSG00000293110.1	8999	0.6
ENSG00000143409.18	3999	1.13
ENSG00000113522.14	6999	0.47
ENSG00000266877.1	3999	0.42
ENSG00000121766.16	7499	0.52
ENSG00000288906.1	5999	1.96
ENSG00000293251.2	5999	0.5
ENSG00000121594.12	10999	1.89
ENSG00000136273.13	5499	0.31
ENSG00000105246.6	9499	0.84
ENSG00000270104.1	4499	0.44
ENSG00000105993.15	9999	1.74
ENSG00000275221.2	4499	1.13
ENSG00000137054.16	9499	0.57
ENSG00000111786.10	12499	1.14
ENSG00000105372.8	3999	2.56
ENSG00000279613.1	7999	0.51
ENSG00000131495.9	7999	0.89
ENSG00000233912.1	6999	0.31
ENSG00000115486.13	4999	1.62
ENSG00000149657.20	7999	2.66
ENSG00000028116.18	4999	1.25
ENSG00000120949.15	6999	0.51
ENSG00000132300.19	6999	0.76
ENSG00000185896.11	4499	0.94
ENSG00000286013.1	5999	0.73
ENSG00000276071.1	4499	0.44
ENSG00000180329.14	7999	0.7
ENSG00000223665.1	4499	0.36
ENSG00000196152.10	5499	1.82
ENSG00000198026.8	9999	0.5
ENSG00000229267.3	3999	0.3
ENSG00000205659.12	4999	0.69
ENSG00000173145.11	3999	0.76
ENSG00000272672.1	4499	0.89
ENSG00000266933.2	8999	8.74
ENSG00000235629.1	4499	0.41
ENSG00000127191.18	3999	0.98
ENSG00000152439.13	3999	0.56
ENSG00000128891.17	4499	0.52
ENSG00000156587.16	10999	1.56
ENSG00000265678.1	21999	2.56
ENSG00000259539.1	3999	0.48
ENSG00000113595.15	4999	0.34
ENSG00000258285.1	3999	0.68
ENSG00000235366.3	7499	0.67
ENSG00000053372.5	5499	3.07
ENSG00000134569.10	7999	0.56
ENSG00000287733.1	10499	2.77
ENSG00000141034.10	3999	0.92
ENSG00000272462.4	5499	0.36
ENSG00000141580.16	9999	1.02
ENSG00000228863.8	7499	0.57
ENSG00000164776.11	5499	0.65
ENSG00000180098.9	5999	1.16
ENSG00000214087.9	5999	0.61
ENSG00000115839.19	7999	0.55
ENSG00000234684.8	4999	0.42
ENSG00000137076.22	3999	0.44
ENSG00000278948.1	4999	0.97
ENSG00000134905.17	5499	0.79
ENSG00000171503.13	7499	0.68
ENSG00000236529.2	3999	0.39
ENSG00000134575.13	5499	1.26
ENSG00000144567.11	4499	0.4
ENSG00000116691.11	18499	0.68
ENSG00000289421.1	11499	0.67
ENSG00000125726.11	4999	0.79
ENSG00000131828.14	3999	0.32
